SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
M100,EQ,13.74,14.1,13.74,14.06,14.1,13.88,8643,121407.29,01-JAN-2016,69,INF247L01023,
M100,EQ,14.1,14.23,13.96,14.09,14.1,14.06,3522,49685.12,04-JAN-2016,40,INF247L01023,
M100,EQ,14.47,14.48,13.82,14.01,13.82,14.09,9278,130709.36,05-JAN-2016,54,INF247L01023,
M100,EQ,14.15,14.24,14,14.08,14.17,14.01,210759,2970090.55,06-JAN-2016,95,INF247L01023,
M100,EQ,14,14.05,13.7,13.72,13.84,14.08,45961,637777.18,07-JAN-2016,64,INF247L01023,
M100,EQ,14.2,14.25,13.74,13.91,13.92,13.72,28331,393937.25,08-JAN-2016,18,INF247L01023,
M100,EQ,13.94,14,13.7,13.99,13.99,13.91,19444,271447.11,11-JAN-2016,24,INF247L01023,
M100,EQ,14.5,14.5,13.75,13.81,13.81,13.99,23617,327478.42,12-JAN-2016,31,INF247L01023,
M100,EQ,13.95,13.95,13.7,13.7,13.7,13.81,34698,479588.02,13-JAN-2016,32,INF247L01023,
M100,EQ,13.85,13.85,13.65,13.75,13.75,13.7,7292,100460.12,14-JAN-2016,27,INF247L01023,
M100,EQ,13.86,13.86,13.2,13.25,13.2,13.75,32882,442436.38,15-JAN-2016,98,INF247L01023,
M100,EQ,13.25,13.4,13,13,13.04,13.25,14116,184822.78,18-JAN-2016,54,INF247L01023,
M100,EQ,13.55,13.55,12.31,12.65,12.8,13,14822,190703.49,19-JAN-2016,54,INF247L01023,
M100,EQ,13.05,13.05,12.06,12.59,12.55,12.65,26840,333244.58,20-JAN-2016,101,INF247L01023,
M100,EQ,12.71,12.71,12.31,12.63,12.63,12.59,12986,163032.79,21-JAN-2016,40,INF247L01023,
M100,EQ,12.71,12.82,12.11,12.8,12.75,12.63,27784,352234.04,22-JAN-2016,61,INF247L01023,
M100,EQ,13.19,13.19,12.51,12.8,12.8,12.8,14175,182081.5,25-JAN-2016,60,INF247L01023,
M100,EQ,12.99,12.99,12.71,12.78,12.9,12.8,16978,217473.74,27-JAN-2016,58,INF247L01023,
M100,EQ,12.78,12.96,12.26,12.55,12.3,12.78,17719,224093.32,28-JAN-2016,45,INF247L01023,
M100,EQ,12.75,12.88,12.71,12.84,12.88,12.55,20505,262683.98,29-JAN-2016,29,INF247L01023,
M100,EQ,12.7,13.09,12.7,12.92,12.8,12.84,27964,361647.03,01-FEB-2016,63,INF247L01023,
M100,EQ,12.84,13.14,12.84,12.92,13,12.92,4751,61515.05,02-FEB-2016,29,INF247L01023,
M100,EQ,13,13,12.45,12.69,12.76,12.92,18716,236887.12,03-FEB-2016,45,INF247L01023,
M100,EQ,12.8,12.8,12.63,12.73,12.78,12.69,11534,147070.14,04-FEB-2016,35,INF247L01023,
M100,EQ,12.6,12.84,12.6,12.8,12.8,12.73,8425,107334.4,05-FEB-2016,34,INF247L01023,
M100,EQ,12.8,13,12.75,12.83,12.83,12.8,12652,163474.35,08-FEB-2016,47,INF247L01023,
M100,EQ,12.8,12.89,12.64,12.65,12.75,12.83,13849,175781.18,09-FEB-2016,31,INF247L01023,
M100,EQ,12.88,12.88,12.5,12.6,12.6,12.65,11361,143661.05,10-FEB-2016,44,INF247L01023,
M100,EQ,12.78,12.78,12.3,12.4,12.3,12.6,18668,232662.09,11-FEB-2016,74,INF247L01023,
M100,EQ,12.6,12.6,12.05,12.27,12.22,12.4,21939,268276.75,12-FEB-2016,70,INF247L01023,
M100,EQ,12.59,12.88,12.59,12.74,12.72,12.27,13353,169831.84,15-FEB-2016,48,INF247L01023,
M100,EQ,12.87,12.87,12.51,12.62,12.62,12.74,5002,63045.73,16-FEB-2016,30,INF247L01023,
M100,EQ,12.72,12.72,12.24,12.44,12.6,12.62,10671,132339.66,17-FEB-2016,60,INF247L01023,
M100,EQ,12.6,12.6,12.41,12.45,12.44,12.44,2121,26523.24,18-FEB-2016,27,INF247L01023,
M100,EQ,12.5,12.55,12.35,12.41,12.54,12.45,11109,138356.37,19-FEB-2016,70,INF247L01023,
M100,EQ,12.5,13,12.45,12.87,12.88,12.41,16016,204482.99,22-FEB-2016,65,INF247L01023,
M100,EQ,12.6,12.75,12.4,12.46,12.46,12.87,14082,176942.67,23-FEB-2016,56,INF247L01023,
M100,EQ,12.6,12.6,12.46,12.6,12.6,12.46,5148,64698.53,24-FEB-2016,36,INF247L01023,
M100,EQ,12.76,12.76,12.2,12.23,12.22,12.6,5327,65778.31,25-FEB-2016,32,INF247L01023,
M100,EQ,12.59,12.59,12.11,12.2,12.2,12.23,19061,233937.22,26-FEB-2016,79,INF247L01023,
M100,EQ,12.12,12.58,12.12,12.3,12.3,12.2,11460,141494.31,29-FEB-2016,36,INF247L01023,
M100,EQ,12.54,12.54,12.31,12.36,12.33,12.3,6543,81449.7,01-MAR-2016,45,INF247L01023,
M100,EQ,12.6,12.94,12.43,12.75,12.75,12.36,12031,153351.81,02-MAR-2016,54,INF247L01023,
M100,EQ,12.75,12.8,12.65,12.72,12.7,12.75,11302,143679.22,03-MAR-2016,31,INF247L01023,
M100,EQ,12.8,12.8,12.51,12.77,12.78,12.72,13463,171335.73,04-MAR-2016,39,INF247L01023,
M100,EQ,12.78,12.99,12.78,12.81,12.81,12.77,23846,306164,08-MAR-2016,41,INF247L01023,
M100,EQ,12.91,12.91,12.51,12.78,12.78,12.81,5445,69244.47,09-MAR-2016,36,INF247L01023,
M100,EQ,12.85,12.85,12.68,12.69,12.68,12.78,2535,32451.16,10-MAR-2016,31,INF247L01023,
M100,EQ,12.85,12.85,12.65,12.75,12.75,12.69,2933,37267.15,11-MAR-2016,14,INF247L01023,
M100,EQ,12.86,12.86,12.61,12.65,12.63,12.75,7238,92170.03,14-MAR-2016,31,INF247L01023,
M100,EQ,12.81,12.84,12.7,12.71,12.73,12.65,14051,179361.56,15-MAR-2016,51,INF247L01023,
M100,EQ,12.72,12.73,12.65,12.72,12.73,12.71,3847,48905.9,16-MAR-2016,19,INF247L01023,
M100,EQ,12.8,12.94,12.6,12.75,12.75,12.72,38687,492889.62,17-MAR-2016,36,INF247L01023,
M100,EQ,12.9,12.92,12.61,12.85,12.71,12.75,12557,160286.25,18-MAR-2016,30,INF247L01023,
M100,EQ,12.99,13.08,12.9,12.99,13.08,12.85,24998,323891.31,21-MAR-2016,45,INF247L01023,
M100,EQ,13.2,13.5,13,13.24,13.25,12.99,14435,190477.91,22-MAR-2016,57,INF247L01023,
M100,EQ,13.2,13.25,13.1,13.2,13.25,13.24,13973,184187.75,23-MAR-2016,26,INF247L01023,
M100,EQ,13.48,13.49,12.3,12.84,13,13.2,107688,1384420.11,28-MAR-2016,191,INF247L01023,
M100,EQ,13.15,14.85,12.74,13.13,13.15,12.84,44173,593914.27,29-MAR-2016,61,INF247L01023,
M100,EQ,13.3,13.3,13.1,13.14,13.14,13.13,1920,25292.83,30-MAR-2016,13,INF247L01023,
M100,EQ,13.48,13.48,13.01,13.19,13.4,13.14,879,11590.03,31-MAR-2016,13,INF247L01023,
M100,EQ,13.39,13.45,13.2,13.4,13.45,13.19,5922,78730.41,01-APR-2016,34,INF247L01023,
M100,EQ,13.5,13.7,13.25,13.25,13.25,13.4,3451,46011.3,04-APR-2016,19,INF247L01023,
M100,EQ,13.95,13.96,13.34,13.5,13.5,13.25,6479,88615.92,05-APR-2016,74,INF247L01023,
M100,EQ,13.35,13.58,13,13.45,13.5,13.5,10756,143305.94,06-APR-2016,57,INF247L01023,
M100,EQ,13.45,13.57,13.35,13.44,13.45,13.45,7114,95573.9,07-APR-2016,31,INF247L01023,
M100,EQ,13.31,13.98,13.31,13.45,13.49,13.44,12717,172338.85,08-APR-2016,65,INF247L01023,
M100,EQ,13.45,13.52,13.31,13.47,13.48,13.45,8486,114039.23,11-APR-2016,42,INF247L01023,
M100,EQ,13.5,13.52,13.3,13.44,13.46,13.47,3907,52315.19,12-APR-2016,33,INF247L01023,
M100,EQ,13.52,13.67,13.33,13.62,13.64,13.44,24433,330995.91,13-APR-2016,42,INF247L01023,
M100,EQ,13.6,13.78,13.31,13.72,13.65,13.62,78232,1069998.55,18-APR-2016,66,INF247L01023,
M100,EQ,13.7,14,13.7,13.75,13.75,13.72,75905,1053055.14,20-APR-2016,67,INF247L01023,
M100,EQ,13.7,13.98,13.2,13.78,13.83,13.75,9917,136002.23,21-APR-2016,58,INF247L01023,
M100,EQ,13.75,13.9,13.67,13.71,13.71,13.78,42280,582331.09,22-APR-2016,60,INF247L01023,
M100,EQ,13.75,13.9,13.5,13.59,13.7,13.71,8141,111179.51,25-APR-2016,33,INF247L01023,
M100,EQ,13.6,13.9,13.51,13.86,13.9,13.59,9461,130668.55,26-APR-2016,27,INF247L01023,
M100,EQ,13.75,13.92,13.75,13.86,13.85,13.86,37709,522801.94,27-APR-2016,33,INF247L01023,
M100,EQ,13.9,13.9,13.61,13.61,13.61,13.86,1862,25636.29,28-APR-2016,15,INF247L01023,
M100,EQ,13.6,13.84,13.6,13.74,13.75,13.61,606,8335.23,29-APR-2016,9,INF247L01023,
M100,EQ,13.94,13.94,13.61,13.7,13.7,13.74,6683,91592.1,02-MAY-2016,50,INF247L01023,
M100,EQ,13.7,13.94,13.7,13.75,13.75,13.7,42461,585175.85,03-MAY-2016,22,INF247L01023,
