SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MAHABANK,EQ,31.75,32.35,31.6,32.25,32.25,31.7,59597,1913978.05,01-JAN-2016,486,INE457A01014,
MAHABANK,EQ,32.25,32.45,31.65,31.7,31.85,32.25,68117,2181236.65,04-JAN-2016,507,INE457A01014,
MAHABANK,EQ,31.95,32.25,31.75,32.05,31.95,31.7,47338,1512937.9,05-JAN-2016,384,INE457A01014,
MAHABANK,EQ,32.05,32.2,31.8,31.85,31.85,32.05,28269,904332.7,06-JAN-2016,266,INE457A01014,
MAHABANK,EQ,31.75,32,31.1,31.15,31.3,31.85,77835,2439435.35,07-JAN-2016,713,INE457A01014,
MAHABANK,EQ,31.45,31.7,31.2,31.45,31.4,31.15,63296,1992896.7,08-JAN-2016,606,INE457A01014,
MAHABANK,EQ,31.35,31.45,31.1,31.35,31.35,31.45,44490,1392761.75,11-JAN-2016,376,INE457A01014,
MAHABANK,EQ,31.5,31.55,30.6,30.75,30.85,31.35,67010,2079993.75,12-JAN-2016,475,INE457A01014,
MAHABANK,EQ,31.05,31.25,30.1,30.2,30.25,30.75,105969,3238783.6,13-JAN-2016,748,INE457A01014,
MAHABANK,EQ,30,30.45,29.7,30.1,30.1,30.2,74683,2238887.1,14-JAN-2016,635,INE457A01014,
MAHABANK,EQ,30.35,30.35,29.25,29.5,29.5,30.1,59547,1779091.35,15-JAN-2016,474,INE457A01014,
MAHABANK,EQ,29.95,29.95,28.25,28.7,28.55,29.5,99946,2894827.35,18-JAN-2016,766,INE457A01014,
MAHABANK,EQ,28.9,29.05,28.5,28.9,29,28.7,48856,1411176.7,19-JAN-2016,402,INE457A01014,
MAHABANK,EQ,28.9,28.9,28,28.2,28.3,28.9,74510,2109382.1,20-JAN-2016,666,INE457A01014,
MAHABANK,EQ,28.85,29,28.1,28.3,28.3,28.2,73491,2084460.7,21-JAN-2016,535,INE457A01014,
MAHABANK,EQ,28.95,28.95,28.3,28.7,28.75,28.3,84425,2425308.15,22-JAN-2016,526,INE457A01014,
MAHABANK,EQ,29.5,29.5,28.8,29.25,29.3,28.7,29075,849395.1,25-JAN-2016,343,INE457A01014,
