SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MAHAPEXLTD,BE,150,155.65,150,155.65,155.65,148.25,1046,161213.9,05-APR-2018,23,INE843B01013,
MAHAPEXLTD,BE,163.4,163.4,163.4,163.4,163.4,155.65,2132,348368.8,06-APR-2018,8,INE843B01013,
MAHAPEXLTD,BE,171.55,171.55,171.55,171.55,171.55,163.4,1305,223872.75,09-APR-2018,7,INE843B01013,
MAHAPEXLTD,BE,180.1,180.1,180.1,180.1,180.1,171.55,1862,335346.2,10-APR-2018,8,INE843B01013,
MAHAPEXLTD,BE,189,189.1,189,189.1,189.1,180.1,2116,400082.6,11-APR-2018,7,INE843B01013,
MAHAPEXLTD,BE,198.5,198.55,198.5,198.55,198.55,189.1,819,162612.2,12-APR-2018,13,INE843B01013,
MAHAPEXLTD,BE,208.45,208.45,193,201.7,204,198.55,17701,3667306.3,13-APR-2018,116,INE843B01013,
MAHAPEXLTD,BE,192,204.7,192,201.8,201,201.7,2360,469227.05,16-APR-2018,41,INE843B01013,
MAHAPEXLTD,BE,206.9,207.5,201,207.25,201,201.8,2736,564041.8,17-APR-2018,24,INE843B01013,
MAHAPEXLTD,BE,201.05,213.4,201.05,202,202,207.25,7587,1572981.9,18-APR-2018,81,INE843B01013,
MAHAPEXLTD,BE,212,212.1,201.05,212.1,212.1,202,4150,876803.3,19-APR-2018,50,INE843B01013,
MAHAPEXLTD,BE,219.4,222.7,219.4,222.7,222.7,212.1,5952,1323461.6,20-APR-2018,24,INE843B01013,
MAHAPEXLTD,BE,233.8,233.8,225,233.8,233.8,222.7,3087,720181.85,23-APR-2018,45,INE843B01013,
MAHAPEXLTD,BE,235,245.45,235,245.45,245.45,233.8,7508,1818839.9,24-APR-2018,133,INE843B01013,
MAHAPEXLTD,BE,254,257.7,250,257.7,257.7,245.45,3424,878035.1,25-APR-2018,62,INE843B01013,
MAHAPEXLTD,BE,269,270,255,258.15,257,257.7,6875,1789302.6,26-APR-2018,114,INE843B01013,
MAHAPEXLTD,BE,250,265,245.25,245.25,245.25,258.15,7548,1859120,27-APR-2018,54,INE843B01013,
MAHAPEXLTD,BE,233.1,247,233,233,233,245.25,5441,1268338.25,30-APR-2018,44,INE843B01013,
MAHAPEXLTD,BE,221.55,239,221.35,221.75,221.6,233,3908,866130.4,02-MAY-2018,49,INE843B01013,
MAHAPEXLTD,BE,212,215.1,210.7,211,211,221.75,1507,318870.6,03-MAY-2018,58,INE843B01013,
