SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MAHSEAMLES,EQ,176.8,177.5,174,174.3,174,175.2,7788,1364184.25,01-JAN-2016,247,INE271B01025,
MAHSEAMLES,EQ,174.25,177.3,168,168.5,168.15,174.3,13110,2241808.95,04-JAN-2016,866,INE271B01025,
MAHSEAMLES,EQ,167,173.6,167,172.2,173,168.5,12327,2105710.5,05-JAN-2016,658,INE271B01025,
MAHSEAMLES,EQ,170.05,175.95,166,168.9,167.35,172.2,21637,3739407.55,06-JAN-2016,732,INE271B01025,
MAHSEAMLES,EQ,167,171.25,160.1,162.1,163.45,168.9,10296,1686028.85,07-JAN-2016,703,INE271B01025,
MAHSEAMLES,EQ,161.1,166.75,161.1,165.8,166.5,162.1,7860,1291323.45,08-JAN-2016,309,INE271B01025,
MAHSEAMLES,EQ,162.1,165.75,161.1,162.35,162,165.8,9125,1482355.75,11-JAN-2016,562,INE271B01025,
MAHSEAMLES,EQ,166.95,166.95,159.55,160.4,159.55,162.35,6748,1092440,12-JAN-2016,356,INE271B01025,
MAHSEAMLES,EQ,161.05,168.8,153.25,157.3,157.5,160.4,9980,1594867.05,13-JAN-2016,473,INE271B01025,
MAHSEAMLES,EQ,158.6,158.6,153.2,156.75,157.5,157.3,9017,1399941.7,14-JAN-2016,427,INE271B01025,
MAHSEAMLES,EQ,158.85,158.85,145.7,147.1,147,156.75,7715,1161592.4,15-JAN-2016,345,INE271B01025,
MAHSEAMLES,EQ,148.05,154,144,144.65,144,147.1,18502,2714027.05,18-JAN-2016,554,INE271B01025,
MAHSEAMLES,EQ,144,151.65,144,146.25,145.3,144.65,10330,1506437.2,19-JAN-2016,477,INE271B01025,
MAHSEAMLES,EQ,146.05,146.5,142.1,142.8,143,146.25,38209,5474289.9,20-JAN-2016,738,INE271B01025,
MAHSEAMLES,EQ,146.05,149.35,142,143.2,143,142.8,7142,1028195.5,21-JAN-2016,410,INE271B01025,
MAHSEAMLES,EQ,148.4,148.4,143.3,145.4,145.15,143.2,13200,1919295.1,22-JAN-2016,396,INE271B01025,
MAHSEAMLES,EQ,145.65,147.8,142.5,143.15,144.5,145.4,7619,1109358.2,25-JAN-2016,384,INE271B01025,
MAHSEAMLES,EQ,144.5,148,142,146.8,145.1,143.15,7589,1105590.8,27-JAN-2016,561,INE271B01025,
MAHSEAMLES,EQ,145,148.9,144.1,148.55,146.8,146.8,2834,415509.5,28-JAN-2016,300,INE271B01025,
MAHSEAMLES,EQ,149.55,149.55,146.85,147.4,147.5,148.55,4807,709951.05,29-JAN-2016,265,INE271B01025,
MAHSEAMLES,EQ,147,152.4,145.5,148.95,148.25,147.4,19554,2929841.35,01-FEB-2016,385,INE271B01025,
MAHSEAMLES,EQ,144.4,146.5,139.95,141.9,141,148.95,39136,5545766.75,02-FEB-2016,543,INE271B01025,
MAHSEAMLES,EQ,140.25,144.5,140.1,141.25,140.5,141.9,17858,2521924.75,03-FEB-2016,159,INE271B01025,
MAHSEAMLES,EQ,141.25,143.25,140.05,142.4,142.1,141.25,21368,3021962.95,04-FEB-2016,172,INE271B01025,
MAHSEAMLES,EQ,142.4,146,140.2,144.7,143.95,142.4,13912,1987759,05-FEB-2016,358,INE271B01025,
MAHSEAMLES,EQ,143,150,143,145.8,145,144.7,4002,584232.95,08-FEB-2016,225,INE271B01025,
MAHSEAMLES,EQ,144,147,143.1,144.1,143.5,145.8,3370,486671.9,09-FEB-2016,157,INE271B01025,
MAHSEAMLES,EQ,143,144.1,141.7,142.1,142,144.1,17745,2524446.55,10-FEB-2016,136,INE271B01025,
MAHSEAMLES,EQ,142.1,142.85,139.7,140.15,140.5,142.1,22054,3108646.85,11-FEB-2016,237,INE271B01025,
MAHSEAMLES,EQ,140.15,142.7,138,141.75,140.55,140.15,16326,2275000.85,12-FEB-2016,277,INE271B01025,
MAHSEAMLES,EQ,141.75,145.9,140.1,143.7,144.9,141.75,19999,2856899.05,15-FEB-2016,331,INE271B01025,
MAHSEAMLES,EQ,141,148.8,140.5,141.4,140.5,143.7,6490,922724.4,16-FEB-2016,230,INE271B01025,
MAHSEAMLES,EQ,142,144.65,133.45,136.4,136,141.4,9013,1239004.5,17-FEB-2016,377,INE271B01025,
MAHSEAMLES,EQ,136,140.9,135,136.25,136.6,136.4,16648,2274134,18-FEB-2016,411,INE271B01025,
MAHSEAMLES,EQ,135,138.45,135,136.35,136.55,136.25,2541,347824.9,19-FEB-2016,210,INE271B01025,
MAHSEAMLES,EQ,138,139.85,134.1,138.1,136.5,136.35,3842,526925.45,22-FEB-2016,170,INE271B01025,
MAHSEAMLES,EQ,138.1,138.1,136.05,136.65,137.5,138.1,6489,888194.95,23-FEB-2016,139,INE271B01025,
