SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MAPMYINDIA,EQ,1565,1590,1282.6,1393.65,1375,1033,13396843,18919040011.05,21-DEC-2021,686303,INE0BV301023,
MAPMYINDIA,EQ,1394,1505,1391.6,1493.3,1491,1393.65,2966238,4342613338.3,22-DEC-2021,172194,INE0BV301023,
MAPMYINDIA,EQ,1505,1514,1442.95,1458.1,1446.95,1493.3,1123807,1655814517,23-DEC-2021,70706,INE0BV301023,
MAPMYINDIA,EQ,1441,1453,1390.05,1430.75,1448,1458.1,837499,1187616425.05,24-DEC-2021,62093,INE0BV301023,
MAPMYINDIA,EQ,1419,1469.8,1402.6,1452.05,1448,1430.75,461438,665901089.3,27-DEC-2021,32374,INE0BV301023,
MAPMYINDIA,EQ,1460,1640.5,1455,1617.2,1625,1452.05,2807900,4393949910.45,28-DEC-2021,154831,INE0BV301023,
MAPMYINDIA,EQ,1630,1777,1622,1674.8,1664,1617.2,4256134,7308891819.8,29-DEC-2021,214715,INE0BV301023,
MAPMYINDIA,EQ,1664,1735,1625.15,1639.7,1650.05,1674.8,1432500,2412585260.4,30-DEC-2021,89216,INE0BV301023,
MAPMYINDIA,EQ,1650.5,1717.95,1650,1676.25,1674,1639.7,928755,1562585202.9,31-DEC-2021,55186,INE0BV301023,
MAPMYINDIA,EQ,1689.9,1847,1681.25,1820.5,1825,1676.25,2137954,3793963893.3,03-JAN-2022,120322,INE0BV301023,
MAPMYINDIA,EQ,1835,1876.4,1745,1760.25,1769.5,1820.5,1862096,3373515928.95,04-JAN-2022,120586,INE0BV301023,
MAPMYINDIA,EQ,1770.2,1806.95,1746.05,1766.35,1773,1760.25,671339,1188840845.55,05-JAN-2022,46374,INE0BV301023,
MAPMYINDIA,EQ,1764,1764,1713,1726.9,1722.8,1766.35,513999,891310710.25,06-JAN-2022,29402,INE0BV301023,
MAPMYINDIA,EQ,1727,1758.4,1658,1674.6,1667,1726.9,644523,1102305105.45,07-JAN-2022,38729,INE0BV301023,
MAPMYINDIA,EQ,1680,1764,1647.35,1745.25,1744,1674.6,973111,1663767885.4,10-JAN-2022,57482,INE0BV301023,
MAPMYINDIA,EQ,1744.95,1816.3,1706.3,1720.1,1717.8,1745.25,914366,1610565310.1,11-JAN-2022,55398,INE0BV301023,
MAPMYINDIA,EQ,1738.75,1757.95,1703.5,1711.5,1712.95,1720.1,456389,790465155.45,12-JAN-2022,25567,INE0BV301023,
MAPMYINDIA,EQ,1719.4,1738,1685,1699.15,1696.3,1711.5,401234,685610547.75,13-JAN-2022,25074,INE0BV301023,
MAPMYINDIA,EQ,1685,1762.5,1685,1735.3,1735,1699.15,449571,778985185.55,14-JAN-2022,22756,INE0BV301023,
MAPMYINDIA,EQ,1735,1917.4,1710.1,1855.05,1855,1735.3,2057901,3812501522.8,17-JAN-2022,113131,INE0BV301023,
MAPMYINDIA,EQ,1855.05,1884.6,1750,1772.75,1762.8,1855.05,612943,1120182856.1,18-JAN-2022,33154,INE0BV301023,
MAPMYINDIA,EQ,1770,1781,1728,1757.05,1755,1772.75,464589,812419318.5,19-JAN-2022,40647,INE0BV301023,
MAPMYINDIA,EQ,1756,1775,1707,1718.45,1721.95,1757.05,446602,781036866.25,20-JAN-2022,28184,INE0BV301023,
MAPMYINDIA,EQ,1712.4,1720,1582.9,1606.75,1609.8,1718.45,767585,1260254797.2,21-JAN-2022,57421,INE0BV301023,
MAPMYINDIA,EQ,1600,1635.8,1411.2,1447.35,1439,1606.75,1078560,1601575068.25,24-JAN-2022,77085,INE0BV301023,
MAPMYINDIA,EQ,1440.5,1549.9,1412.5,1484.4,1481,1447.35,1055122,1579818089.05,25-JAN-2022,103381,INE0BV301023,
MAPMYINDIA,EQ,1480,1525,1425,1438.35,1432,1484.4,630517,933351829.8,27-JAN-2022,44722,INE0BV301023,
MAPMYINDIA,EQ,1290,1397.8,1267.05,1350.95,1336,1438.35,2477717,3309980333.55,28-JAN-2022,159007,INE0BV301023,
MAPMYINDIA,EQ,1377.6,1399,1345.1,1359.95,1364,1350.95,418116,571659292.85,31-JAN-2022,21878,INE0BV301023,
MAPMYINDIA,EQ,1389,1468,1352.45,1456.5,1462,1359.95,837122,1179468616.05,01-FEB-2022,53098,INE0BV301023,
MAPMYINDIA,EQ,1470,1618,1470,1607.5,1600.7,1456.5,1502054,2347271589.95,02-FEB-2022,93798,INE0BV301023,
MAPMYINDIA,EQ,1609.85,1655,1551.15,1584.4,1565,1607.5,1047352,1680996347.9,03-FEB-2022,73460,INE0BV301023,
MAPMYINDIA,EQ,1573.9,1595,1495,1505.6,1502.95,1584.4,706092,1094501875.45,04-FEB-2022,51305,INE0BV301023,
MAPMYINDIA,EQ,1501.7,1535,1462.65,1522.3,1513.1,1505.6,530856,797805380.8,07-FEB-2022,33123,INE0BV301023,
MAPMYINDIA,EQ,1520,1547,1466.8,1485.9,1482,1522.3,360058,540207057.75,08-FEB-2022,25202,INE0BV301023,
MAPMYINDIA,EQ,1486,1529.7,1482,1503.45,1499,1485.9,299515,450602073.5,09-FEB-2022,20779,INE0BV301023,
MAPMYINDIA,EQ,1511,1534,1485.7,1503.8,1507,1503.45,273948,413756967.25,10-FEB-2022,19519,INE0BV301023,
MAPMYINDIA,EQ,1498,1499.95,1463.5,1473.85,1470,1503.8,279886,414370405.1,11-FEB-2022,20138,INE0BV301023,
MAPMYINDIA,EQ,1440,1450.95,1390,1404.2,1391,1473.85,270466,386331690.55,14-FEB-2022,23068,INE0BV301023,
MAPMYINDIA,EQ,1420,1448,1371.55,1432.1,1433.9,1404.2,263358,373184916.8,15-FEB-2022,18894,INE0BV301023,
MAPMYINDIA,EQ,1445.8,1509,1429.3,1471.65,1475,1432.1,338634,500166223.15,16-FEB-2022,24712,INE0BV301023,
MAPMYINDIA,EQ,1480,1498.85,1455,1464.55,1468.95,1471.65,171137,252141914.2,17-FEB-2022,12937,INE0BV301023,
MAPMYINDIA,EQ,1460,1475.95,1422.85,1431,1433,1464.55,169330,245279931.15,18-FEB-2022,12604,INE0BV301023,
MAPMYINDIA,EQ,1430,1430,1384.55,1387.45,1385,1431,213705,298409147.35,21-FEB-2022,11273,INE0BV301023,
MAPMYINDIA,EQ,1366.5,1385,1316,1346.2,1345,1387.45,504195,678926771.35,22-FEB-2022,48104,INE0BV301023,
MAPMYINDIA,EQ,1392,1455,1380.35,1421.75,1423.9,1346.2,568546,808693816.25,23-FEB-2022,37582,INE0BV301023,
MAPMYINDIA,EQ,1350,1393.65,1331.15,1366.35,1367,1421.75,511305,696914386,24-FEB-2022,47937,INE0BV301023,
MAPMYINDIA,EQ,1425,1466.35,1400,1410.1,1407.95,1366.35,211089,300877697.25,25-FEB-2022,14748,INE0BV301023,
MAPMYINDIA,EQ,1400,1422.95,1373.95,1397.65,1394,1410.1,239030,335004099.05,28-FEB-2022,18598,INE0BV301023,
MAPMYINDIA,EQ,1384,1423.95,1372.2,1387,1383.2,1397.65,189406,265041619.85,02-MAR-2022,14442,INE0BV301023,
MAPMYINDIA,EQ,1404.6,1419.9,1385,1403.95,1407,1387,211408,296579619.45,03-MAR-2022,15706,INE0BV301023,
MAPMYINDIA,EQ,1399,1487.8,1390,1452.45,1454,1403.95,496364,715046381.85,04-MAR-2022,34040,INE0BV301023,
MAPMYINDIA,EQ,1409,1434.9,1382.05,1392.3,1384,1452.45,151465,212938197,07-MAR-2022,13962,INE0BV301023,
MAPMYINDIA,EQ,1395.85,1437.55,1390,1418.55,1416,1392.3,163586,231866121.6,08-MAR-2022,12398,INE0BV301023,
MAPMYINDIA,EQ,1427.7,1486,1425.95,1475.1,1484,1418.55,209786,306641290,09-MAR-2022,14131,INE0BV301023,
MAPMYINDIA,EQ,1509,1538,1495,1504.8,1505,1475.1,261772,396663227.25,10-MAR-2022,16960,INE0BV301023,
MAPMYINDIA,EQ,1503.9,1539,1490,1509.8,1509.3,1504.8,118380,179731276.4,11-MAR-2022,9392,INE0BV301023,
MAPMYINDIA,EQ,1516.7,1532,1494,1510.95,1508.5,1509.8,148795,225289965.45,14-MAR-2022,10804,INE0BV301023,
MAPMYINDIA,EQ,1510.25,1521.95,1452.05,1464.25,1462,1510.95,134234,199024130.1,15-MAR-2022,10633,INE0BV301023,
MAPMYINDIA,EQ,1488.8,1532.25,1488.05,1519.55,1522,1464.25,208362,316217175.85,16-MAR-2022,14988,INE0BV301023,
MAPMYINDIA,EQ,1534,1616.4,1525,1533.7,1542,1519.55,559720,880506122.5,17-MAR-2022,33178,INE0BV301023,
MAPMYINDIA,EQ,1555,1595,1550.05,1577.15,1595,1533.7,200660,314638996,21-MAR-2022,12503,INE0BV301023,
MAPMYINDIA,EQ,1583,1584,1555,1572.95,1573.9,1577.15,120182,188717804.4,22-MAR-2022,7505,INE0BV301023,
MAPMYINDIA,EQ,1583,1625,1566.65,1575.5,1569,1572.95,250409,398556243.85,23-MAR-2022,15167,INE0BV301023,
MAPMYINDIA,EQ,1576,1579,1530,1544.35,1538.2,1575.5,150347,234529195.7,24-MAR-2022,8930,INE0BV301023,
MAPMYINDIA,EQ,1549.7,1560.05,1528,1531.7,1530,1544.35,91976,141686331.65,25-MAR-2022,6247,INE0BV301023,
MAPMYINDIA,EQ,1537.65,1539.45,1451,1475.65,1476,1531.7,125577,187707755.6,28-MAR-2022,9981,INE0BV301023,
MAPMYINDIA,EQ,1486,1526.95,1486,1515.5,1525,1475.65,148609,224339118.75,29-MAR-2022,10748,INE0BV301023,
MAPMYINDIA,EQ,1532,1557.9,1506.65,1524.2,1529,1515.5,106975,163750198.5,30-MAR-2022,6527,INE0BV301023,
MAPMYINDIA,EQ,1532.7,1541.9,1501.05,1510.7,1519,1524.2,58590,89067248.75,31-MAR-2022,4741,INE0BV301023,
MAPMYINDIA,EQ,1516,1544,1511.1,1522,1517.1,1510.7,101566,154968974.9,01-APR-2022,10102,INE0BV301023,
MAPMYINDIA,EQ,1529,1564,1514.05,1546.55,1538,1522,145338,223855672.7,04-APR-2022,11170,INE0BV301023,
MAPMYINDIA,EQ,1553,1600,1533,1585.7,1573,1546.55,224654,354121549.45,05-APR-2022,14150,INE0BV301023,
MAPMYINDIA,EQ,1570,1634.1,1560.05,1586.1,1585,1585.7,274252,440924072.25,06-APR-2022,15887,INE0BV301023,
MAPMYINDIA,EQ,1590,1592,1540,1547.3,1549,1586.1,106042,166187382.55,07-APR-2022,6934,INE0BV301023,
MAPMYINDIA,EQ,1553.7,1558.7,1532.65,1544.4,1549,1547.3,63301,97801967.35,08-APR-2022,4658,INE0BV301023,
MAPMYINDIA,EQ,1544.7,1675,1538.05,1652.1,1663,1544.4,503409,820571262.35,11-APR-2022,28576,INE0BV301023,
MAPMYINDIA,EQ,1663,1716.45,1640.25,1657.2,1645,1652.1,656491,1098960313.05,12-APR-2022,35644,INE0BV301023,
MAPMYINDIA,EQ,1670,1697,1650.15,1651.95,1655,1657.2,143100,238685469.3,13-APR-2022,9632,INE0BV301023,
MAPMYINDIA,EQ,1639,1644,1576.05,1587,1584.9,1651.95,128214,206044580.55,18-APR-2022,10467,INE0BV301023,
MAPMYINDIA,EQ,1597,1628.4,1542.3,1574,1545,1587,116709,186499911.15,19-APR-2022,10645,INE0BV301023,
MAPMYINDIA,EQ,1571,1598.45,1550,1560.25,1563.9,1574,93258,146861619.25,20-APR-2022,9152,INE0BV301023,
MAPMYINDIA,EQ,1568.7,1592.5,1550,1561.7,1556.85,1560.25,81371,127877374.25,21-APR-2022,6461,INE0BV301023,
MAPMYINDIA,EQ,1547.5,1635,1543.7,1600.7,1595,1561.7,196133,312990085.5,22-APR-2022,12491,INE0BV301023,
MAPMYINDIA,EQ,1570,1582.9,1551.05,1564.95,1565,1600.7,82973,129814339.85,25-APR-2022,7846,INE0BV301023,
MAPMYINDIA,EQ,1583.9,1589.7,1521.25,1538.25,1537,1564.95,76852,119493229.9,26-APR-2022,5932,INE0BV301023,
MAPMYINDIA,EQ,1528,1532.05,1475,1482.25,1480,1538.25,153117,230128075.65,27-APR-2022,12009,INE0BV301023,
MAPMYINDIA,EQ,1485.1,1528.95,1480.1,1483.25,1485,1482.25,281368,422393157,28-APR-2022,16510,INE0BV301023,
MAPMYINDIA,EQ,1493.4,1509.65,1476.65,1488.1,1485,1483.25,129768,193837550.4,29-APR-2022,9322,INE0BV301023,
MAPMYINDIA,EQ,1468.7,1518.95,1460.15,1483.5,1487.1,1488.1,84491,125841414.05,02-MAY-2022,11131,INE0BV301023,
MAPMYINDIA,EQ,1494.9,1498.65,1405.4,1424.1,1423.1,1483.5,152977,223912932.8,04-MAY-2022,15315,INE0BV301023,
MAPMYINDIA,EQ,1442,1474.2,1428,1455.85,1465.15,1424.1,81518,117787663.35,05-MAY-2022,9789,INE0BV301023,
MAPMYINDIA,EQ,1420,1436.35,1398.1,1409.7,1404,1455.85,117909,166590959.3,06-MAY-2022,9291,INE0BV301023,
MAPMYINDIA,EQ,1398,1401,1364,1371.6,1370.85,1409.7,69462,95703436.25,09-MAY-2022,6898,INE0BV301023,
MAPMYINDIA,EQ,1380,1384.9,1251,1280.45,1266,1371.6,165979,219593321.45,10-MAY-2022,17857,INE0BV301023,
MAPMYINDIA,EQ,1281.9,1285.5,1128.8,1167.85,1173.85,1280.45,468816,557417878.3,11-MAY-2022,31756,INE0BV301023,
MAPMYINDIA,EQ,1159,1215,1141.1,1171.45,1183,1167.85,278684,327663123.55,12-MAY-2022,19448,INE0BV301023,
MAPMYINDIA,EQ,1206,1292,1200.35,1249.7,1255,1171.45,294495,367488838.9,13-MAY-2022,28151,INE0BV301023,
MAPMYINDIA,EQ,1250,1287.5,1235,1265.1,1264,1249.7,113409,143249238.7,16-MAY-2022,12480,INE0BV301023,
MAPMYINDIA,EQ,1278.7,1327.5,1254.4,1315.7,1314.05,1265.1,122119,157348883.05,17-MAY-2022,12504,INE0BV301023,
MAPMYINDIA,EQ,1335,1341,1273,1290.2,1290,1315.7,103621,136165390.05,18-MAY-2022,10554,INE0BV301023,
MAPMYINDIA,EQ,1252.15,1318,1232.25,1297.6,1298.95,1290.2,176954,229415613.25,19-MAY-2022,18261,INE0BV301023,
MAPMYINDIA,EQ,1329,1342,1305,1325.55,1324,1297.6,97651,129109610.4,20-MAY-2022,12003,INE0BV301023,
MAPMYINDIA,EQ,1344,1357.5,1285,1310.95,1306,1325.55,164419,215786142.3,23-MAY-2022,14758,INE0BV301023,
MAPMYINDIA,EQ,1330,1331.95,1284.75,1307.9,1302.95,1310.95,156054,203282652.6,24-MAY-2022,12514,INE0BV301023,
MAPMYINDIA,EQ,1310,1320,1225.2,1264.75,1262,1307.9,155247,196299476.1,25-MAY-2022,12944,INE0BV301023,
MAPMYINDIA,EQ,1264.75,1282.15,1227.6,1255.25,1254,1264.75,96091,120335059.65,26-MAY-2022,10159,INE0BV301023,
MAPMYINDIA,EQ,1269.9,1318.9,1261,1310.4,1309,1255.25,149718,195188716,27-MAY-2022,14422,INE0BV301023,
MAPMYINDIA,EQ,1328.85,1402.5,1320.35,1365.7,1360,1310.4,240201,329045906.6,30-MAY-2022,22845,INE0BV301023,
MAPMYINDIA,EQ,1355,1395.8,1312.2,1328.6,1316,1365.7,322820,436091820.25,31-MAY-2022,24651,INE0BV301023,
MAPMYINDIA,EQ,1326.9,1343.7,1301.75,1309.1,1309,1328.6,71737,94571693.15,01-JUN-2022,7169,INE0BV301023,
MAPMYINDIA,EQ,1295,1317.35,1292.95,1299.3,1298.25,1309.1,71846,93495997.35,02-JUN-2022,5655,INE0BV301023,
MAPMYINDIA,EQ,1311,1322.85,1294.15,1306.2,1304,1299.3,103418,135035193.95,03-JUN-2022,8627,INE0BV301023,
MAPMYINDIA,EQ,1302,1343.6,1281.05,1336.6,1337,1306.2,105126,138901840.45,06-JUN-2022,11362,INE0BV301023,
MAPMYINDIA,EQ,1350,1375,1342.05,1367.15,1362,1336.6,151452,206082890.65,07-JUN-2022,14604,INE0BV301023,
MAPMYINDIA,EQ,1372.9,1379.8,1344.5,1369.15,1360,1367.15,57569,78443843.8,08-JUN-2022,6007,INE0BV301023,
MAPMYINDIA,EQ,1361.85,1393.85,1353.8,1367.3,1358.5,1369.15,68823,94554693.8,09-JUN-2022,7539,INE0BV301023,
MAPMYINDIA,EQ,1355.1,1390,1344,1376.55,1371.3,1367.3,65935,90390162.35,10-JUN-2022,7334,INE0BV301023,
MAPMYINDIA,EQ,1358,1359.65,1314.95,1329.75,1321.15,1376.55,88398,117876865.5,13-JUN-2022,8764,INE0BV301023,
MAPMYINDIA,EQ,1300.05,1343.55,1300.05,1335.15,1339.65,1329.75,56187,74888165,14-JUN-2022,6265,INE0BV301023,
MAPMYINDIA,EQ,1335.15,1351.3,1325,1337.5,1340.15,1335.15,34303,45878093.15,15-JUN-2022,4806,INE0BV301023,
MAPMYINDIA,EQ,1359,1369,1283.7,1301.75,1320,1337.5,80742,107106485.65,16-JUN-2022,11562,INE0BV301023,
MAPMYINDIA,EQ,1285.3,1322.2,1240,1253.8,1255,1301.75,78227,99708521.65,17-JUN-2022,10030,INE0BV301023,
MAPMYINDIA,EQ,1275,1287.15,1188,1223.7,1192.35,1253.8,69270,84844975.65,20-JUN-2022,9408,INE0BV301023,
MAPMYINDIA,EQ,1240.65,1285,1231.45,1268.1,1278,1223.7,93344,117536599.75,21-JUN-2022,10597,INE0BV301023,
MAPMYINDIA,EQ,1285,1294,1215,1224.8,1223,1268.1,92114,116684180.8,22-JUN-2022,9321,INE0BV301023,
MAPMYINDIA,EQ,1232,1252,1225,1244.95,1249.4,1224.8,33416,41486531.45,23-JUN-2022,3923,INE0BV301023,
MAPMYINDIA,EQ,1262,1315.45,1260.1,1308.55,1308.4,1244.95,103749,133791188.1,24-JUN-2022,10856,INE0BV301023,
MAPMYINDIA,EQ,1320,1389.95,1313.95,1359.55,1358,1308.55,227834,310297837.8,27-JUN-2022,17956,INE0BV301023,
MAPMYINDIA,EQ,1348,1384.9,1321.15,1364.05,1384.7,1359.55,255638,344032153.55,28-JUN-2022,19758,INE0BV301023,
MAPMYINDIA,EQ,1345,1381.65,1345,1374.25,1366,1364.05,54029,74114068.35,29-JUN-2022,6185,INE0BV301023,
MAPMYINDIA,EQ,1380.8,1423.9,1331,1411.9,1397.75,1374.25,166222,232465216.75,30-JUN-2022,15121,INE0BV301023,
MAPMYINDIA,EQ,1399.9,1421.25,1373.2,1404.8,1407,1411.9,83012,116392078,01-JUL-2022,10328,INE0BV301023,
MAPMYINDIA,EQ,1410,1432.5,1396.45,1406.1,1411,1404.8,55177,78192153.35,04-JUL-2022,7973,INE0BV301023,
