SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MASKINVEST,BE,15,15,15,15,15,12,400,6000,14-OCT-2016,4,INE885F01015,
MASKINVEST,BE,15.75,15.75,15.75,15.75,15.75,15,1,15.75,21-OCT-2016,1,INE885F01015,
MASKINVEST,BE,16.5,16.5,16.5,16.5,16.5,15.75,1,16.5,27-OCT-2016,1,INE885F01015,
MASKINVEST,BE,17.3,17.3,17.3,17.3,17.3,16.5,1,17.3,28-OCT-2016,1,INE885F01015,
MASKINVEST,BE,18.15,18.15,18.15,18.15,18.15,17.3,1,18.15,02-NOV-2016,1,INE885F01015,
MASKINVEST,BE,19.05,19.05,19.05,19.05,19.05,18.15,396,7543.8,03-NOV-2016,2,INE885F01015,
MASKINVEST,BE,20,20,20,20,20,19.05,2,40,10-NOV-2016,1,INE885F01015,
MASKINVEST,BE,21,21,21,21,21,20,100,2100,20-DEC-2016,1,INE885F01015,
MASKINVEST,BE,22.05,22.05,22.05,22.05,22.05,21,78,1719.9,06-FEB-2017,3,INE885F01015,
MASKINVEST,BE,23.15,23.15,23.15,23.15,23.15,22.05,200,4630,11-APR-2017,1,INE885F01015,
MASKINVEST,BE,24.3,24.3,24.3,24.3,24.3,23.15,300,7290,13-JUN-2017,2,INE885F01015,
MASKINVEST,BE,25.5,25.5,25.5,25.5,25.5,24.3,180,4590,16-JUN-2017,1,INE885F01015,
MASKINVEST,BE,26.75,26.75,26.75,26.75,26.75,25.5,100,2675,21-JUN-2017,1,INE885F01015,
MASKINVEST,BE,25.45,25.45,25.45,25.45,25.45,26.75,200,5090,23-JUN-2017,1,INE885F01015,
MASKINVEST,BE,25,25,25,25,25,25.45,220,5500,22-NOV-2017,4,INE885F01015,
MASKINVEST,BE,26.25,26.25,26.25,26.25,26.25,25,200,5250,27-NOV-2017,1,INE885F01015,
MASKINVEST,BE,27.55,27.55,27.55,27.55,27.55,26.25,100,2755,04-DEC-2017,2,INE885F01015,
MASKINVEST,BE,28.9,28.9,28.9,28.9,28.9,27.55,20,578,08-DEC-2017,3,INE885F01015,
MASKINVEST,BE,30.3,30.3,30,30.15,30,28.9,20,603,11-DEC-2017,3,INE885F01015,
MASKINVEST,BE,31.65,31.65,31.6,31.6,31.6,30.15,250,7906.5,12-DEC-2017,7,INE885F01015,
MASKINVEST,BE,33.15,33.15,33.15,33.15,33.15,31.6,2,66.3,13-DEC-2017,1,INE885F01015,
MASKINVEST,BE,34.8,34.8,34.8,34.8,34.8,33.15,20,696,14-DEC-2017,1,INE885F01015,
MASKINVEST,BE,36.5,36.5,36.5,36.5,36.5,34.8,28,1022,20-DEC-2017,1,INE885F01015,
MASKINVEST,BE,38.3,38.3,38.3,38.3,38.3,36.5,1,38.3,21-DEC-2017,1,INE885F01015,
MASKINVEST,BE,40.2,40.2,40.2,40.2,40.2,38.3,1,40.2,22-DEC-2017,1,INE885F01015,
MASKINVEST,BE,42.2,42.2,42.2,42.2,42.2,40.2,1,42.2,27-DEC-2017,1,INE885F01015,
MASKINVEST,BE,44.3,44.3,44.3,44.3,44.3,42.2,1,44.3,29-DEC-2017,1,INE885F01015,
MASKINVEST,BE,46.5,46.5,46.5,46.5,46.5,44.3,1,46.5,01-JAN-2018,1,INE885F01015,
MASKINVEST,BE,48.8,48.8,48.8,48.8,48.8,46.5,1,48.8,05-JAN-2018,1,INE885F01015,
MASKINVEST,BE,51.2,51.2,51.2,51.2,51.2,48.8,1,51.2,08-JAN-2018,1,INE885F01015,
MASKINVEST,BE,53.75,53.75,53.75,53.75,53.75,51.2,1,53.75,09-JAN-2018,1,INE885F01015,
MASKINVEST,BE,56.4,56.4,56.4,56.4,56.4,53.75,50,2820,10-JAN-2018,1,INE885F01015,
MASKINVEST,BE,59.2,59.2,59.2,59.2,59.2,56.4,1,59.2,11-JAN-2018,1,INE885F01015,
MASKINVEST,BE,62.15,62.15,62.15,62.15,62.15,59.2,1,62.15,12-JAN-2018,1,INE885F01015,
MASKINVEST,BE,65.25,65.25,65.25,65.25,65.25,62.15,82,5350.5,15-JAN-2018,1,INE885F01015,
MASKINVEST,BE,68.5,68.5,68.5,68.5,68.5,65.25,38,2603,17-JAN-2018,1,INE885F01015,
