SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MASPTOP50,EQ,28.22,28.32,27.65,28.04,28.04,27.4,486265,13653468.69,24-SEP-2021,750,INF769K01HP3,
MASPTOP50,EQ,28.6,28.75,28.05,28.28,28.15,28.04,172502,4880381.4,27-SEP-2021,665,INF769K01HP3,
MASPTOP50,EQ,28.55,30.1,27.9,27.99,28,28.28,526085,14766302.25,28-SEP-2021,936,INF769K01HP3,
MASPTOP50,EQ,28.94,28.94,27.3,27.72,27.72,27.99,134730,3734125.05,29-SEP-2021,708,INF769K01HP3,
MASPTOP50,EQ,28.55,28.55,27.7,27.81,27.79,27.72,464066,12923012.47,30-SEP-2021,387,INF769K01HP3,
MASPTOP50,EQ,27.8,28.14,27,27.19,27.13,27.81,230393,6282036.61,01-OCT-2021,1114,INF769K01HP3,
MASPTOP50,EQ,32,32,27.2,27.62,27.7,27.19,455100,12598027.14,04-OCT-2021,628,INF769K01HP3,
MASPTOP50,EQ,27.62,28.32,27.08,27.49,27.5,27.62,146425,4015250.02,05-OCT-2021,623,INF769K01HP3,
MASPTOP50,EQ,27.6,28.29,27.43,27.54,27.5,27.49,428433,11835334.37,06-OCT-2021,402,INF769K01HP3,
MASPTOP50,EQ,27.55,28.25,27.55,28,27.9,27.54,26398,737731.54,07-OCT-2021,439,INF769K01HP3,
MASPTOP50,EQ,28.49,28.49,27.83,28.11,28.19,28,484811,13690971.66,08-OCT-2021,601,INF769K01HP3,
MASPTOP50,EQ,29.85,29.85,27.8,28.11,28.16,28.11,39156,1098844.89,11-OCT-2021,512,INF769K01HP3,
MASPTOP50,EQ,28.98,28.98,27.88,28.1,28.08,28.11,54170,1520161.65,12-OCT-2021,349,INF769K01HP3,
MASPTOP50,EQ,29.95,29.95,27.75,28.06,28.08,28.1,73304,2054913.43,13-OCT-2021,430,INF769K01HP3,
MASPTOP50,EQ,28.35,28.35,27.9,28.18,28.2,28.06,62506,1759464.5,14-OCT-2021,482,INF769K01HP3,
MASPTOP50,EQ,28.18,28.88,28.02,28.59,28.72,28.18,50564,1448866.45,18-OCT-2021,650,INF769K01HP3,
MASPTOP50,EQ,29.45,29.45,28.6,29.09,29.01,28.59,61748,1784509.46,19-OCT-2021,495,INF769K01HP3,
MASPTOP50,EQ,29.45,29.79,28.8,29.07,29.1,29.09,110191,3211172.63,20-OCT-2021,526,INF769K01HP3,
MASPTOP50,EQ,29.1,29.88,28.99,29.09,29.1,29.07,48317,1404942.35,21-OCT-2021,377,INF769K01HP3,
MASPTOP50,EQ,29.79,29.79,28.85,28.99,29,29.09,41599,1210376.47,22-OCT-2021,386,INF769K01HP3,
MASPTOP50,EQ,29.2,29.3,28.52,28.84,29.17,28.99,112352,3265831.89,25-OCT-2021,763,INF769K01HP3,
