SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MATRIMONY,EQ,985,1024,896.25,904.65,899.1,985,3338604,3149943432,21-SEP-2017,124984,INE866R01028,
MATRIMONY,EQ,887.8,887.8,801.2,821.9,822,904.65,1158347,961243503.45,22-SEP-2017,46547,INE866R01028,
MATRIMONY,EQ,816.3,836.9,785,801.4,797,821.9,382426,308537909.3,25-SEP-2017,21133,INE866R01028,
MATRIMONY,EQ,797.1,819.4,797.1,803.15,802,801.4,137703,111385191.1,26-SEP-2017,6672,INE866R01028,
MATRIMONY,EQ,810,817.9,790,792.2,792,803.15,118476,95091206.9,27-SEP-2017,5741,INE866R01028,
MATRIMONY,EQ,792.2,800.95,775.55,791.65,797.95,792.2,65955,52081492.4,28-SEP-2017,3609,INE866R01028,
MATRIMONY,EQ,797.95,810,792,795,795,791.65,55982,44698883.25,29-SEP-2017,2810,INE866R01028,
MATRIMONY,EQ,800,815,794,807.5,805.05,795,84170,67802626.45,03-OCT-2017,3641,INE866R01028,
MATRIMONY,EQ,810,819.8,805,812.7,813.6,807.5,29829,24236400.45,04-OCT-2017,1753,INE866R01028,
MATRIMONY,EQ,814.95,828,810.45,823.05,820.7,812.7,31612,25893837.05,05-OCT-2017,1892,INE866R01028,
MATRIMONY,EQ,826.9,827,814.95,819.95,820,823.05,21450,17606150.05,06-OCT-2017,1621,INE866R01028,
MATRIMONY,EQ,820,839.5,810.85,835.35,837.5,819.95,32022,26579033.15,09-OCT-2017,2077,INE866R01028,
MATRIMONY,EQ,833.55,864.8,833.55,857.95,856,835.35,49582,42330034.95,10-OCT-2017,3468,INE866R01028,
MATRIMONY,EQ,858.25,870,858.25,865.2,864,857.95,50993,43976207.75,11-OCT-2017,2212,INE866R01028,
MATRIMONY,EQ,860,862,852,855.85,857,865.2,9384,8038530.45,12-OCT-2017,765,INE866R01028,
MATRIMONY,EQ,858.3,869,855.65,862.5,859,855.85,16465,14216608.85,13-OCT-2017,1130,INE866R01028,
MATRIMONY,EQ,861,882.4,859.1,870.55,873.5,862.5,18502,16122236.15,16-OCT-2017,1971,INE866R01028,
MATRIMONY,EQ,870,880,867.05,870.7,870,870.55,5806,5057350.3,17-OCT-2017,766,INE866R01028,
MATRIMONY,EQ,870,872.75,867,870.05,872,870.7,7361,6403905.4,18-OCT-2017,456,INE866R01028,
MATRIMONY,EQ,858,874,845,863.05,860,846.65,15200,13126168.05,23-OCT-2017,899,INE866R01028,
MATRIMONY,EQ,867.1,879.95,863.6,869.5,870,863.05,15313,13337056.1,24-OCT-2017,821,INE866R01028,
MATRIMONY,EQ,864.25,872,860,870.15,870.45,869.5,12791,11118425.35,25-OCT-2017,696,INE866R01028,
MATRIMONY,EQ,859.5,871.9,852,857.25,852,870.15,14242,12371273.95,26-OCT-2017,458,INE866R01028,
MATRIMONY,EQ,852.15,857.55,841.1,854.05,850,857.25,11168,9522967.85,27-OCT-2017,621,INE866R01028,
MATRIMONY,EQ,850,866,847.2,865.05,865.5,854.05,5827,5008673.8,30-OCT-2017,450,INE866R01028,
MATRIMONY,EQ,860,885,860,882.65,884,865.05,17835,15653151.4,31-OCT-2017,1609,INE866R01028,
MATRIMONY,EQ,875,882.9,875,880.6,882.9,882.65,8845,7787131.6,01-NOV-2017,664,INE866R01028,
MATRIMONY,EQ,852,880,852,878.15,878,880.6,4292,3766758.6,02-NOV-2017,249,INE866R01028,
MATRIMONY,EQ,877,879.95,872.05,878.05,878.9,878.15,8088,7099144.6,03-NOV-2017,351,INE866R01028,
MATRIMONY,EQ,874.8,876.7,870,870,870,878.05,3993,3475225.1,06-NOV-2017,235,INE866R01028,
MATRIMONY,EQ,875.3,876.5,870,871,870.95,870,9165,7984722.5,07-NOV-2017,451,INE866R01028,
MATRIMONY,EQ,873.4,873.4,870,872.2,872,871,4423,3856318,08-NOV-2017,567,INE866R01028,
MATRIMONY,EQ,872,878.9,870.1,874.05,878.9,872.2,3637,3175623.75,09-NOV-2017,327,INE866R01028,
MATRIMONY,EQ,870.05,872.5,870,870.05,871,874.05,2287,1990285.05,10-NOV-2017,195,INE866R01028,
MATRIMONY,EQ,871.2,872.7,870,871.9,872.1,870.05,4362,3798899.75,13-NOV-2017,283,INE866R01028,
MATRIMONY,EQ,866.4,872.1,860,864,871.8,871.9,2733,2367694.75,14-NOV-2017,215,INE866R01028,
MATRIMONY,EQ,870.75,875,850,865.65,870.95,864,10352,8944701.4,15-NOV-2017,394,INE866R01028,
MATRIMONY,EQ,868.95,878,850,863.95,865,865.65,4553,3905987.9,16-NOV-2017,479,INE866R01028,
MATRIMONY,EQ,890,891.65,857.1,867.5,857.1,863.95,17463,15250837.8,17-NOV-2017,1432,INE866R01028,
MATRIMONY,EQ,867.5,879,855.05,873.6,874,867.5,9660,8363217.45,20-NOV-2017,486,INE866R01028,
MATRIMONY,EQ,871.8,882.05,858.5,879.35,882,873.6,6412,5618505.8,21-NOV-2017,578,INE866R01028,
