SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MBLINFRA,EQ,228,228.1,222.5,224.85,226,227.75,140045,31445522.1,01-JAN-2016,1671,INE912H01013,
MBLINFRA,EQ,224.85,228.05,220,223.65,224,224.85,235432,53267053.85,04-JAN-2016,1802,INE912H01013,
MBLINFRA,EQ,224.9,228.5,217.05,218.1,218.4,223.65,378518,84218708.1,05-JAN-2016,5380,INE912H01013,
MBLINFRA,EQ,220.75,223.85,218,218.65,218.9,218.1,151061,33370282.55,06-JAN-2016,2489,INE912H01013,
MBLINFRA,EQ,216,216.95,206.1,208.55,207.25,218.65,77866,16437215.3,07-JAN-2016,1574,INE912H01013,
MBLINFRA,EQ,209,217.8,209,215.8,217,208.55,83878,18022510.7,08-JAN-2016,1833,INE912H01013,
MBLINFRA,EQ,215,215,210.1,213.45,214.5,215.8,33019,7035579.35,11-JAN-2016,773,INE912H01013,
MBLINFRA,EQ,216,221.7,212.25,214.25,214,213.45,57854,12529341.35,12-JAN-2016,1562,INE912H01013,
MBLINFRA,EQ,217.85,218,199,205.45,208,214.25,90974,18658570.8,13-JAN-2016,1661,INE912H01013,
MBLINFRA,EQ,204,204,195.5,200.3,201.3,205.45,40566,8144216.6,14-JAN-2016,886,INE912H01013,
MBLINFRA,EQ,203.9,203.9,187,192.5,192.9,200.3,49941,9889998.7,15-JAN-2016,1152,INE912H01013,
MBLINFRA,EQ,178,187,162.6,165.2,163.95,192.5,245883,41458057.6,18-JAN-2016,4198,INE912H01013,
MBLINFRA,EQ,166.1,176.3,162.65,171.1,174,165.2,153380,26116185.1,19-JAN-2016,2720,INE912H01013,
MBLINFRA,EQ,168,169.35,157,159.5,160,171.1,113709,18370251.55,20-JAN-2016,4818,INE912H01013,
MBLINFRA,EQ,162.7,171,162,165.15,167,159.5,272738,45428288.5,21-JAN-2016,3094,INE912H01013,
MBLINFRA,EQ,171.5,174.6,168.5,171.85,171.2,165.15,49603,8468908.2,22-JAN-2016,1457,INE912H01013,
MBLINFRA,EQ,176,183.8,171.85,173.35,174.4,171.85,94163,16757850.95,25-JAN-2016,2197,INE912H01013,
MBLINFRA,EQ,177.85,177.85,166.6,170,170,173.35,32879,5651888.55,27-JAN-2016,756,INE912H01013,
MBLINFRA,EQ,168,170.6,164.3,165.2,165.6,170,66215,11062909.35,28-JAN-2016,1092,INE912H01013,
MBLINFRA,EQ,168.45,168.45,160,162.85,162,165.2,67004,11027050.75,29-JAN-2016,2016,INE912H01013,
MBLINFRA,EQ,164.95,169.4,163.8,167.85,168.45,162.85,30156,5056382.45,01-FEB-2016,782,INE912H01013,
MBLINFRA,EQ,167.1,169,162,163.4,164.55,167.85,48052,7992836.2,02-FEB-2016,2006,INE912H01013,
MBLINFRA,EQ,162,163.2,157.8,159.45,159.7,163.4,39698,6401729.5,03-FEB-2016,789,INE912H01013,
MBLINFRA,EQ,163,163.2,156.5,157.05,157,159.45,19248,3063033,04-FEB-2016,890,INE912H01013,
MBLINFRA,EQ,157,159.9,153,154.7,155.55,157.05,54213,8466544.1,05-FEB-2016,1635,INE912H01013,
MBLINFRA,EQ,158.85,160,155.25,156.85,156,154.7,32944,5213877.7,08-FEB-2016,1743,INE912H01013,
MBLINFRA,EQ,155.6,156.25,150,150.8,150.3,156.85,27850,4230822.1,09-FEB-2016,1298,INE912H01013,
MBLINFRA,EQ,150.8,150.8,141.5,144.85,144.45,150.8,255012,37063272.35,10-FEB-2016,2530,INE912H01013,
MBLINFRA,EQ,144.85,145.8,126,131.8,134.5,144.85,63928,8755542.45,11-FEB-2016,1499,INE912H01013,
MBLINFRA,EQ,134.95,134.95,120,124.05,123.5,131.8,80753,9997815.05,12-FEB-2016,1522,INE912H01013,
MBLINFRA,EQ,130.15,144.45,130.15,140.6,139.5,124.05,114601,15931288.3,15-FEB-2016,3382,INE912H01013,
MBLINFRA,EQ,144,148.5,131.25,135.9,137.95,140.6,66967,9345530.3,16-FEB-2016,2852,INE912H01013,
MBLINFRA,EQ,138.9,139.8,132.05,136.1,135.5,135.9,45327,6155774.55,17-FEB-2016,1078,INE912H01013,
MBLINFRA,EQ,142,144.6,135.65,138.5,136.15,136.1,45012,6295367.8,18-FEB-2016,2418,INE912H01013,
MBLINFRA,EQ,136.15,139.5,136.15,137.45,137.9,138.5,20648,2847392.8,19-FEB-2016,451,INE912H01013,
MBLINFRA,EQ,139,140,133.2,135.05,135.9,137.45,39138,5348907.5,22-FEB-2016,2530,INE912H01013,
MBLINFRA,EQ,136,137.4,130,130.4,130,135.05,30378,4004751.5,23-FEB-2016,3029,INE912H01013,
MBLINFRA,EQ,130,130,122.6,123.7,124.6,130.4,52431,6561693.45,24-FEB-2016,4269,INE912H01013,
MBLINFRA,EQ,125,126.3,118.5,120.5,120,123.7,37219,4554126.95,25-FEB-2016,3361,INE912H01013,
MBLINFRA,EQ,122.95,123.9,118,119.65,119.5,120.5,24530,2953680.85,26-FEB-2016,810,INE912H01013,
MBLINFRA,EQ,120.2,124.5,115.2,116.3,115.95,119.65,97073,11669288.35,29-FEB-2016,3093,INE912H01013,
MBLINFRA,EQ,119.5,130,118,127.25,126.5,116.3,85998,10791596.9,01-MAR-2016,2832,INE912H01013,
MBLINFRA,EQ,128.1,138.8,128.1,134.8,135.1,127.25,77718,10523377.1,02-MAR-2016,2284,INE912H01013,
MBLINFRA,EQ,134.2,141,134.1,136.65,137.05,134.8,43200,5912876.2,03-MAR-2016,796,INE912H01013,
MBLINFRA,EQ,136.7,141.25,131.4,137.75,138.2,136.65,63545,8760065.55,04-MAR-2016,1149,INE912H01013,
MBLINFRA,EQ,135.1,141.15,135.1,136.65,136.5,137.75,41702,5752227,08-MAR-2016,956,INE912H01013,
MBLINFRA,EQ,137,140.5,132,138.95,140.1,136.65,33479,4616588.15,09-MAR-2016,653,INE912H01013,
MBLINFRA,EQ,143.75,144,137.2,139.7,140,138.95,31477,4431028,10-MAR-2016,865,INE912H01013,
MBLINFRA,EQ,139.95,140.9,136.25,137.55,137.55,139.7,17366,2411545.05,11-MAR-2016,414,INE912H01013,
MBLINFRA,EQ,135.55,141,135.55,136.8,137.25,137.55,24977,3443483.5,14-MAR-2016,493,INE912H01013,
MBLINFRA,EQ,136.85,139.9,132.1,133.85,133.8,136.8,24513,3338819.1,15-MAR-2016,665,INE912H01013,
MBLINFRA,EQ,134.3,140.3,128.65,132.25,131.4,133.85,514482,68725406.75,16-MAR-2016,2453,INE912H01013,
MBLINFRA,EQ,132.9,140.75,132.85,137.6,137,132.25,506734,69684667.65,17-MAR-2016,2083,INE912H01013,
MBLINFRA,EQ,135.5,140.3,135.5,137.95,136.45,137.6,241807,33682634.1,18-MAR-2016,1049,INE912H01013,
MBLINFRA,EQ,139.45,154,137.5,151.95,150.6,137.95,330269,49181288.45,21-MAR-2016,3700,INE912H01013,
MBLINFRA,EQ,151.9,157.95,148.1,153.55,154.75,151.95,241679,37289800,22-MAR-2016,1958,INE912H01013,
MBLINFRA,EQ,153.55,161.8,152.25,159.6,158.15,153.55,71694,11276878.3,23-MAR-2016,1200,INE912H01013,
MBLINFRA,EQ,161.95,164.8,153,153.7,154,159.6,90488,14416760.45,28-MAR-2016,1366,INE912H01013,
MBLINFRA,EQ,156.9,156.9,148,151.8,151.9,153.7,94766,14365603.75,29-MAR-2016,925,INE912H01013,
MBLINFRA,EQ,154,163,153.05,154.3,153.2,151.8,57743,8963154.85,30-MAR-2016,1066,INE912H01013,
MBLINFRA,EQ,152,155,151.55,152.55,152,154.3,26491,4068622.55,31-MAR-2016,386,INE912H01013,
MBLINFRA,EQ,153,155,152.1,154,154.25,152.55,28948,4456959.1,01-APR-2016,848,INE912H01013,
MBLINFRA,EQ,165.7,167.85,154.1,156.2,155.55,154,861146,137167118.95,04-APR-2016,10110,INE912H01013,
MBLINFRA,EQ,158.5,165.45,153.05,154.15,154.8,156.2,688147,109729472.4,05-APR-2016,5887,INE912H01013,
MBLINFRA,EQ,155.6,164,153.4,156.15,156.5,154.15,551648,87302357.95,06-APR-2016,5607,INE912H01013,
MBLINFRA,EQ,157,159.5,155.75,156.6,157,156.15,241891,38083728.75,07-APR-2016,1631,INE912H01013,
MBLINFRA,EQ,156.6,157.9,154.55,155.2,155.5,156.6,94728,14739102.5,08-APR-2016,1481,INE912H01013,
MBLINFRA,EQ,155.25,159.7,153.5,154.45,154.45,155.2,211564,33099428.55,11-APR-2016,2694,INE912H01013,
MBLINFRA,EQ,155,157.5,154,154.35,154.8,154.45,221007,34296709.45,12-APR-2016,1409,INE912H01013,
MBLINFRA,EQ,156.7,158.2,155.1,156.25,156.9,154.35,155724,24412090.85,13-APR-2016,1842,INE912H01013,
MBLINFRA,EQ,158.45,158.45,154.15,155.1,155,156.25,144207,22594082.5,18-APR-2016,924,INE912H01013,
MBLINFRA,EQ,155.35,156.9,154,154.6,154.5,155.1,178216,27639471.3,20-APR-2016,2449,INE912H01013,
MBLINFRA,EQ,156.5,156.5,148.3,151.8,152.1,154.6,103493,15782763.55,21-APR-2016,1458,INE912H01013,
MBLINFRA,EQ,152,152,144.7,145.5,145,151.8,163226,24078033.45,22-APR-2016,3425,INE912H01013,
MBLINFRA,EQ,145.95,147.95,142.5,143.4,142.9,145.5,96474,13975993.35,25-APR-2016,1482,INE912H01013,
MBLINFRA,EQ,144,147.85,142.8,146.15,146.35,143.4,64612,9440697.8,26-APR-2016,1123,INE912H01013,
MBLINFRA,EQ,147.8,148.9,146,148.15,147.5,146.15,51601,7609257.1,27-APR-2016,678,INE912H01013,
MBLINFRA,EQ,148.9,148.9,141.35,143.75,144.5,148.15,74552,10823192,28-APR-2016,779,INE912H01013,
MBLINFRA,EQ,144.5,144.5,139,141.05,140.95,143.75,81640,11502083.9,29-APR-2016,1067,INE912H01013,
MBLINFRA,EQ,141.2,143.45,139.1,142.55,142.85,141.05,27154,3848821.1,02-MAY-2016,664,INE912H01013,
MBLINFRA,EQ,142.15,147.2,142.15,145.35,145.2,142.55,109275,15886007.25,03-MAY-2016,1441,INE912H01013,
MBLINFRA,EQ,145.35,146.65,143,143.5,144.85,145.35,49065,7094824.25,04-MAY-2016,731,INE912H01013,
MBLINFRA,EQ,143.6,144.85,140.7,141.5,141.45,143.5,35150,5006928.25,05-MAY-2016,618,INE912H01013,
MBLINFRA,EQ,140.2,140.8,135.5,136.3,136.55,141.5,89573,12293888.8,06-MAY-2016,1470,INE912H01013,
MBLINFRA,EQ,139.35,139.35,136.8,137.1,136.8,136.3,51934,7145902.95,09-MAY-2016,514,INE912H01013,
MBLINFRA,EQ,137.1,137.4,135,135.3,135.2,137.1,51592,7013046.55,10-MAY-2016,567,INE912H01013,
MBLINFRA,EQ,133.95,133.95,130,130.45,130.5,135.3,118478,15532604.65,11-MAY-2016,1335,INE912H01013,
MBLINFRA,EQ,130.9,131.9,129.2,131,131,130.45,86684,11353009.6,12-MAY-2016,805,INE912H01013,
MBLINFRA,EQ,131.5,131.5,124.25,125.85,125,131,80546,10304926.8,13-MAY-2016,1709,INE912H01013,
MBLINFRA,EQ,125.5,134.7,125.2,132.45,133,125.85,88604,11586049.6,16-MAY-2016,1202,INE912H01013,
MBLINFRA,EQ,134,134,128.6,130.1,129,132.45,66561,8778831.15,17-MAY-2016,678,INE912H01013,
MBLINFRA,EQ,129,132.8,126.25,130.75,131,130.1,29745,3895737.1,18-MAY-2016,1028,INE912H01013,
MBLINFRA,EQ,132.5,133.4,128.4,132.4,131.5,130.75,77441,10147205.85,19-MAY-2016,1705,INE912H01013,
MBLINFRA,EQ,132,133.8,128,128.75,128.2,132.4,157803,20571944.4,20-MAY-2016,957,INE912H01013,
MBLINFRA,EQ,128.8,131.7,125.5,126.3,126.9,128.75,118387,15087568.65,23-MAY-2016,985,INE912H01013,
MBLINFRA,EQ,126.5,128.65,122.2,123.75,123.6,126.3,87562,10866905,24-MAY-2016,1127,INE912H01013,
MBLINFRA,EQ,126.85,128.75,125,127.7,128.05,123.75,52048,6618784.45,25-MAY-2016,744,INE912H01013,
MBLINFRA,EQ,128,130.4,127.5,128.25,127.65,127.7,77804,9995065.8,26-MAY-2016,521,INE912H01013,
MBLINFRA,EQ,129.4,136,128.35,132.5,132.5,128.25,141392,18805925.75,27-MAY-2016,1878,INE912H01013,
MBLINFRA,EQ,133.75,134.85,132.1,133.3,133.7,132.5,68739,9165487.65,30-MAY-2016,523,INE912H01013,
MBLINFRA,EQ,134,134,124.55,125.5,126.9,133.3,108629,13769497.5,31-MAY-2016,2014,INE912H01013,
MBLINFRA,EQ,125.55,127.5,122.8,123.7,124.3,125.5,90225,11239382.4,01-JUN-2016,2133,INE912H01013,
