SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MCDOWELL-N,EQ,3001,3050,3001,3010.5,3010,2991.45,95919,290203941.75,01-JAN-2016,9810,INE854D01016,
MCDOWELL-N,EQ,3009,3019.45,2941,2977.45,2973.45,3010.5,94042,279460645.9,04-JAN-2016,11459,INE854D01016,
MCDOWELL-N,EQ,2984,2998,2930.1,2945,2932,2977.45,68209,201610083.15,05-JAN-2016,8795,INE854D01016,
MCDOWELL-N,EQ,2949,2958.5,2884,2898.65,2885,2945,147928,430402359.6,06-JAN-2016,21423,INE854D01016,
MCDOWELL-N,EQ,2867.65,2880,2765,2782.3,2768,2898.65,208075,583791359.75,07-JAN-2016,16272,INE854D01016,
MCDOWELL-N,EQ,2800,2833,2738,2810.4,2822,2782.3,151135,421115963.7,08-JAN-2016,16155,INE854D01016,
MCDOWELL-N,EQ,2804.9,2804.9,2736,2758.1,2750,2810.4,125728,348069854.8,11-JAN-2016,13316,INE854D01016,
MCDOWELL-N,EQ,2768,2845.45,2764,2831.9,2830,2758.1,146163,411296815.35,12-JAN-2016,14672,INE854D01016,
MCDOWELL-N,EQ,2839.95,2859,2751,2797.6,2795,2831.9,106582,298547534,13-JAN-2016,8381,INE854D01016,
MCDOWELL-N,EQ,2778,2802,2747.3,2762.75,2760,2797.6,74139,205299430.95,14-JAN-2016,7378,INE854D01016,
MCDOWELL-N,EQ,2798,2798,2665.6,2679.9,2678,2762.75,116362,315308935.25,15-JAN-2016,10246,INE854D01016,
MCDOWELL-N,EQ,2650,2703.3,2549.95,2590.25,2585,2679.9,169042,437419137.25,18-JAN-2016,15377,INE854D01016,
MCDOWELL-N,EQ,2600,2749.95,2590,2731.15,2745,2590.25,150992,407414359.7,19-JAN-2016,10819,INE854D01016,
MCDOWELL-N,EQ,2694.95,2829.3,2654.85,2738.75,2708.8,2731.15,208314,573024783.1,20-JAN-2016,20006,INE854D01016,
MCDOWELL-N,EQ,2754,2799,2641.1,2677.05,2700.2,2738.75,155979,423730399.85,21-JAN-2016,13998,INE854D01016,
MCDOWELL-N,EQ,2700,2798,2692.15,2757.45,2770,2677.05,178929,493868385.45,22-JAN-2016,20002,INE854D01016,
MCDOWELL-N,EQ,2784,2868,2675.05,2700,2707,2757.45,236536,658127126.45,25-JAN-2016,24335,INE854D01016,
MCDOWELL-N,EQ,2799,2799,2565.1,2586.75,2570,2700,551661,1447927862.15,27-JAN-2016,37015,INE854D01016,
MCDOWELL-N,EQ,2550.1,2699,2550.1,2578.85,2565,2586.75,569770,1493312925.75,28-JAN-2016,44708,INE854D01016,
MCDOWELL-N,EQ,2605,2605,2427,2488.45,2501,2578.85,356102,892352472,29-JAN-2016,28341,INE854D01016,
MCDOWELL-N,EQ,2528,2548,2445,2452.65,2446,2488.45,172208,428144478,01-FEB-2016,18106,INE854D01016,
MCDOWELL-N,EQ,2467.9,2503.95,2435.15,2454.65,2458,2452.65,158787,391759303.25,02-FEB-2016,12941,INE854D01016,
MCDOWELL-N,EQ,2439,2628,2416.75,2527.85,2521.8,2454.65,493012,1256288486.15,03-FEB-2016,36469,INE854D01016,
