SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MEP,EQ,45.4,46.15,45.1,45.75,45.85,45.45,492661,22504792.25,01-JAN-2016,1370,INE776I01010,
MEP,EQ,45.35,47.3,45.1,45.45,45.75,45.75,537628,24621911.85,04-JAN-2016,1502,INE776I01010,
MEP,EQ,45.55,46.9,45.55,46.15,46.55,45.45,420425,19457930.9,05-JAN-2016,1899,INE776I01010,
MEP,EQ,46.05,49,46,47.45,47.4,46.15,665438,31698272.9,06-JAN-2016,3009,INE776I01010,
MEP,EQ,46.7,46.9,43.5,44.1,44.2,47.45,341848,15446193.55,07-JAN-2016,1957,INE776I01010,
MEP,EQ,44.6,45.9,44.4,44.7,44.8,44.1,158209,7099981.8,08-JAN-2016,1428,INE776I01010,
MEP,EQ,44,46,43.55,45.75,46,44.7,393053,17795827.75,11-JAN-2016,1609,INE776I01010,
MEP,EQ,45.75,46,43.8,44.15,44.7,45.75,232688,10360030.3,12-JAN-2016,1018,INE776I01010,
MEP,EQ,44.5,45.15,40,43.6,43.7,44.15,914503,39251578.4,13-JAN-2016,2988,INE776I01010,
MEP,EQ,42.05,44.5,41.8,42.7,43.5,43.6,277697,11936749.45,14-JAN-2016,1187,INE776I01010,
MEP,EQ,42.8,43.6,40.55,41.4,41.45,42.7,204626,8677069.7,15-JAN-2016,1607,INE776I01010,
MEP,EQ,41.75,43.4,36,42.5,42.25,41.4,1286181,52158905.2,18-JAN-2016,3389,INE776I01010,
MEP,EQ,42.8,43.45,41.1,41.85,42.15,42.5,636624,26838710.3,19-JAN-2016,1492,INE776I01010,
MEP,EQ,41.6,42.3,39.05,41.25,42.05,41.85,265038,10649169.7,20-JAN-2016,1396,INE776I01010,
MEP,EQ,42.4,44.4,40.8,43.7,42.6,41.25,542994,23395720.2,21-JAN-2016,2140,INE776I01010,
MEP,EQ,43.8,43.9,42.5,43.35,42.75,43.7,172269,7444926.2,22-JAN-2016,1131,INE776I01010,
MEP,EQ,44,45.05,42.65,42.85,42.7,43.35,218076,9420834.6,25-JAN-2016,3121,INE776I01010,
MEP,EQ,43,43.65,41.75,43.1,43.45,42.85,229944,9809688,27-JAN-2016,3188,INE776I01010,
MEP,EQ,43.15,44.75,41.9,43.95,43.7,43.1,818906,35498786.05,28-JAN-2016,2210,INE776I01010,
MEP,EQ,43.7,43.75,42.4,43.25,43.3,43.95,144315,6218742.75,29-JAN-2016,1941,INE776I01010,
MEP,EQ,43.15,45.5,42.8,44.6,44.75,43.25,385266,17084329.05,01-FEB-2016,4735,INE776I01010,
MEP,EQ,44.6,44.95,43.45,43.6,43.9,44.6,214724,9422964.2,02-FEB-2016,2937,INE776I01010,
MEP,EQ,43,43.2,41.5,42.2,41.85,43.6,190571,8059962.85,03-FEB-2016,1063,INE776I01010,
MEP,EQ,42.55,42.7,41.25,41.6,41.3,42.2,89726,3766047.1,04-FEB-2016,1960,INE776I01010,
MEP,EQ,41.85,41.85,40.2,40.6,40.7,41.6,99793,4069796.6,05-FEB-2016,844,INE776I01010,
MEP,EQ,40.7,41.15,40.4,40.65,40.6,40.6,85430,3484165.25,08-FEB-2016,782,INE776I01010,
MEP,EQ,40.05,42.4,39.6,41.05,41.05,40.65,437216,18042180.25,09-FEB-2016,3284,INE776I01010,
MEP,EQ,40.8,41.8,39.9,40.35,40.2,41.05,100210,4067223.55,10-FEB-2016,1135,INE776I01010,
MEP,EQ,40.1,40.25,35.05,36.95,37.05,40.35,221235,8474118,11-FEB-2016,1036,INE776I01010,
MEP,EQ,37.1,40.2,34.2,39.4,40,36.95,510371,19637669.2,12-FEB-2016,1914,INE776I01010,
MEP,EQ,40.4,46,38.6,45.1,43.5,39.4,957500,41455833.7,15-FEB-2016,3601,INE776I01010,
MEP,EQ,44.35,44.35,41.55,42.25,42,45.1,280678,11949899.35,16-FEB-2016,2386,INE776I01010,
MEP,EQ,41.35,42.65,40.3,41.1,42.3,42.25,420542,17254892,17-FEB-2016,1305,INE776I01010,
MEP,EQ,41.7,42.6,40.7,42.3,42.45,41.1,193481,8075150.75,18-FEB-2016,3673,INE776I01010,
MEP,EQ,41.95,42.3,39.5,40.2,39.85,42.3,211376,8689236,19-FEB-2016,1429,INE776I01010,
MEP,EQ,40.45,41.45,39.75,40.3,40,40.2,180110,7339855.65,22-FEB-2016,1479,INE776I01010,
MEP,EQ,40.15,40.15,37.8,39.1,39.3,40.3,207573,8076264.8,23-FEB-2016,1507,INE776I01010,
MEP,EQ,38.9,39.5,37.75,38.65,39,39.1,225042,8666008.85,24-FEB-2016,1092,INE776I01010,
MEP,EQ,38.35,38.7,37.5,37.9,38.05,38.65,58635,2236908.1,25-FEB-2016,803,INE776I01010,
MEP,EQ,38.1,39.55,36.35,38.5,39.45,37.9,214978,8162601.9,26-FEB-2016,1252,INE776I01010,
MEP,EQ,38.3,39.25,37.55,38.25,38.5,38.5,100416,3834554.05,29-FEB-2016,1006,INE776I01010,
MEP,EQ,38.55,39.7,38.1,39.4,39.3,38.25,280855,11004550.1,01-MAR-2016,837,INE776I01010,
MEP,EQ,39.85,41.7,39.5,40.25,40.05,39.4,256648,10420219.85,02-MAR-2016,2499,INE776I01010,
MEP,EQ,40.45,42.45,40.05,41,40.5,40.25,446892,18470787.15,03-MAR-2016,2193,INE776I01010,
MEP,EQ,41.1,41.75,40.3,40.5,40.65,41,397353,16243919.75,04-MAR-2016,1238,INE776I01010,
MEP,EQ,40.7,40.8,39.8,40.2,40.15,40.5,120874,4872608.2,08-MAR-2016,857,INE776I01010,
MEP,EQ,40.1,40.2,39.15,39.8,39.65,40.2,172395,6852440.1,09-MAR-2016,793,INE776I01010,
MEP,EQ,39.85,40.35,39.05,39.3,39.15,39.8,63894,2523741.45,10-MAR-2016,872,INE776I01010,
MEP,EQ,39.3,40.5,39.1,39.3,39.2,39.3,139369,5525846.8,11-MAR-2016,994,INE776I01010,
MEP,EQ,39.6,39.7,38.3,38.45,38.35,39.3,135060,5225953.55,14-MAR-2016,842,INE776I01010,
MEP,EQ,38.8,39.7,38.05,39.1,39.15,38.45,480627,18572822.85,15-MAR-2016,2194,INE776I01010,
MEP,EQ,39.3,40.1,38.25,38.8,38.6,39.1,423464,16638563.3,16-MAR-2016,1933,INE776I01010,
MEP,EQ,39.45,39.45,38.05,38.1,38.7,38.8,491820,18816464.65,17-MAR-2016,866,INE776I01010,
