SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MMFL,EQ,505.5,517,505,513.85,517,509.1,5111,2603634.1,01-JAN-2016,203,INE227C01017,
MMFL,EQ,507.1,530,507.1,527.4,530,513.85,7312,3813879.7,04-JAN-2016,453,INE227C01017,
MMFL,EQ,532,536,517.15,531.6,534.95,527.4,3795,2011140.65,05-JAN-2016,293,INE227C01017,
MMFL,EQ,526.55,549,520.15,524.55,525.45,531.6,5678,3023514.45,06-JAN-2016,385,INE227C01017,
MMFL,EQ,515.15,540,512,535.55,530,524.55,5398,2849407.3,07-JAN-2016,357,INE227C01017,
MMFL,EQ,540,551,530.55,546.6,542,535.55,5054,2752000.55,08-JAN-2016,276,INE227C01017,
MMFL,EQ,542,548,520.2,547.35,543,546.6,3563,1913582.2,11-JAN-2016,403,INE227C01017,
MMFL,EQ,548.1,553.95,523,528.55,529,547.35,1822,973850.85,12-JAN-2016,210,INE227C01017,
MMFL,EQ,529,538,505.25,518.15,522,528.55,5644,2934553.4,13-JAN-2016,335,INE227C01017,
MMFL,EQ,513,530.9,509,525.85,522.65,518.15,2900,1503498,14-JAN-2016,234,INE227C01017,
MMFL,EQ,521,526,511,517.1,511,525.85,4645,2416207.9,15-JAN-2016,169,INE227C01017,
MMFL,EQ,505.25,505.25,481,487.25,486.1,517.1,5359,2620558.15,18-JAN-2016,243,INE227C01017,
MMFL,EQ,480,490,476.25,484.95,487.9,487.25,1394,675121.25,19-JAN-2016,123,INE227C01017,
MMFL,EQ,489.9,489.95,465,469.8,471,484.95,2125,1001106.2,20-JAN-2016,192,INE227C01017,
MMFL,EQ,477.55,478,461.1,467.8,467,469.8,2743,1280037.55,21-JAN-2016,211,INE227C01017,
MMFL,EQ,470,479,465.05,478.05,479,467.8,2908,1372036.9,22-JAN-2016,150,INE227C01017,
MMFL,EQ,476,509.25,476,483.85,480.3,478.05,1792,871606.7,25-JAN-2016,193,INE227C01017,
MMFL,EQ,469.3,481,469.3,475.7,476,483.85,2982,1428856.8,27-JAN-2016,98,INE227C01017,
MMFL,EQ,469.95,491.9,465,467,465.2,475.7,3120,1472526.45,28-JAN-2016,272,INE227C01017,
MMFL,EQ,479,480,465.5,470.1,470,467,2791,1317691.15,29-JAN-2016,133,INE227C01017,
MMFL,EQ,475,475,458.55,460.9,458.6,470.1,4042,1871519.05,01-FEB-2016,195,INE227C01017,
MMFL,EQ,460,465,448,449.7,448,460.9,2322,1058447.6,02-FEB-2016,231,INE227C01017,
MMFL,EQ,445,447,430,441.25,443,449.7,4884,2130434.55,03-FEB-2016,295,INE227C01017,
MMFL,EQ,442,467.8,410.55,422.1,425,441.25,2795,1211314,04-FEB-2016,220,INE227C01017,
MMFL,EQ,411,423.3,400.2,404.9,410,422.1,5461,2239399.55,05-FEB-2016,320,INE227C01017,
MMFL,EQ,400.65,433.75,400.65,420.45,420,404.9,3222,1337742.4,08-FEB-2016,165,INE227C01017,
MMFL,EQ,423,429.7,413.9,421,424,420.45,1008,425066.45,09-FEB-2016,127,INE227C01017,
