SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MOM30IETF,EQ,27.54,27.85,26.75,26.92,27,27.71,740246,20257859.28,20-DEC-2023,507,INF109KC17C7,
MOM30IETF,EQ,26.98,27.24,26,27.18,27.24,26.92,380654,10148032.25,21-DEC-2023,328,INF109KC17C7,
MOM30IETF,EQ,27.72,27.72,27.04,27.23,27.24,27.18,349776,9524567.16,22-DEC-2023,312,INF109KC17C7,
MOM30IETF,EQ,28.05,28.05,27.24,27.56,27.57,27.23,91004,2504182.53,26-DEC-2023,299,INF109KC17C7,
MOM30IETF,EQ,27.56,27.79,27.56,27.7,27.73,27.56,588649,16279137.19,27-DEC-2023,282,INF109KC17C7,
MOM30IETF,EQ,28.25,28.25,27.59,27.63,27.65,27.7,63839,1765627.37,28-DEC-2023,367,INF109KC17C7,
MOM30IETF,EQ,27.98,27.98,27.47,27.66,27.98,27.63,289532,8001101.85,29-DEC-2023,301,INF109KC17C7,
MOM30IETF,EQ,27.98,27.98,27.66,27.81,27.77,27.66,117607,3280755.41,01-JAN-2024,380,INF109KC17C7,
MOM30IETF,EQ,28.05,28.05,27.47,27.75,27.8,27.81,471196,13023362.66,02-JAN-2024,337,INF109KC17C7,
MOM30IETF,EQ,27.98,28.05,27.24,27.82,27.79,27.75,56873,1579610.06,03-JAN-2024,321,INF109KC17C7,
MOM30IETF,EQ,28.04,28.25,27.87,28.19,28.24,27.82,145880,4110341.68,04-JAN-2024,409,INF109KC17C7,
MOM30IETF,EQ,28.48,28.92,28.02,28.21,28.22,28.19,340345,9600086.27,05-JAN-2024,444,INF109KC17C7,
MOM30IETF,EQ,28.22,28.49,28,28.15,28.14,28.21,1446250,40718077.78,08-JAN-2024,491,INF109KC17C7,
MOM30IETF,EQ,27.54,28.49,27.54,28.16,28.21,28.15,279328,7878533.15,09-JAN-2024,340,INF109KC17C7,
MOM30IETF,EQ,28.22,28.23,27.9,28.1,28.15,28.16,401394,11225032.67,10-JAN-2024,412,INF109KC17C7,
MOM30IETF,EQ,28.37,28.4,28.11,28.15,28.12,28.1,174197,4908915.98,11-JAN-2024,412,INF109KC17C7,
MOM30IETF,EQ,28.27,28.47,28.04,28.22,28.24,28.15,320902,9053478.6,12-JAN-2024,609,INF109KC17C7,
MOM30IETF,EQ,28.52,28.52,28.2,28.41,28.41,28.22,291172,8259235.5,15-JAN-2024,677,INF109KC17C7,
MOM30IETF,EQ,28.5,28.56,28.07,28.29,28.3,28.41,550127,15542149.4,16-JAN-2024,940,INF109KC17C7,
MOM30IETF,EQ,28.25,28.48,27.96,28.04,28.05,28.29,541901,15224099.81,17-JAN-2024,1073,INF109KC17C7,
MOM30IETF,EQ,28.56,28.56,27.29,28.07,28.1,28.04,422654,11739483.71,18-JAN-2024,811,INF109KC17C7,
MOM30IETF,EQ,28.47,28.66,28.17,28.62,28.53,28.07,285916,8132004.09,19-JAN-2024,523,INF109KC17C7,
MOM30IETF,EQ,28.77,28.95,27.65,27.79,27.88,28.61,676775,19004452.31,23-JAN-2024,1735,INF109KC17C7,
MOM30IETF,EQ,27.94,28.65,27.57,28.53,28.65,27.79,317002,8955112.17,24-JAN-2024,500,INF109KC17C7,
MOM30IETF,EQ,28.52,28.79,28.26,28.74,28.75,28.53,208901,5971340.4,25-JAN-2024,548,INF109KC17C7,
MOM30IETF,EQ,29.39,29.39,28.5,29.26,29.39,28.74,304502,8875388.54,29-JAN-2024,1123,INF109KC17C7,
MOM30IETF,EQ,29.6,29.6,29,29.09,29.13,29.26,303534,8889940.52,30-JAN-2024,1184,INF109KC17C7,
MOM30IETF,EQ,29.95,30.41,29.05,29.41,29.52,29.09,106047,3097473.74,31-JAN-2024,645,INF109KC17C7,
MOM30IETF,EQ,29.78,29.78,29.01,29.23,29.28,29.41,407394,11905186.22,01-FEB-2024,1493,INF109KC17C7,
MOM30IETF,EQ,29.57,29.74,29.1,29.48,29.3,29.23,511373,15127679.32,02-FEB-2024,775,INF109KC17C7,
