SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MOREPENLAB,EQ,37.75,40.75,37.4,39.85,39.75,37.65,10259843,405548420.8,01-JAN-2016,23670,INE083A01026,
MOREPENLAB,EQ,39.4,41.15,39.25,40.55,40.3,39.85,9572460,385338222.15,04-JAN-2016,21395,INE083A01026,
MOREPENLAB,EQ,40.8,41.75,39.55,40.3,40.25,40.55,7625670,311388425.7,05-JAN-2016,17338,INE083A01026,
MOREPENLAB,EQ,40.4,41.1,38.3,38.8,38.8,40.3,5921620,235625778.9,06-JAN-2016,14189,INE083A01026,
MOREPENLAB,EQ,38.35,38.4,35.7,35.95,35.9,38.8,5864017,215768016.65,07-JAN-2016,15527,INE083A01026,
MOREPENLAB,EQ,36.5,38.4,36.4,37.3,37.5,35.95,5821587,218125041.8,08-JAN-2016,16142,INE083A01026,
MOREPENLAB,EQ,36.45,37.6,36.2,36.85,36.8,37.3,3712360,137168646.35,11-JAN-2016,10949,INE083A01026,
MOREPENLAB,EQ,37.2,40.1,37.2,38.35,38.6,36.85,7924975,307056657,12-JAN-2016,20927,INE083A01026,
MOREPENLAB,EQ,38.9,39.75,31.1,34.35,34.25,38.35,18847111,649346764.2,13-JAN-2016,47059,INE083A01026,
MOREPENLAB,EQ,32.75,34.45,30.2,33.15,33.3,34.35,8643948,286655175.3,14-JAN-2016,23073,INE083A01026,
MOREPENLAB,EQ,33.5,34.4,27.5,28.15,28.25,33.15,10912897,337916789.6,15-JAN-2016,27019,INE083A01026,
MOREPENLAB,EQ,27.55,27.6,22.55,22.75,22.8,28.15,13696124,334033840.2,18-JAN-2016,34120,INE083A01026,
MOREPENLAB,EQ,22.9,25,21,24.95,25,22.75,14452467,342052545.75,19-JAN-2016,31653,INE083A01026,
MOREPENLAB,EQ,23.95,25.8,23.2,25.1,25.2,24.95,10611435,259637781.25,20-JAN-2016,24331,INE083A01026,
MOREPENLAB,EQ,26.15,26.6,24.8,25.7,25.7,25.1,6319327,162306991.8,21-JAN-2016,14459,INE083A01026,
MOREPENLAB,EQ,26.5,27.4,26.05,27.05,27.4,25.7,4665520,125010873.7,22-JAN-2016,12299,INE083A01026,
MOREPENLAB,EQ,27.9,29.75,27.5,29.5,29.75,27.05,5454988,158204392.65,25-JAN-2016,13747,INE083A01026,
MOREPENLAB,EQ,30.3,30.95,29.6,30.75,30.85,29.5,5391845,163599433.9,27-JAN-2016,12732,INE083A01026,
MOREPENLAB,EQ,31.05,31.7,30.8,31.35,31.6,30.75,3589465,112434404.2,28-JAN-2016,8572,INE083A01026,
MOREPENLAB,EQ,31.8,32.25,31.35,31.95,31.95,31.35,2963776,94273853.7,29-JAN-2016,6803,INE083A01026,
MOREPENLAB,EQ,32.3,33.5,32.05,33.5,33.5,31.95,3457372,114103020.9,01-FEB-2016,9313,INE083A01026,
MOREPENLAB,EQ,34.2,35.15,33.6,34.25,34.15,33.5,6835966,238056720.35,02-FEB-2016,12675,INE083A01026,
MOREPENLAB,EQ,32.95,33.1,32.55,32.55,32.55,34.25,2294245,74995271.95,03-FEB-2016,3960,INE083A01026,
MOREPENLAB,EQ,33,33.4,30.95,30.95,30.95,32.55,4069556,128039319.7,04-FEB-2016,6580,INE083A01026,
MOREPENLAB,EQ,30,30.4,29.45,29.9,29.95,30.95,5988068,177665378.05,05-FEB-2016,8204,INE083A01026,
MOREPENLAB,EQ,30,31.35,28.65,31.35,31.35,29.9,5239021,160733159.65,08-FEB-2016,11845,INE083A01026,
MOREPENLAB,EQ,31.85,32.9,31,32.9,32.9,31.35,4424171,144302136.25,09-FEB-2016,7569,INE083A01026,
MOREPENLAB,EQ,33.45,34.45,31.35,31.85,31.9,32.9,6901920,227065762.65,10-FEB-2016,15724,INE083A01026,
MOREPENLAB,EQ,31.5,31.5,30.3,30.3,30.3,31.85,1511823,46278092.05,11-FEB-2016,3402,INE083A01026,
MOREPENLAB,EQ,28.8,28.95,28.8,28.8,28.8,30.3,533551,15366514.6,12-FEB-2016,792,INE083A01026,
MOREPENLAB,EQ,28.8,30,27.45,27.75,27.7,28.8,3332528,95950215.35,15-FEB-2016,8320,INE083A01026,
MOREPENLAB,EQ,28.1,28.3,26.4,26.4,26.4,27.75,2324460,62516949.75,16-FEB-2016,6226,INE083A01026,
MOREPENLAB,EQ,26.05,26.25,25.1,25.2,25.4,26.4,3542981,89428132.45,17-FEB-2016,4516,INE083A01026,
MOREPENLAB,EQ,25.5,26.25,23.95,24.5,24.5,25.2,2346340,59092559.05,18-FEB-2016,6151,INE083A01026,
MOREPENLAB,EQ,24,25.7,23.55,25.7,25.7,24.5,1998736,49381697.15,19-FEB-2016,5846,INE083A01026,
MOREPENLAB,EQ,26.45,26.95,26.4,26.95,26.95,25.7,540388,14485852.9,22-FEB-2016,875,INE083A01026,
MOREPENLAB,EQ,27.5,28.25,26.5,27.9,27.75,26.95,3939731,108794954.05,23-FEB-2016,9735,INE083A01026,
MOREPENLAB,EQ,28,28.65,27.2,27.5,27.35,27.9,2008490,56167414.35,24-FEB-2016,5971,INE083A01026,
MOREPENLAB,EQ,27.6,28.1,26.65,26.9,26.85,27.5,1125990,30732924.5,25-FEB-2016,3994,INE083A01026,
MOREPENLAB,EQ,27.7,27.7,25.7,25.9,25.9,26.9,1416937,37154480.1,26-FEB-2016,4307,INE083A01026,
MOREPENLAB,EQ,25.9,26.5,24.75,25.4,25.5,25.9,1805422,46238495.25,29-FEB-2016,5492,INE083A01026,
MOREPENLAB,EQ,25.75,26.65,25.55,26.65,26.65,25.4,2086804,54969353.8,01-MAR-2016,4500,INE083A01026,
MOREPENLAB,EQ,27.7,27.95,27.15,27.95,27.95,26.65,3353118,93178041.45,02-MAR-2016,5611,INE083A01026,
MOREPENLAB,EQ,28.45,28.75,27.5,28.05,27.8,27.95,2151732,60300530.6,03-MAR-2016,5225,INE083A01026,
MOREPENLAB,EQ,28.05,28.6,27.3,27.8,27.75,28.05,2004311,56102850.4,04-MAR-2016,5564,INE083A01026,
