SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MUKANDENGG,EQ,36.5,36.7,35.15,35.65,35.7,36.5,21089,756387.45,01-JAN-2016,267,INE022B01014,
MUKANDENGG,EQ,35.3,35.5,33.5,34.05,34.5,35.65,23604,814740.95,04-JAN-2016,141,INE022B01014,
MUKANDENGG,EQ,34,35.2,33.1,34.9,34.8,34.05,11656,400025.2,05-JAN-2016,89,INE022B01014,
MUKANDENGG,EQ,35.8,35.85,34.1,34.65,34.65,34.9,7163,250434.25,06-JAN-2016,89,INE022B01014,
MUKANDENGG,EQ,34.5,34.5,32,32.75,32.35,34.65,13628,450994.45,07-JAN-2016,135,INE022B01014,
MUKANDENGG,EQ,34,34,32.55,33.15,33.35,32.75,6188,206195.1,08-JAN-2016,67,INE022B01014,
MUKANDENGG,EQ,32.9,34.2,32.35,33.75,34,33.15,9027,300844.25,11-JAN-2016,89,INE022B01014,
MUKANDENGG,EQ,33.5,34.45,33,33,33,33.75,3110,104318.3,12-JAN-2016,33,INE022B01014,
MUKANDENGG,EQ,32.5,34,29.15,31.15,31.1,33,17546,531583.7,13-JAN-2016,133,INE022B01014,
MUKANDENGG,EQ,31,31.45,28.05,31,31,31.15,11245,342117.25,14-JAN-2016,68,INE022B01014,
MUKANDENGG,EQ,32.2,33,30,30,30,31,9126,280154.7,15-JAN-2016,66,INE022B01014,
MUKANDENGG,EQ,30,30,26.1,26.75,26.55,30,12558,349469.35,18-JAN-2016,105,INE022B01014,
MUKANDENGG,EQ,26.15,29.65,26.15,28.75,28.75,26.75,17506,493136.35,19-JAN-2016,108,INE022B01014,
MUKANDENGG,EQ,28.4,28.4,27.1,27.3,28,28.75,3711,103585.9,20-JAN-2016,25,INE022B01014,
MUKANDENGG,EQ,27.25,28.6,26.55,26.65,26.55,27.3,7787,210153.75,21-JAN-2016,41,INE022B01014,
MUKANDENGG,EQ,26.55,28.3,26.55,27.35,27.75,26.65,9258,252338.2,22-JAN-2016,62,INE022B01014,
MUKANDENGG,EQ,28.4,29.5,27.55,27.8,27.75,27.35,4674,132014.35,25-JAN-2016,67,INE022B01014,
MUKANDENGG,EQ,27.5,29.55,27.5,28.6,28.5,27.8,2764,78651.2,27-JAN-2016,42,INE022B01014,
MUKANDENGG,EQ,28,30.2,27.55,29.4,29.45,28.6,4813,141464.7,28-JAN-2016,72,INE022B01014,
MUKANDENGG,EQ,29.8,29.8,27.45,28.4,29.15,29.4,4628,132285.55,29-JAN-2016,80,INE022B01014,
MUKANDENGG,EQ,29.9,29.9,29.2,29.2,29.2,28.4,30,886.5,01-FEB-2016,3,INE022B01014,
MUKANDENGG,EQ,29.65,29.65,27.6,28.5,28.5,29.2,539,15426.6,02-FEB-2016,39,INE022B01014,
MUKANDENGG,EQ,28,28,26.95,27,27,28.5,4955,134264.3,03-FEB-2016,62,INE022B01014,
