SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MUKKA,BE,40,42.25,38.25,42.25,42.25,28,29279199,1154750566.2,07-MAR-2024,91030,INE0CG401037,
MUKKA,BE,43,43.95,40.15,40.15,40.15,42.25,10923633,458279595.3,11-MAR-2024,47260,INE0CG401037,
MUKKA,BE,38.2,39.8,38.15,38.15,38.15,40.15,2355291,90117051.8,12-MAR-2024,12735,INE0CG401037,
MUKKA,BE,36.25,36.25,36.25,36.25,36.25,38.15,669700,24276625,13-MAR-2024,6385,INE0CG401037,
MUKKA,BE,34.45,37.4,34.45,36.4,35.95,36.25,5795819,204002007,14-MAR-2024,20488,INE0CG401037,
MUKKA,BE,36,37.2,34.6,35.75,35.8,36.4,4206865,148018150.75,15-MAR-2024,18992,INE0CG401037,
MUKKA,BE,35.9,36,34,35.1,35.15,35.75,1684419,58700400.95,18-MAR-2024,10965,INE0CG401037,
MUKKA,BE,34.75,34.75,33.35,33.35,33.35,35.1,1708027,57889622.5,19-MAR-2024,12256,INE0CG401037,
MUKKA,BE,33.3,35,33,35,35,33.35,2418961,83272650,20-MAR-2024,10541,INE0CG401037,
MUKKA,BE,36,36.75,35.55,36.75,36.75,35,1301913,47396641.6,21-MAR-2024,4397,INE0CG401037,
MUKKA,EQ,38.45,42.15,37.55,40.85,40.5,36.75,14411836,579285432.95,22-MAR-2024,41550,INE0CG401037,
MUKKA,EQ,41,42.8,39.35,40.75,40.65,40.85,5954300,243343475.65,26-MAR-2024,21214,INE0CG401037,
MUKKA,EQ,41,41.2,39.4,39.65,39.55,40.75,2543470,101611825.95,27-MAR-2024,10486,INE0CG401037,
MUKKA,EQ,39.65,39.95,36.1,36.5,36.5,39.65,6674828,249172142.4,28-MAR-2024,34093,INE0CG401037,
MUKKA,EQ,35.6,39.15,35.6,38.55,38.35,36.5,5105899,192981645.95,01-APR-2024,16765,INE0CG401037,
MUKKA,EQ,39.2,39.5,38.2,38.7,38.65,38.55,3399760,131994980.4,02-APR-2024,11608,INE0CG401037,
MUKKA,EQ,38.7,39.45,38.25,38.6,38.6,38.7,2184422,84936249.15,03-APR-2024,8890,INE0CG401037,
MUKKA,EQ,39,39.5,38.25,38.45,38.3,38.6,2290597,88633107.05,04-APR-2024,9023,INE0CG401037,
MUKKA,EQ,38.6,38.6,37.3,37.95,38.05,38.45,1970963,74651852.65,05-APR-2024,8783,INE0CG401037,
MUKKA,EQ,38.15,38.25,37.1,37.5,37.55,37.95,1602510,60144047.85,08-APR-2024,8340,INE0CG401037,
MUKKA,EQ,37.55,37.7,36.7,37.05,37.2,37.5,1293449,47947079.65,09-APR-2024,6922,INE0CG401037,
MUKKA,EQ,37.3,38.75,37.3,38,38,37.05,2152051,82159066.65,10-APR-2024,7895,INE0CG401037,
MUKKA,EQ,38,38,37.4,37.55,37.7,38,1078166,40559536.55,12-APR-2024,6002,INE0CG401037,
MUKKA,EQ,35.85,36.7,35,35.95,36.2,37.55,2553500,91773354.3,15-APR-2024,13047,INE0CG401037,
MUKKA,EQ,35.9,37.35,35.55,36.65,36.7,35.95,1458694,53529486.95,16-APR-2024,6438,INE0CG401037,
MUKKA,EQ,37.4,37.55,36,36.2,36.35,36.65,1184957,43463725.65,18-APR-2024,7143,INE0CG401037,
MUKKA,EQ,35,36.4,34.95,36.1,36.1,36.2,1132943,40706992.9,19-APR-2024,5831,INE0CG401037,
MUKKA,EQ,36.8,36.9,36.2,36.25,36.25,36.1,852848,31112387.65,22-APR-2024,4483,INE0CG401037,
MUKKA,EQ,36.6,36.75,36.15,36.3,36.45,36.25,765127,27888394.75,23-APR-2024,4057,INE0CG401037,
MUKKA,EQ,36.5,38.2,36.4,37.55,37.35,36.3,2300189,86136569.25,24-APR-2024,8508,INE0CG401037,
MUKKA,EQ,37.75,37.85,37,37.15,37.25,37.55,869427,32350117.15,25-APR-2024,4529,INE0CG401037,
MUKKA,EQ,37.4,37.4,36.65,36.85,36.9,37.15,985225,36383157.15,26-APR-2024,4838,INE0CG401037,
MUKKA,EQ,36.65,37.3,36.5,36.55,36.65,36.85,1073789,39484891.25,29-APR-2024,5813,INE0CG401037,
MUKKA,EQ,37.5,37.5,36.55,36.6,36.65,36.55,907167,33472733.55,30-APR-2024,3852,INE0CG401037,
MUKKA,EQ,36.85,37,36.05,36.4,36.45,36.6,1109184,40415200.45,02-MAY-2024,5522,INE0CG401037,
MUKKA,EQ,36.7,36.75,36.1,36.2,36.25,36.4,980756,35619887.1,03-MAY-2024,4955,INE0CG401037,
MUKKA,EQ,36.2,36.5,35.3,35.65,35.7,36.2,1227101,43741982.6,06-MAY-2024,7301,INE0CG401037,
MUKKA,EQ,35.8,36,35.1,35.3,35.45,35.65,634784,22482646.55,07-MAY-2024,5121,INE0CG401037,
MUKKA,EQ,35.3,35.75,35.2,35.55,35.45,35.3,463553,16451203,08-MAY-2024,3238,INE0CG401037,
MUKKA,EQ,35.55,35.75,35,35.05,35.05,35.55,516599,18217843.05,09-MAY-2024,3966,INE0CG401037,
MUKKA,EQ,35.05,35.15,34.5,34.8,34.85,35.05,613108,21302515.85,10-MAY-2024,5357,INE0CG401037,
MUKKA,EQ,35.55,36.25,34.65,35.95,36.2,34.8,1034579,36546785.2,13-MAY-2024,5317,INE0CG401037,
MUKKA,EQ,36.75,38.3,35.65,36.1,36,35.95,3470026,127297935.8,14-MAY-2024,10547,INE0CG401037,
MUKKA,EQ,35.7,35.75,34.9,35.05,35.1,36.1,2836422,99734020.55,15-MAY-2024,6470,INE0CG401037,
MUKKA,EQ,35.05,35.3,34.8,34.9,35.05,35.05,700088,24511808.4,16-MAY-2024,4125,INE0CG401037,
MUKKA,EQ,35.35,35.35,34.7,34.95,35,34.9,616650,21536422.95,17-MAY-2024,3741,INE0CG401037,
