SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
NAVINIFTY,EQ,202,206.01,200.01,200.88,200.85,201.59,2287,461031.21,25-SEP-2023,54,INF959L01HI3,
NAVINIFTY,EQ,200.31,200.31,196,196.36,196.3,200.88,1233,243807.65,26-SEP-2023,84,INF959L01HI3,
NAVINIFTY,EQ,196.3,200.28,192.2,196.03,192.2,196.36,4700,921341.68,27-SEP-2023,81,INF959L01HI3,
NAVINIFTY,EQ,200,200,195.9,196.94,196.94,196.03,534,105302.44,28-SEP-2023,31,INF959L01HI3,
NAVINIFTY,EQ,200,200,195.8,197,197,196.94,190,37484.4,29-SEP-2023,20,INF959L01HI3,
NAVINIFTY,EQ,197.5,202,195.35,195.98,195.92,197,3376,661519.72,03-OCT-2023,50,INF959L01HI3,
NAVINIFTY,EQ,195.04,195.61,192.81,193.67,193.3,195.98,1200,233247.46,04-OCT-2023,49,INF959L01HI3,
NAVINIFTY,EQ,195.96,200,195.86,199.68,200,193.67,261,51616.83,05-OCT-2023,9,INF959L01HI3,
NAVINIFTY,EQ,199.67,199.67,196,196.03,197.5,199.68,2466,484696.21,06-OCT-2023,22,INF959L01HI3,
NAVINIFTY,EQ,196.03,196.03,194.65,194.68,194.68,196.03,681,133267.17,09-OCT-2023,24,INF959L01HI3,
NAVINIFTY,EQ,194.8,230,194.8,212.89,211,194.68,611,120300.83,10-OCT-2023,17,INF959L01HI3,
NAVINIFTY,EQ,198.64,199.51,197.5,199.06,199.51,212.89,1427,283289.6,11-OCT-2023,68,INF959L01HI3,
NAVINIFTY,EQ,199.99,199.99,197.53,198.68,198.8,199.06,234,46424.45,12-OCT-2023,18,INF959L01HI3,
NAVINIFTY,EQ,198.69,198.69,196.93,196.96,196.96,198.68,213,42082.21,13-OCT-2023,15,INF959L01HI3,
NAVINIFTY,EQ,197.76,198.26,196.92,196.99,196.99,196.96,98,19388.55,16-OCT-2023,19,INF959L01HI3,
NAVINIFTY,EQ,197.79,198.93,197.57,198.54,198.54,196.99,212,41963.94,17-OCT-2023,13,INF959L01HI3,
NAVINIFTY,EQ,198.54,199.95,196.31,197.27,199.95,198.54,504,99482.31,18-OCT-2023,21,INF959L01HI3,
NAVINIFTY,EQ,196.23,197.15,194.93,196,196,197.27,201,39444.52,19-OCT-2023,25,INF959L01HI3,
NAVINIFTY,EQ,196.02,196.4,195.3,195.3,195.3,196,217,42549.6,20-OCT-2023,21,INF959L01HI3,
NAVINIFTY,EQ,196.01,196.11,189,189.87,189,195.3,2008,381926.28,23-OCT-2023,31,INF959L01HI3,
NAVINIFTY,EQ,192.64,201,190.77,200.76,201,189.87,1698,330890.79,25-OCT-2023,71,INF959L01HI3,
NAVINIFTY,EQ,191.07,199.74,189.1,190.57,198,200.76,6310,1204194.42,26-OCT-2023,85,INF959L01HI3,
NAVINIFTY,EQ,190.29,195.99,190.12,191.32,191.36,190.57,5234,996930.68,27-OCT-2023,35,INF959L01HI3,
NAVINIFTY,EQ,190.8,195,189.9,195,195,191.32,430,82404.78,30-OCT-2023,25,INF959L01HI3,
NAVINIFTY,EQ,192.01,198,190.7,195.03,195,195,713,137072.41,31-OCT-2023,35,INF959L01HI3,
NAVINIFTY,EQ,192,192,189.99,190.9,190.9,195.03,1830,348997.09,01-NOV-2023,33,INF959L01HI3,
NAVINIFTY,EQ,191.36,198.48,190.48,196.74,197.98,190.9,690,132530.6,02-NOV-2023,20,INF959L01HI3,
NAVINIFTY,EQ,195,198,193,195.28,196.5,196.74,2379,462188.04,03-NOV-2023,58,INF959L01HI3,
NAVINIFTY,EQ,194.21,194.45,193.81,194.44,194.44,195.28,3405,662028.41,06-NOV-2023,16,INF959L01HI3,
NAVINIFTY,EQ,194.3,194.3,193.7,193.92,193.92,194.44,303,58805.21,07-NOV-2023,13,INF959L01HI3,
NAVINIFTY,EQ,194.8,195.45,194.05,194.23,194.23,193.92,696,135743.54,08-NOV-2023,9,INF959L01HI3,
NAVINIFTY,EQ,194.27,194.27,194.23,194.23,194.23,194.23,3,582.77,09-NOV-2023,2,INF959L01HI3,
NAVINIFTY,EQ,194.46,197,193.5,193.97,193.75,196.25,207,40165.26,13-NOV-2023,31,INF959L01HI3,
NAVINIFTY,EQ,196.08,200,196.07,199.92,200,193.97,543,107224.25,15-NOV-2023,19,INF959L01HI3,
NAVINIFTY,EQ,196.2,198.8,196.2,198.05,198.05,199.92,335,66229.62,16-NOV-2023,23,INF959L01HI3,
NAVINIFTY,EQ,198.05,198.93,197.27,198,198,198.05,151,29928.38,17-NOV-2023,13,INF959L01HI3,
NAVINIFTY,EQ,197.67,197.67,196.95,197,197,198,47,9259.42,20-NOV-2023,6,INF959L01HI3,
NAVINIFTY,EQ,197.39,198.61,197.38,198.61,198.61,197,86,16980.14,21-NOV-2023,5,INF959L01HI3,
NAVINIFTY,EQ,197.8,198,197.65,197.96,198,198.61,112,22138.97,22-NOV-2023,6,INF959L01HI3,
