SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
NDL,EQ,147.75,151.45,143.8,149.5,149.7,148.3,191539,28468607.6,01-JAN-2016,2383,INE875G01030,
NDL,EQ,148.8,150.95,146.1,147.9,147.5,149.5,129028,19102741.3,04-JAN-2016,2023,INE875G01030,
NDL,EQ,147.1,150,146.2,149.1,149,147.9,152625,22660008.3,05-JAN-2016,2232,INE875G01030,
NDL,EQ,149,159.35,148.1,155.15,156.35,149.1,355734,55026444.75,06-JAN-2016,5524,INE875G01030,
NDL,EQ,153.4,153.4,146.6,147.85,148.5,155.15,165325,24644777.1,07-JAN-2016,2767,INE875G01030,
NDL,EQ,149.85,152.4,148.3,151,152,147.85,163596,24625130.7,08-JAN-2016,2283,INE875G01030,
NDL,EQ,151,155.9,148.8,154.8,155.3,151,266233,40927421.75,11-JAN-2016,3895,INE875G01030,
NDL,EQ,154.3,156.8,150,150.25,150.05,154.8,134170,20371542.7,12-JAN-2016,2000,INE875G01030,
NDL,EQ,149.6,153.9,142.2,146,145.05,150.25,174432,25550979.5,13-JAN-2016,3135,INE875G01030,
NDL,EQ,143.9,146.85,136.2,141.85,141,146,174728,25249792.7,14-JAN-2016,2573,INE875G01030,
NDL,EQ,142.6,144.95,133.05,134.8,135.1,141.85,148213,20728710.5,15-JAN-2016,1901,INE875G01030,
NDL,EQ,130,137,115.25,126.4,126,134.8,172839,21997077.1,18-JAN-2016,3181,INE875G01030,
NDL,EQ,124.5,130,119.2,129.15,130,126.4,186107,23572716.6,19-JAN-2016,3102,INE875G01030,
NDL,EQ,125,128.35,122.15,123.75,123.95,129.15,143246,17922235.7,20-JAN-2016,2055,INE875G01030,
NDL,EQ,127.5,129.4,123.55,124.5,124.95,123.75,135824,17004983.65,21-JAN-2016,1847,INE875G01030,
NDL,EQ,126.5,135.1,125.15,133.75,133.7,124.5,155952,20390712.6,22-JAN-2016,2526,INE875G01030,
NDL,EQ,137.9,139.8,133.2,135.15,137,133.75,156590,21272352.35,25-JAN-2016,2829,INE875G01030,
NDL,EQ,137,139.7,135.6,137.85,138.9,135.15,142153,19641468.4,27-JAN-2016,2484,INE875G01030,
NDL,EQ,138.9,141,136.5,138.1,138.8,137.85,149172,20607722.95,28-JAN-2016,2324,INE875G01030,
NDL,EQ,139.4,140.1,137,137.65,138,138.1,148092,20480305.15,29-JAN-2016,1578,INE875G01030,
NDL,EQ,138.5,140.8,135.35,138,136.95,137.65,143118,19674742.95,01-FEB-2016,2652,INE875G01030,
NDL,EQ,138.95,139,130.15,133.75,131,138,142951,19467365.85,02-FEB-2016,2145,INE875G01030,
NDL,EQ,130.9,132.9,127.45,131.55,131.45,133.75,166092,21608501.6,03-FEB-2016,7729,INE875G01030,
NDL,EQ,130.2,135,128.3,130.7,132.5,131.55,118400,15624804.15,04-FEB-2016,1979,INE875G01030,
NDL,EQ,130.15,132.35,129.1,130.7,131.5,130.7,130964,17067768.3,05-FEB-2016,1860,INE875G01030,
NDL,EQ,132,136.4,129.55,133.1,131.1,130.7,153252,20516296.75,08-FEB-2016,1918,INE875G01030,
NDL,EQ,131.45,131.55,127.2,129.7,130.5,133.1,168750,21865923.2,09-FEB-2016,2072,INE875G01030,
NDL,EQ,129,130.7,127.55,128.45,128.85,129.7,136917,17622644.5,10-FEB-2016,1309,INE875G01030,
NDL,EQ,128,129.9,117,121.25,123,128.45,150300,18446450.95,11-FEB-2016,2581,INE875G01030,
NDL,EQ,122,124.05,97,112.15,111,121.25,288335,31518323.55,12-FEB-2016,5134,INE875G01030,
NDL,EQ,118.95,128.9,115.4,125.95,125.5,112.15,211729,26225724.2,15-FEB-2016,4400,INE875G01030,
NDL,EQ,125.9,128.8,117.65,119.5,118,125.95,98320,12199980.55,16-FEB-2016,2480,INE875G01030,
