SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
NEULANDLAB,EQ,795.95,799.05,780.1,794.8,795,798.5,12343,9765058.75,01-JAN-2016,671,INE794A01010,
NEULANDLAB,EQ,790.05,810,753,792.05,800,794.8,20285,15881101.95,04-JAN-2016,1608,INE794A01010,
NEULANDLAB,EQ,785.15,800,775,783.1,781,792.05,10363,8114891.1,05-JAN-2016,385,INE794A01010,
NEULANDLAB,EQ,783.1,829.9,769,794,792,783.1,47102,37683237.35,06-JAN-2016,2656,INE794A01010,
NEULANDLAB,EQ,785.7,809,775,786.9,785.1,794,18588,14695840.3,07-JAN-2016,986,INE794A01010,
NEULANDLAB,EQ,799.95,803.75,784,787.7,790,786.9,8982,7105248.1,08-JAN-2016,582,INE794A01010,
NEULANDLAB,EQ,786.2,824,775,809.65,812,787.7,33343,26673680.7,11-JAN-2016,1987,INE794A01010,
NEULANDLAB,EQ,840,840,811,827.65,829,809.65,36055,29809024.75,12-JAN-2016,2088,INE794A01010,
NEULANDLAB,EQ,857.95,857.95,725.5,808.35,804.85,827.65,66708,53181173.35,13-JAN-2016,3309,INE794A01010,
NEULANDLAB,EQ,799.75,800,775,790.5,800,808.35,20203,15851288.05,14-JAN-2016,989,INE794A01010,
NEULANDLAB,EQ,809.95,813,727.25,740.3,735.15,790.5,14709,11169364.7,15-JAN-2016,979,INE794A01010,
NEULANDLAB,EQ,720.5,774.95,691.05,703.95,691.05,740.3,13583,9774172,18-JAN-2016,1425,INE794A01010,
NEULANDLAB,EQ,690,716.45,680,700.6,697.6,703.95,14760,10347533.55,19-JAN-2016,1474,INE794A01010,
NEULANDLAB,EQ,710,710,657.05,677.45,678.6,700.6,18430,12479012.55,20-JAN-2016,2197,INE794A01010,
NEULANDLAB,EQ,678.05,709,674.5,685.7,680.1,677.45,16816,11550593.4,21-JAN-2016,1306,INE794A01010,
NEULANDLAB,EQ,685,731.65,685,697.85,695,685.7,22729,16135504.95,22-JAN-2016,1660,INE794A01010,
NEULANDLAB,EQ,703,723.95,698,704.05,705,697.85,11253,8010067.5,25-JAN-2016,715,INE794A01010,
NEULANDLAB,EQ,710.05,714.8,690.1,694.45,698,704.05,8245,5778192.9,27-JAN-2016,441,INE794A01010,
NEULANDLAB,EQ,693,714.4,682,684.9,685,694.45,16233,11272856.2,28-JAN-2016,1179,INE794A01010,
NEULANDLAB,EQ,694.95,700,683,691.4,691,684.9,8476,5834861.1,29-JAN-2016,469,INE794A01010,
NEULANDLAB,EQ,699,705.15,695,701.6,704,691.4,9315,6527851.85,01-FEB-2016,235,INE794A01010,
NEULANDLAB,EQ,701.55,716.95,695,703.35,695.05,701.6,11191,7911088.6,02-FEB-2016,594,INE794A01010,
NEULANDLAB,EQ,695,734,681,709.95,710,703.35,78116,55703259.45,03-FEB-2016,3313,INE794A01010,
NEULANDLAB,EQ,722.05,729,705,719.7,722,709.95,85343,61119877.65,04-FEB-2016,1809,INE794A01010,
NEULANDLAB,EQ,716.95,717,681.5,696,695,719.7,33996,23793034.1,05-FEB-2016,1420,INE794A01010,
NEULANDLAB,EQ,695,699.2,685,689.8,685,696,13304,9191204.8,08-FEB-2016,430,INE794A01010,
NEULANDLAB,EQ,681.05,689,662.15,674.45,675,689.8,7137,4813925.2,09-FEB-2016,503,INE794A01010,
NEULANDLAB,EQ,675.05,683,657,665.55,663.05,674.45,4141,2765948.6,10-FEB-2016,348,INE794A01010,
