SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
NEXTMEDIA,EQ,17.3,18.9,17.2,18.25,18.1,17.35,125882,2290947.6,01-JAN-2016,339,INE747B01016,
NEXTMEDIA,EQ,18.3,19.95,18.1,19.6,19.95,18.25,351928,6721229,04-JAN-2016,728,INE747B01016,
NEXTMEDIA,EQ,20,21.75,18.9,20.8,20.95,19.6,975419,20295438.2,05-JAN-2016,5018,INE747B01016,
NEXTMEDIA,EQ,20.95,21.5,19.6,20,19.85,20.8,205730,4186383.8,06-JAN-2016,860,INE747B01016,
NEXTMEDIA,EQ,19.5,19.8,18.6,18.95,19.05,20,107642,2049163.8,07-JAN-2016,552,INE747B01016,
NEXTMEDIA,EQ,19.5,22.7,18.9,22.15,22,18.95,747613,16372896.1,08-JAN-2016,2345,INE747B01016,
NEXTMEDIA,EQ,21.5,24.2,20.6,22.5,22.55,22.15,495008,11331272.45,11-JAN-2016,2974,INE747B01016,
NEXTMEDIA,EQ,23.15,23.15,20.9,21.75,21.6,22.5,212308,4694541.2,12-JAN-2016,1317,INE747B01016,
NEXTMEDIA,EQ,22,22.6,18.4,20,19.9,21.75,268044,5344522.15,13-JAN-2016,1097,INE747B01016,
NEXTMEDIA,EQ,19.25,21,18.25,19.2,19,20,186103,3678946.45,14-JAN-2016,899,INE747B01016,
NEXTMEDIA,EQ,19.5,20.7,18,18.5,18.85,19.2,112376,2156029.4,15-JAN-2016,733,INE747B01016,
NEXTMEDIA,EQ,19,19,15.25,16.3,16.1,18.5,244403,3996085.05,18-JAN-2016,1070,INE747B01016,
NEXTMEDIA,EQ,16.5,17.9,15.75,17,17,16.3,95107,1574181,19-JAN-2016,605,INE747B01016,
NEXTMEDIA,EQ,17.25,17.25,15.8,16.6,16.5,17,39240,639915.05,20-JAN-2016,246,INE747B01016,
NEXTMEDIA,EQ,16.5,17.5,16.5,16.8,16.6,16.6,60902,1019054.25,21-JAN-2016,267,INE747B01016,
NEXTMEDIA,EQ,16.8,17.75,16.8,17.55,17.5,16.8,41423,721585.25,22-JAN-2016,232,INE747B01016,
NEXTMEDIA,EQ,18,20.4,17.9,19.8,19.7,17.55,148217,2832844.4,25-JAN-2016,690,INE747B01016,
NEXTMEDIA,EQ,20.2,20.85,18.9,20.25,20,19.8,132428,2665510.85,27-JAN-2016,616,INE747B01016,
NEXTMEDIA,EQ,19.55,20,18.7,19.8,19.6,20.25,119325,2312827.95,28-JAN-2016,571,INE747B01016,
NEXTMEDIA,EQ,19.8,20.05,18.9,19.1,18.9,19.8,63271,1215327.2,29-JAN-2016,277,INE747B01016,
NEXTMEDIA,EQ,19.25,20.25,18.8,19.25,19.4,19.1,70204,1376473.2,01-FEB-2016,296,INE747B01016,
NEXTMEDIA,EQ,19.05,19.3,18.55,18.8,19,19.25,35090,664873.25,02-FEB-2016,136,INE747B01016,
NEXTMEDIA,EQ,18.65,18.65,16.65,17.15,17.45,18.8,126445,2190250.55,03-FEB-2016,461,INE747B01016,
NEXTMEDIA,EQ,17.5,17.9,16.45,16.9,17.2,17.15,49752,849177.65,04-FEB-2016,228,INE747B01016,
NEXTMEDIA,EQ,17.25,17.75,16.75,17.35,17.6,16.9,19008,326023.45,05-FEB-2016,121,INE747B01016,
NEXTMEDIA,EQ,17.25,17.4,16.6,17.05,17.1,17.35,33910,581963.75,08-FEB-2016,186,INE747B01016,
NEXTMEDIA,EQ,16.85,17.25,16.4,17.1,16.9,17.05,16482,278149.45,09-FEB-2016,97,INE747B01016,
NEXTMEDIA,EQ,16.85,16.85,16.25,16.6,16.7,17.1,43601,723005.55,10-FEB-2016,132,INE747B01016,
NEXTMEDIA,EQ,16.8,16.8,15.75,16.35,16.2,16.6,67500,1089816.5,11-FEB-2016,246,INE747B01016,
NEXTMEDIA,EQ,16.4,16.4,14.25,15.3,15.15,16.35,106757,1606873.05,12-FEB-2016,346,INE747B01016,
NEXTMEDIA,EQ,17.3,17.3,15.6,16.85,16.9,15.3,68626,1140573.15,15-FEB-2016,291,INE747B01016,
NEXTMEDIA,EQ,16.45,17,15.8,16.05,16.45,16.85,43870,707269.25,16-FEB-2016,189,INE747B01016,
NEXTMEDIA,EQ,16,16.25,15.5,16.15,16.25,16.05,23297,367735.85,17-FEB-2016,94,INE747B01016,
NEXTMEDIA,EQ,16.4,16.7,15.85,16.25,16.25,16.15,25144,411269.6,18-FEB-2016,107,INE747B01016,
NEXTMEDIA,EQ,16.2,16.3,15.5,15.95,15.5,16.25,33829,539878.9,19-FEB-2016,139,INE747B01016,
NEXTMEDIA,EQ,16,17.3,15.6,16.9,16.9,15.95,94325,1565430.15,22-FEB-2016,275,INE747B01016,
NEXTMEDIA,EQ,16.8,16.8,16.2,16.3,16.45,16.9,28465,466380.1,23-FEB-2016,76,INE747B01016,
NEXTMEDIA,EQ,16.55,16.55,15.75,16,15.9,16.3,9461,151404.45,24-FEB-2016,70,INE747B01016,
NEXTMEDIA,EQ,15.7,16.15,15.35,15.8,15.8,16,31045,488414.8,25-FEB-2016,124,INE747B01016,
NEXTMEDIA,EQ,15.8,16.15,15.2,15.8,16,15.8,44889,707012.25,26-FEB-2016,217,INE747B01016,
NEXTMEDIA,EQ,16,16,15.3,15.4,15.35,15.8,16339,252744.05,29-FEB-2016,70,INE747B01016,
NEXTMEDIA,EQ,15.7,16.5,15.6,16.2,16,15.4,51825,833221,01-MAR-2016,144,INE747B01016,
NEXTMEDIA,EQ,16.5,16.75,16,16.6,16.65,16.2,34669,570548.4,02-MAR-2016,153,INE747B01016,
NEXTMEDIA,EQ,16.3,17.1,16.3,16.75,17,16.6,88207,1486945.2,03-MAR-2016,204,INE747B01016,
NEXTMEDIA,EQ,17,17.75,16.65,17.2,17.3,16.75,26496,456270.35,04-MAR-2016,154,INE747B01016,
NEXTMEDIA,EQ,16.75,17.55,16.45,16.95,17.05,17.2,43150,731222.8,08-MAR-2016,107,INE747B01016,
NEXTMEDIA,EQ,16.6,17.25,16.6,17.05,17,16.95,15149,255265.9,09-MAR-2016,67,INE747B01016,
NEXTMEDIA,EQ,16.65,17.1,16.55,16.65,16.85,17.05,11796,196950.65,10-MAR-2016,44,INE747B01016,
NEXTMEDIA,EQ,17,17.8,16.55,17.55,17.55,16.65,56503,969454.4,11-MAR-2016,198,INE747B01016,
NEXTMEDIA,EQ,17.15,17.55,17,17.3,17.5,17.55,24929,429511.45,14-MAR-2016,101,INE747B01016,
NEXTMEDIA,EQ,17.1,17.35,16.55,16.65,16.65,17.3,30138,504038.55,15-MAR-2016,106,INE747B01016,
NEXTMEDIA,EQ,16.3,17.3,16.1,16.8,16.55,16.65,35771,590425.65,16-MAR-2016,195,INE747B01016,
NEXTMEDIA,EQ,16.4,18.15,16.4,16.9,16.8,16.8,42619,732017.7,17-MAR-2016,144,INE747B01016,
NEXTMEDIA,EQ,16.55,16.7,16,16.5,16.4,16.9,49980,824012.75,18-MAR-2016,109,INE747B01016,
NEXTMEDIA,EQ,16.5,16.85,16.3,16.45,16.45,16.5,10619,175290.4,21-MAR-2016,53,INE747B01016,
NEXTMEDIA,EQ,16.35,16.6,16.25,16.35,16.3,16.45,23182,379545.1,22-MAR-2016,67,INE747B01016,
NEXTMEDIA,EQ,16.05,16.55,15.85,16,15.85,16.35,47277,759531.8,23-MAR-2016,124,INE747B01016,
NEXTMEDIA,EQ,15.8,15.8,15.4,15.5,15.5,16,39900,622248.4,28-MAR-2016,158,INE747B01016,
