SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
NGLFINE,EQ,1849.95,1937.9,1830,1868.95,1874.9,1803.05,3115,5777964.8,08-JUL-2022,547,INE887E01022,
NGLFINE,EQ,1935,1939.85,1837.6,1895.3,1881,1868.95,1744,3279910.25,11-JUL-2022,227,INE887E01022,
NGLFINE,EQ,1885,1939.6,1837,1855.05,1868,1895.3,1195,2233965.35,12-JUL-2022,262,INE887E01022,
NGLFINE,EQ,1882.4,1890,1815.05,1844.15,1859,1855.05,854,1596746.45,13-JUL-2022,218,INE887E01022,
NGLFINE,EQ,1812,1870.05,1782.1,1798.1,1782.1,1844.15,910,1666526.7,14-JUL-2022,266,INE887E01022,
NGLFINE,EQ,1800,1824.1,1780,1796.9,1807,1798.1,533,959644.85,15-JUL-2022,203,INE887E01022,
NGLFINE,EQ,1799.05,1823.85,1770.05,1785.1,1775,1796.9,650,1167212.6,18-JUL-2022,242,INE887E01022,
NGLFINE,EQ,1722,1817.9,1536.95,1752.25,1755,1785.1,2383,4158883.3,19-JUL-2022,598,INE887E01022,
NGLFINE,EQ,1800,1810.5,1740.8,1761.9,1745,1752.25,1600,2841294.65,20-JUL-2022,473,INE887E01022,
NGLFINE,EQ,1786.35,1792.15,1746,1751.75,1750,1761.9,784,1386095.75,21-JUL-2022,289,INE887E01022,
NGLFINE,EQ,1768.15,1800,1740,1748,1750,1751.75,1634,2884485.9,22-JUL-2022,453,INE887E01022,
NGLFINE,EQ,1755,1814.75,1710.85,1734.75,1748.9,1748,1809,3169591.3,25-JUL-2022,617,INE887E01022,
NGLFINE,EQ,1743.9,1757.4,1717,1723.7,1730.45,1734.75,1404,2430938.8,26-JUL-2022,351,INE887E01022,
NGLFINE,EQ,1761.85,1771.55,1700,1708.65,1706.3,1723.7,813,1397189.95,27-JUL-2022,319,INE887E01022,
NGLFINE,EQ,1700,1774.75,1700,1716.9,1700.15,1708.65,1337,2324819.15,28-JUL-2022,408,INE887E01022,
NGLFINE,EQ,1774.95,1774.95,1724.2,1731.6,1730,1716.9,2081,3630787.4,29-JUL-2022,575,INE887E01022,
NGLFINE,EQ,1783.95,1785,1724.95,1755.1,1768,1731.6,3544,6237307.35,01-AUG-2022,889,INE887E01022,
NGLFINE,EQ,1795,1833.1,1757.45,1796.5,1805.6,1755.1,4674,8357901.05,02-AUG-2022,904,INE887E01022,
NGLFINE,EQ,1848,1848,1755,1769.45,1775,1796.5,1848,3324629,03-AUG-2022,609,INE887E01022,
NGLFINE,EQ,1798.15,1801.55,1700,1724.15,1735.95,1769.45,2600,4534756,04-AUG-2022,677,INE887E01022,
NGLFINE,EQ,1770,1770,1661,1687.7,1678,1724.15,3169,5416810.4,05-AUG-2022,957,INE887E01022,
NGLFINE,EQ,1687.75,1700.95,1613.95,1649.65,1665,1687.7,5538,9200829.7,08-AUG-2022,1447,INE887E01022,
NGLFINE,EQ,1645,1746.45,1644,1693.7,1660,1649.65,5030,8523349.05,10-AUG-2022,900,INE887E01022,
NGLFINE,EQ,1525,1649,1498,1612.9,1619.05,1693.7,16323,25636202.25,11-AUG-2022,2975,INE887E01022,
NGLFINE,EQ,1560,1626.55,1555,1559.5,1555,1612.9,4660,7328071.7,12-AUG-2022,1423,INE887E01022,
NGLFINE,EQ,1560,1600,1528,1530.65,1532.9,1559.5,4088,6285207.4,16-AUG-2022,910,INE887E01022,
NGLFINE,EQ,1580,1695,1537.75,1654.85,1685,1530.65,4142,6605995,17-AUG-2022,879,INE887E01022,
NGLFINE,EQ,1675,1675,1553.95,1586.95,1590,1654.85,5928,9595043.95,18-AUG-2022,1458,INE887E01022,
NGLFINE,EQ,1590,1599,1569,1582.85,1578,1586.95,2754,4349044.6,19-AUG-2022,595,INE887E01022,
NGLFINE,EQ,1648,1700,1377.1,1596.55,1639,1582.85,12363,19326850.25,22-AUG-2022,2200,INE887E01022,
NGLFINE,EQ,1639,1639,1571,1591.15,1602.8,1596.55,1775,2835142.3,23-AUG-2022,600,INE887E01022,
NGLFINE,EQ,1602.8,1625,1580,1588.9,1600.85,1591.15,1500,2402425,24-AUG-2022,496,INE887E01022,
NGLFINE,EQ,1618.9,1618.9,1580,1602.35,1609.9,1588.9,950,1519058.75,25-AUG-2022,326,INE887E01022,
NGLFINE,EQ,1620,1625,1590,1610.5,1619,1602.35,1649,2657698.15,26-AUG-2022,356,INE887E01022,
NGLFINE,EQ,1570,1603.7,1551,1581.45,1580.1,1610.5,2437,3835474.2,29-AUG-2022,604,INE887E01022,
NGLFINE,EQ,1609.4,1620,1570.4,1590.15,1595.45,1581.45,1730,2769183.45,30-AUG-2022,396,INE887E01022,
NGLFINE,EQ,1590.15,1619.05,1590,1599.5,1609.75,1590.15,1201,1924096.2,01-SEP-2022,366,INE887E01022,
NGLFINE,EQ,1599.5,1626,1579.55,1594.65,1590,1599.5,1817,2909823.35,02-SEP-2022,557,INE887E01022,
NGLFINE,EQ,1623.95,1623.95,1590,1599.55,1599,1594.65,1844,2950705.05,05-SEP-2022,300,INE887E01022,
NGLFINE,EQ,1590,1599.55,1546,1550.55,1565,1599.55,7063,11059406.75,06-SEP-2022,774,INE887E01022,
NGLFINE,EQ,1565,1585.95,1475.3,1509.95,1514.85,1550.55,15220,23175816.95,07-SEP-2022,1403,INE887E01022,
NGLFINE,EQ,1511.75,1563.1,1490.05,1509.1,1510,1509.95,7027,10661318.35,08-SEP-2022,1220,INE887E01022,
NGLFINE,EQ,1539.95,1547.75,1517,1531.45,1534.85,1509.1,2196,3363197.15,09-SEP-2022,466,INE887E01022,
NGLFINE,EQ,1566,1566,1491,1522.55,1545,1531.45,9402,14262588.05,12-SEP-2022,1251,INE887E01022,
NGLFINE,EQ,1522.55,1540,1505.25,1514,1510,1522.55,5838,8899701.5,13-SEP-2022,779,INE887E01022,
NGLFINE,EQ,1511,1560,1501,1544.2,1555.05,1514,3625,5565194,14-SEP-2022,863,INE887E01022,
NGLFINE,EQ,1544.3,1594.6,1505.1,1575,1555,1544.2,3799,5922437.45,15-SEP-2022,699,INE887E01022,
NGLFINE,EQ,1588.15,1595.15,1485,1523.55,1520,1575,6810,10377585.25,16-SEP-2022,1080,INE887E01022,
NGLFINE,EQ,1523.55,1578.3,1500,1506.95,1500,1523.55,3150,4768627.1,19-SEP-2022,582,INE887E01022,
NGLFINE,EQ,1532.4,1551.5,1500,1514.35,1510,1506.95,2119,3213200.3,20-SEP-2022,436,INE887E01022,
NGLFINE,EQ,1537.05,1537.05,1499.95,1512.55,1517.9,1514.35,1808,2727529.6,21-SEP-2022,468,INE887E01022,
NGLFINE,EQ,1503.1,1525,1500.35,1519.25,1520.7,1512.55,1664,2518671.25,22-SEP-2022,268,INE887E01022,
NGLFINE,EQ,1542.05,1549.1,1503.8,1515.35,1510,1519.25,794,1203930.8,23-SEP-2022,266,INE887E01022,
