SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
NIF100BEES,EQ,171,174.46,170,170.23,170.4,171.17,4172,715542.57,10-MAY-2022,187,INF204K014N5,
NIF100BEES,EQ,170.23,171.52,167.9,169.78,170.13,170.23,6038,1023268.72,11-MAY-2022,193,INF204K014N5,
NIF100BEES,EQ,169,172,165,165.92,166.08,169.78,16536,2754368.7,12-MAY-2022,511,INF204K014N5,
NIF100BEES,EQ,167.88,180,165,167.2,165.23,165.92,47982,8162387.1,13-MAY-2022,535,INF204K014N5,
NIF100BEES,EQ,169.18,171.5,165,166.54,166.85,167.2,5401,903730.23,16-MAY-2022,258,INF204K014N5,
NIF100BEES,EQ,167,171.19,166.76,170.36,171.19,166.54,31755,5356638.49,17-MAY-2022,152,INF204K014N5,
NIF100BEES,EQ,172.36,172.38,169.75,170.02,170.82,170.36,3062,523838.95,18-MAY-2022,184,INF204K014N5,
NIF100BEES,EQ,169.97,170,166.01,166.37,166.5,170.02,7964,1330028.06,19-MAY-2022,317,INF204K014N5,
NIF100BEES,EQ,168,171.25,167,169.88,169.76,166.37,3245,550328.95,20-MAY-2022,169,INF204K014N5,
NIF100BEES,EQ,169.5,173,167.45,169.9,169.82,169.88,5867,1000814.71,23-MAY-2022,211,INF204K014N5,
NIF100BEES,EQ,171.8,171.8,168,168.4,169.05,169.9,1501,254023.03,24-MAY-2022,132,INF204K014N5,
NIF100BEES,EQ,183.6,183.6,167,167.81,168,168.4,6756,1135261.8,25-MAY-2022,142,INF204K014N5,
NIF100BEES,EQ,167.45,169.25,165.81,168.9,169.25,167.81,8385,1397601.24,26-MAY-2022,154,INF204K014N5,
NIF100BEES,EQ,170.9,171,169,170.85,170.32,168.9,3862,659244.66,27-MAY-2022,91,INF204K014N5,
NIF100BEES,EQ,172.8,174.5,169.3,174.18,174.19,170.85,7604,1316286.15,30-MAY-2022,148,INF204K014N5,
NIF100BEES,EQ,174.19,174.66,172.46,173.97,174,174.18,2280,396953.34,31-MAY-2022,122,INF204K014N5,
NIF100BEES,EQ,172,181.65,171.79,175.23,173.34,173.97,15680,2742451.86,01-JUN-2022,222,INF204K014N5,
NIF100BEES,EQ,175,175,172.53,173.74,173.94,175.23,2688,465365.28,02-JUN-2022,107,INF204K014N5,
NIF100BEES,EQ,174,175.7,172.3,172.51,173.41,173.74,6429,1118490.95,03-JUN-2022,150,INF204K014N5,
NIF100BEES,EQ,172,173.73,171.24,173.61,173.51,172.51,3623,624811.1,06-JUN-2022,121,INF204K014N5,
NIF100BEES,EQ,173.5,173.5,170.45,171.7,171.5,173.61,3715,637217.07,07-JUN-2022,177,INF204K014N5,
NIF100BEES,EQ,171.8,172.26,170.28,170.53,170.5,171.7,1691,289395.48,08-JUN-2022,132,INF204K014N5,
NIF100BEES,EQ,170,172.65,170,172.47,172.65,170.53,820,140537.59,09-JUN-2022,77,INF204K014N5,
NIF100BEES,EQ,170.99,170.99,168.7,169.75,169.8,172.47,9902,1684595.79,10-JUN-2022,243,INF204K014N5,
NIF100BEES,EQ,168.75,169.89,164.5,166.66,165.84,169.75,24768,4110627.13,13-JUN-2022,511,INF204K014N5,
NIF100BEES,EQ,166.24,166.51,163.1,165.21,165.41,166.66,3749,620327.68,14-JUN-2022,271,INF204K014N5,
NIF100BEES,EQ,167.18,180.1,164.85,164.97,164.88,165.21,11934,1988061.25,15-JUN-2022,237,INF204K014N5,
NIF100BEES,EQ,166.96,173.33,161.1,161.78,161.49,164.97,23517,3835727.88,16-JUN-2022,469,INF204K014N5,
NIF100BEES,EQ,161.25,169.4,160.01,161.94,160.94,161.78,26636,4280495.18,17-JUN-2022,321,INF204K014N5,
NIF100BEES,EQ,163.9,164.74,155.55,160.92,161.25,161.94,12666,2021968.71,20-JUN-2022,427,INF204K014N5,
NIF100BEES,EQ,162.98,164.5,161.25,164.12,163.6,160.92,5903,964479.81,21-JUN-2022,167,INF204K014N5,
NIF100BEES,EQ,165.5,165.98,161,161.77,161.71,164.12,4570,741051.35,22-JUN-2022,257,INF204K014N5,
