SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
NIF100IWIN,EQ,90.8,91.17,90.8,91.12,91.12,90.84,68,6194.36,25-JUL-2016,13,INF109KA1962,
NIF100IWIN,EQ,92.04,92.04,91.4,91.75,91.75,91.12,229,21007.73,26-JUL-2016,10,INF109KA1962,
NIF100IWIN,EQ,92.25,92.25,91.11,91.11,91.11,91.75,1666,152676.55,27-JUL-2016,9,INF109KA1962,
NIF100IWIN,EQ,92.09,92.09,91.7,91.7,91.7,91.11,1410,129336.78,28-JUL-2016,8,INF109KA1962,
NIF100IWIN,EQ,92.4,92.4,91.7,91.98,91.7,91.7,111,10235,29-JUL-2016,8,INF109KA1962,
NIF100IWIN,EQ,92.34,92.88,91.93,92.47,92.47,91.98,565,52185.55,01-AUG-2016,21,INF109KA1962,
NIF100IWIN,EQ,92.5,92.57,91.88,92.02,92.02,92.47,274,25253.33,02-AUG-2016,8,INF109KA1962,
NIF100IWIN,EQ,91.49,91.59,90.85,90.85,90.85,92.02,308,28199.57,03-AUG-2016,9,INF109KA1962,
NIF100IWIN,EQ,91.31,91.36,90.77,90.77,90.77,90.85,175,15963.16,04-AUG-2016,6,INF109KA1962,
NIF100IWIN,EQ,92.05,92.05,92.05,92.05,92.05,90.77,456,41974.8,05-AUG-2016,5,INF109KA1962,
NIF100IWIN,EQ,93.03,93.03,92.98,92.98,92.98,92.05,70,6510.55,08-AUG-2016,7,INF109KA1962,
NIF100IWIN,EQ,92.94,92.94,92.94,92.94,92.94,92.98,65,6041.1,09-AUG-2016,6,INF109KA1962,
NIF100IWIN,EQ,92.47,92.52,91.43,91.67,91.67,92.94,196,17991.61,10-AUG-2016,13,INF109KA1962,
NIF100IWIN,EQ,91.6,91.6,91.2,91.2,91.2,91.67,149,13633.22,11-AUG-2016,8,INF109KA1962,
NIF100IWIN,EQ,92.51,92.51,92.07,92.51,92.51,91.2,256,23571.24,12-AUG-2016,5,INF109KA1962,
NIF100IWIN,EQ,92.62,92.72,91.6,91.6,91.6,92.51,129,11930.73,16-AUG-2016,13,INF109KA1962,
NIF100IWIN,EQ,91.96,92.4,91.96,92.11,92.11,91.6,62,5715.12,17-AUG-2016,7,INF109KA1962,
NIF100IWIN,EQ,92.65,92.9,92.26,92.26,92.26,92.11,13,1206.56,18-AUG-2016,5,INF109KA1962,
NIF100IWIN,EQ,92.94,92.94,92.2,92.2,92.2,92.26,285,26290.32,19-AUG-2016,5,INF109KA1962,
NIF100IWIN,EQ,92.54,92.59,92.34,92.34,92.34,92.2,108,9994.37,22-AUG-2016,12,INF109KA1962,
NIF100IWIN,EQ,92.27,92.37,91.63,92.12,92.12,92.34,81,7435.88,23-AUG-2016,7,INF109KA1962,
NIF100IWIN,EQ,92.58,92.58,91.99,91.99,91.99,92.12,300,27652.48,24-AUG-2016,13,INF109KA1962,
NIF100IWIN,EQ,92.92,92.92,91.97,91.98,91.97,91.99,415,38397.35,25-AUG-2016,21,INF109KA1962,
