SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
NIFTYETF,EQ,203.22,205,203.15,204.77,205,202.96,50331,10282053.24,01-SEP-2023,218,INF769K01EG9,
NIFTYETF,EQ,205.87,206.13,204.39,205.52,206.13,204.77,70752,14540196.49,04-SEP-2023,411,INF769K01EG9,
NIFTYETF,EQ,206.34,206.58,205.52,205.84,206.57,205.52,93900,19333844.48,05-SEP-2023,297,INF769K01EG9,
NIFTYETF,EQ,206.4,206.99,205.16,206.94,206.92,205.84,39525,8174457.99,06-SEP-2023,310,INF769K01EG9,
NIFTYETF,EQ,206.94,208.12,205.71,208.01,207.5,206.94,118191,24555675.03,07-SEP-2023,257,INF769K01EG9,
NIFTYETF,EQ,207.75,209.46,207.66,209.08,209.08,208.01,55922,11668766.9,08-SEP-2023,253,INF769K01EG9,
NIFTYETF,EQ,209.08,210.75,209.08,210.51,210.59,209.08,49072,10320011.64,11-SEP-2023,467,INF769K01EG9,
NIFTYETF,EQ,211.84,211.88,209.72,210.84,210.31,210.51,153175,32288647.74,12-SEP-2023,546,INF769K01EG9,
NIFTYETF,EQ,212.78,212.78,210.11,211.24,211.15,210.84,9078,1917087.04,13-SEP-2023,446,INF769K01EG9,
NIFTYETF,EQ,212.27,212.49,211.31,212.03,212.17,211.24,28155,5969224.14,14-SEP-2023,250,INF769K01EG9,
NIFTYETF,EQ,212.71,213,211.89,212.85,212.77,212.03,90850,19286516.64,15-SEP-2023,365,INF769K01EG9,
NIFTYETF,EQ,214.98,214.98,211.76,212.48,212.25,212.85,32009,6802312.56,18-SEP-2023,299,INF769K01EG9,
NIFTYETF,EQ,212.48,212.48,209.28,209.46,209.91,212.48,131727,27640746.12,20-SEP-2023,592,INF769K01EG9,
NIFTYETF,EQ,209.91,209.91,207.47,208.22,208.27,209.46,20843,4341504.33,21-SEP-2023,430,INF769K01EG9,
NIFTYETF,EQ,208.33,208.82,206.85,207.48,207.61,208.22,300075,62299492.96,22-SEP-2023,491,INF769K01EG9,
NIFTYETF,EQ,209.48,209.55,206.5,207.55,207.54,207.48,64284,13339532.95,25-SEP-2023,447,INF769K01EG9,
NIFTYETF,EQ,207.5,207.8,206.94,207.43,207.45,207.55,74377,15429547.87,26-SEP-2023,480,INF769K01EG9,
NIFTYETF,EQ,207.43,208.1,205.92,207.94,208.1,207.43,63524,13176444.73,27-SEP-2023,396,INF769K01EG9,
NIFTYETF,EQ,208,208.27,205.6,205.99,206.27,207.94,108142,22393962.02,28-SEP-2023,595,INF769K01EG9,
NIFTYETF,EQ,206.6,207.99,205.81,206.89,207.16,205.99,38317,7926657.15,29-SEP-2023,309,INF769K01EG9,
NIFTYETF,EQ,209,209,205.34,205.38,205.94,206.89,57035,11727969.55,03-OCT-2023,823,INF769K01EG9,
NIFTYETF,EQ,205.2,205.2,203.97,204.78,205.08,205.38,78390,16016627.05,04-OCT-2023,699,INF769K01EG9,
NIFTYETF,EQ,205.9,206.5,205.07,206.12,206.16,204.78,13533,2787790.37,05-OCT-2023,319,INF769K01EG9,
NIFTYETF,EQ,206.21,207.49,206.21,207.34,207.28,206.12,67783,14039225.24,06-OCT-2023,307,INF769K01EG9,
NIFTYETF,EQ,207.34,207.34,205.29,205.71,205.7,207.34,11056,2278161.56,09-OCT-2023,448,INF769K01EG9,
NIFTYETF,EQ,205.87,207.97,205.87,207.71,207.73,205.71,64651,13423836.31,10-OCT-2023,391,INF769K01EG9,
