SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
NIFTYIETF,EQ,233,237.48,231.7,231.89,232.24,235.61,176889,41449510.56,20-DEC-2023,3378,INF109K012R6,
NIFTYIETF,EQ,224.95,233.99,224.95,233.66,233.77,231.89,226428,52626804.38,21-DEC-2023,4776,INF109K012R6,
NIFTYIETF,EQ,233.65,235,233.06,234.78,234.28,233.66,145759,34150555.78,22-DEC-2023,4594,INF109K012R6,
NIFTYIETF,EQ,236,236.24,234.11,235.71,235.84,234.78,191486,45150792.98,26-DEC-2023,9640,INF109K012R6,
NIFTYIETF,EQ,237.6,238,232.1,237.38,237.18,235.71,184416,43661749.21,27-DEC-2023,3746,INF109K012R6,
NIFTYIETF,EQ,238.19,239.25,238,239.05,238.85,237.38,121569,29009276.21,28-DEC-2023,2680,INF109K012R6,
NIFTYIETF,EQ,246.2,246.2,238,238.38,238.01,239.05,117550,28031089.48,29-DEC-2023,3066,INF109K012R6,
NIFTYIETF,EQ,234.1,239.87,234.1,238.53,237.98,238.38,182670,43567025.66,01-JAN-2024,10689,INF109K012R6,
NIFTYIETF,EQ,245.7,245.7,236.67,237.96,237.97,238.53,130089,30913534.96,02-JAN-2024,4417,INF109K012R6,
NIFTYIETF,EQ,237.69,237.69,236.26,236.49,236.3,237.96,246546,58406229.02,03-JAN-2024,4102,INF109K012R6,
NIFTYIETF,EQ,243.6,243.6,236,237.65,238,236.49,592965,140916510.62,04-JAN-2024,4200,INF109K012R6,
NIFTYIETF,EQ,238.3,238.67,237.33,238.41,238.11,237.65,453579,107958748.17,05-JAN-2024,3076,INF109K012R6,
NIFTYIETF,EQ,245.55,245.55,236.1,236.43,236.34,238.41,211444,50214956.36,08-JAN-2024,11199,INF109K012R6,
NIFTYIETF,EQ,234.2,238.6,234.2,236.77,236.63,236.43,122513,29134302.17,09-JAN-2024,4418,INF109K012R6,
NIFTYIETF,EQ,236.05,237.7,235.1,237.46,237.6,236.77,133749,31625045.57,10-JAN-2024,4890,INF109K012R6,
NIFTYIETF,EQ,244.6,244.6,236.61,237.64,237.82,237.46,140197,33314374.75,11-JAN-2024,3996,INF109K012R6,
NIFTYIETF,EQ,237.62,241,237.4,240.19,240.9,237.64,193805,46461155.38,12-JAN-2024,4267,INF109K012R6,
NIFTYIETF,EQ,247.4,247.4,240.19,242.88,242.75,240.19,226188,54770444.97,15-JAN-2024,8923,INF109K012R6,
NIFTYIETF,EQ,250.15,250.15,240.56,241.85,242,242.88,159908,38726196.53,16-JAN-2024,4017,INF109K012R6,
NIFTYIETF,EQ,241.69,241.69,236.8,237.15,238.05,241.85,276382,65872799.58,17-JAN-2024,5711,INF109K012R6,
NIFTYIETF,EQ,238.15,238.15,234.15,236.17,236.21,237.15,256870,60608238.04,18-JAN-2024,4718,INF109K012R6,
NIFTYIETF,EQ,239.15,239.15,236.18,237.86,238.05,236.17,83937,19952468.77,19-JAN-2024,3640,INF109K012R6,
NIFTYIETF,EQ,244.5,244.5,230.25,233.61,232.77,237.38,264333,62357982.64,23-JAN-2024,11173,INF109K012R6,
NIFTYIETF,EQ,234.6,236.38,232.01,236.07,236.33,233.61,126369,29638460.13,24-JAN-2024,3537,INF109K012R6,
NIFTYIETF,EQ,236.39,236.39,233.86,235.2,236,236.07,491074,115124009.39,25-JAN-2024,4145,INF109K012R6,
NIFTYIETF,EQ,242.25,242.25,235.21,238.97,238.92,235.2,569162,135945221.89,29-JAN-2024,8109,INF109K012R6,
NIFTYIETF,EQ,244.99,244.99,236.5,236.81,236.99,238.97,149085,35522545.42,30-JAN-2024,2000,INF109K012R6,
NIFTYIETF,EQ,237.2,239.25,236.11,238.95,239.1,236.81,586491,139805888.69,31-JAN-2024,7818,INF109K012R6,
NIFTYIETF,EQ,246.1,246.1,238.06,238.86,238.7,238.95,335985,80271635.58,01-FEB-2024,3934,INF109K012R6,
NIFTYIETF,EQ,246.05,246.05,239.51,239.84,240.1,238.86,1445885,347195165.31,02-FEB-2024,4171,INF109K012R6,
NIFTYIETF,EQ,242.1,242.1,238.55,238.94,238.6,239.84,166993,40145073.25,05-FEB-2024,7487,INF109K012R6,
NIFTYIETF,EQ,233.5,241.24,233.5,240.52,240,238.94,331338,79660741.3,06-FEB-2024,5604,INF109K012R6,
NIFTYIETF,EQ,241.99,242,239.56,241.01,241.22,240.52,151223,36475601.57,07-FEB-2024,4814,INF109K012R6,
NIFTYIETF,EQ,242.1,242.18,238.55,239.22,239.3,241.01,437154,104915338.6,08-FEB-2024,4701,INF109K012R6,
NIFTYIETF,EQ,243.6,243.6,238.08,239.55,239.6,239.22,157245,37569964.52,09-FEB-2024,4022,INF109K012R6,
NIFTYIETF,EQ,246.75,246.75,237.7,237.91,238.31,239.55,199516,47609214.14,12-FEB-2024,10136,INF109K012R6,
NIFTYIETF,EQ,245.05,245.05,237.21,239.29,239.15,237.91,161693,38627179.91,13-FEB-2024,3834,INF109K012R6,
NIFTYIETF,EQ,241.6,241.6,236.9,240.35,241,239.29,914781,217281681.57,14-FEB-2024,4297,INF109K012R6,
NIFTYIETF,EQ,241.5,241.5,239.87,241.2,241.34,240.35,237081,57053369.57,15-FEB-2024,4240,INF109K012R6,
NIFTYIETF,EQ,241.2,242.69,241.2,242.38,242.6,241.2,455462,110321314.22,16-FEB-2024,4077,INF109K012R6,
NIFTYIETF,EQ,235.1,249.7,235.1,243.52,243.86,242.38,158996,38727665.85,19-FEB-2024,8848,INF109K012R6,
NIFTYIETF,EQ,250.85,250.85,242.61,244.01,243.96,243.52,240247,58512133.77,20-FEB-2024,2852,INF109K012R6,
NIFTYIETF,EQ,251.35,251.35,242.06,242.42,242.35,244.01,677990,165448071.71,21-FEB-2024,5255,INF109K012R6,
NIFTYIETF,EQ,249.7,249.7,241.1,244.53,244.09,242.42,300112,72917567.6,22-FEB-2024,7721,INF109K012R6,
NIFTYIETF,EQ,244.56,245.1,243.91,244.18,243.91,244.53,109182,26723922.08,23-FEB-2024,3779,INF109K012R6,
NIFTYIETF,EQ,251.5,251.5,241.2,243.55,243.58,244.18,164598,40110583.37,26-FEB-2024,7756,INF109K012R6,
NIFTYIETF,EQ,250.85,250.85,243.03,244.24,244,243.55,101313,24708288.68,27-FEB-2024,3734,INF109K012R6,
NIFTYIETF,EQ,244.79,245.1,241.53,241.82,243,244.24,257935,62692829.4,28-FEB-2024,2915,INF109K012R6,
NIFTYIETF,EQ,249.05,249.05,240.64,242.32,243.13,241.82,245626,59375697.64,29-FEB-2024,9185,INF109K012R6,
NIFTYIETF,EQ,244.35,245.85,242.01,245.4,245.4,242.32,181122,44318987.32,01-MAR-2024,4286,INF109K012R6,
NIFTYIETF,EQ,253.3,253.3,245.82,246.54,246.53,245.94,612191,150783676.32,04-MAR-2024,8353,INF109K012R6,
NIFTYIETF,EQ,253.95,253.95,245.07,245.87,245.81,246.54,158597,38992433.16,05-MAR-2024,3090,INF109K012R6,
NIFTYIETF,EQ,250,250,244.62,247.19,247.04,245.87,157766,38816070.19,06-MAR-2024,4958,INF109K012R6,
NIFTYIETF,EQ,243.25,250.2,243.25,247.17,246.55,247.19,118509,29313491.74,07-MAR-2024,5162,INF109K012R6,
NIFTYIETF,EQ,247.25,249.75,239.75,245.85,245.65,247.17,247920,61208082.32,11-MAR-2024,13136,INF109K012R6,
