SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
NOESISIND,EQ,0.4,0.4,0.4,0.4,0.4,0.35,900,360,29-JAN-2016,1,INE141B01020,
NOESISIND,EQ,0.45,0.45,0.45,0.45,0.45,0.4,25,11.25,03-FEB-2016,1,INE141B01020,
NOESISIND,EQ,0.45,0.45,0.45,0.45,0.45,0.45,600,270,04-FEB-2016,1,INE141B01020,
NOESISIND,EQ,0.45,0.45,0.45,0.45,0.45,0.45,1000,450,05-FEB-2016,1,INE141B01020,
NOESISIND,BE,0.4,0.4,0.4,0.4,0.4,0.45,500,200,25-FEB-2016,1,INE141B01020,
NOESISIND,BE,0.4,0.4,0.4,0.4,0.4,0.4,2,0.8,26-FEB-2016,1,INE141B01020,
NOESISIND,BE,0.35,0.35,0.35,0.35,0.35,0.4,7,2.45,29-FEB-2016,1,INE141B01020,
NOESISIND,BE,0.3,0.35,0.3,0.35,0.35,0.35,401,120.35,01-MAR-2016,2,INE141B01020,
NOESISIND,BE,0.35,0.35,0.35,0.35,0.35,0.35,21,7.35,10-MAR-2016,2,INE141B01020,
NOESISIND,BE,0.35,0.35,0.35,0.35,0.35,0.35,10,3.5,11-MAR-2016,1,INE141B01020,
NOESISIND,BE,0.35,0.35,0.35,0.35,0.35,0.35,4800,1680,29-MAR-2016,1,INE141B01020,
NOESISIND,BE,0.3,0.3,0.3,0.3,0.3,0.35,300,90,01-APR-2016,1,INE141B01020,
NOESISIND,EQ,0.35,0.35,0.35,0.35,0.35,0.3,50,17.5,18-APR-2016,1,INE141B01020,
NOESISIND,EQ,0.4,0.4,0.4,0.4,0.4,0.35,225,90,22-APR-2016,1,INE141B01020,
NOESISIND,EQ,0.45,0.45,0.45,0.45,0.45,0.4,100,45,29-APR-2016,1,INE141B01020,
NOESISIND,EQ,0.45,0.45,0.45,0.45,0.45,0.45,407,183.15,02-MAY-2016,1,INE141B01020,
NOESISIND,EQ,0.45,0.45,0.4,0.4,0.4,0.45,6218,2548.1,03-MAY-2016,4,INE141B01020,
NOESISIND,EQ,0.35,0.35,0.35,0.35,0.35,0.4,400,140,06-MAY-2016,1,INE141B01020,
NOESISIND,EQ,0.3,0.3,0.3,0.3,0.3,0.35,60,18,09-MAY-2016,1,INE141B01020,
NOESISIND,BE,0.25,0.25,0.25,0.25,0.25,0.3,180,45,10-MAY-2016,1,INE141B01020,
NOESISIND,BE,0.3,0.3,0.2,0.2,0.2,0.25,18782,3973.2,12-MAY-2016,7,INE141B01020,
NOESISIND,BE,0.2,0.2,0.2,0.2,0.2,0.2,180,36,13-MAY-2016,1,INE141B01020,
NOESISIND,BE,0.25,0.25,0.25,0.25,0.25,0.2,1,0.25,17-MAY-2016,1,INE141B01020,
NOESISIND,BE,0.3,0.3,0.3,0.3,0.3,0.25,306,91.8,18-MAY-2016,2,INE141B01020,
