SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
NUVAMA,BE,2750,2790,2612.5,2612.5,2612.5,2822.1,89029,240753909.2,26-SEP-2023,2378,INE531F01015,
NUVAMA,BE,2481.9,2481.9,2481.9,2481.9,2481.9,2612.5,1936,4804958.4,27-SEP-2023,143,INE531F01015,
NUVAMA,BE,2357.8,2443.85,2357.8,2360,2361,2481.9,143979,341053113.5,28-SEP-2023,7387,INE531F01015,
NUVAMA,BE,2242,2435,2242,2410.25,2410,2360,81364,190218075.4,29-SEP-2023,5158,INE531F01015,
NUVAMA,BE,2389,2389,2289.75,2298.7,2300,2410.25,201692,476693126.1,03-OCT-2023,2082,INE531F01015,
NUVAMA,BE,2256,2294,2183.8,2183.8,2183.8,2298.7,52478,116033340.4,04-OCT-2023,2701,INE531F01015,
NUVAMA,BE,2126,2244.95,2100,2176.7,2165,2183.8,93177,204363473.15,05-OCT-2023,2046,INE531F01015,
NUVAMA,BE,2180,2285.5,2125.2,2285.5,2285.5,2176.7,30739,67856618.8,06-OCT-2023,1799,INE531F01015,
NUVAMA,BE,2289,2323,2201.55,2240.85,2249,2285.5,11473,25821814.5,09-OCT-2023,936,INE531F01015,
NUVAMA,BE,2260,2352.85,2260,2352.85,2352.85,2240.85,21819,50985899.95,10-OCT-2023,1322,INE531F01015,
NUVAMA,EQ,2417,2440,2285.3,2355.75,2352,2352.85,28360,66409795.45,11-OCT-2023,2245,INE531F01015,
NUVAMA,EQ,2383.95,2425,2310.05,2364,2360,2355.75,15581,36725411.25,12-OCT-2023,1567,INE531F01015,
NUVAMA,EQ,2358.8,2405,2325,2345.4,2332,2364,21684,50980429.9,13-OCT-2023,4177,INE531F01015,
NUVAMA,EQ,2302,2364,2302,2349.15,2363,2345.4,43372,102044521.5,16-OCT-2023,8427,INE531F01015,
NUVAMA,EQ,2360,2400,2334,2351.65,2342,2349.15,33682,79273263.3,17-OCT-2023,4271,INE531F01015,
NUVAMA,EQ,2352.05,2365,2320.2,2353.55,2354,2351.65,30262,71124199.75,18-OCT-2023,2398,INE531F01015,
NUVAMA,EQ,2354,2588.85,2335.05,2561.15,2560,2353.55,114280,284789933.35,19-OCT-2023,17578,INE531F01015,
NUVAMA,EQ,2558.05,2590,2541.65,2562,2575,2561.15,51282,131524184.95,20-OCT-2023,6597,INE531F01015,
NUVAMA,EQ,2565,2599,2460.25,2514.95,2517.85,2562,59528,150707775.25,23-OCT-2023,8449,INE531F01015,
NUVAMA,EQ,2540,2600,2498.1,2526.95,2523.8,2514.95,34781,88569046.85,25-OCT-2023,7206,INE531F01015,
NUVAMA,EQ,2500,2724.45,2461.6,2704.55,2695,2526.95,98080,256258377,26-OCT-2023,11484,INE531F01015,
NUVAMA,EQ,2730,2752.95,2675,2713.6,2703.3,2704.55,33254,90455954.8,27-OCT-2023,4820,INE531F01015,
NUVAMA,EQ,2900,2947.85,2810.1,2863.1,2865,2713.6,97836,279880551.8,30-OCT-2023,12499,INE531F01015,
NUVAMA,EQ,3001,3010.1,2835.15,2923.35,2924,2863.1,162341,475858105,31-OCT-2023,29185,INE531F01015,
NUVAMA,EQ,2950,2977.95,2841.5,2895.95,2889,2923.35,38693,112101345.6,01-NOV-2023,6689,INE531F01015,
NUVAMA,EQ,2950.9,2978.9,2860.75,2879.55,2880,2895.95,33968,98838454.1,02-NOV-2023,7785,INE531F01015,
NUVAMA,EQ,2969.7,2969.7,2841.6,2878.85,2870,2879.55,22984,66058049.5,03-NOV-2023,4572,INE531F01015,
NUVAMA,EQ,2897,2901.15,2745,2810.3,2803.55,2878.85,45477,127175749.85,06-NOV-2023,7350,INE531F01015,
NUVAMA,EQ,2810,2822,2739.85,2755.2,2760,2810.3,21655,60312557.5,07-NOV-2023,4155,INE531F01015,
NUVAMA,EQ,2756.05,2778,2714.5,2735.55,2744,2755.2,34055,93096890.7,08-NOV-2023,6402,INE531F01015,
NUVAMA,EQ,2700.15,2738.45,2630.55,2702.55,2711,2735.55,53276,143623772.5,09-NOV-2023,7436,INE531F01015,
NUVAMA,EQ,2679,2737,2618.65,2653.05,2661,2702.55,276469,742561220.45,10-NOV-2023,18072,INE531F01015,
NUVAMA,EQ,2740,2908.55,2712.6,2747.4,2755.4,2713.85,477945,1334788198.6,13-NOV-2023,40008,INE531F01015,
NUVAMA,EQ,2780.05,2884.4,2755.5,2804.2,2804,2747.4,272066,768141265.05,15-NOV-2023,30658,INE531F01015,
NUVAMA,EQ,2825,2970.7,2758.85,2898.85,2905,2804.2,243270,704397876.05,16-NOV-2023,26512,INE531F01015,
NUVAMA,EQ,2920,3174.6,2869.25,3121.8,3125,2898.85,370308,1114490225.95,17-NOV-2023,34749,INE531F01015,
NUVAMA,EQ,3149,3264.4,3056,3212.75,3245,3121.8,317244,997608664.2,20-NOV-2023,24931,INE531F01015,
NUVAMA,EQ,3251,3314,3165.2,3205.65,3211,3212.75,104611,340126581.7,21-NOV-2023,12770,INE531F01015,
NUVAMA,EQ,3221,3229,3117.2,3173.65,3180,3205.65,110815,352969492.7,22-NOV-2023,13029,INE531F01015,
