SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
NV20IETF,EQ,126.42,127.9,124.4,124.97,124.85,126.89,81992,10348189.99,20-DEC-2023,824,INF109KB1WY5,
NV20IETF,EQ,128.7,128.7,123.51,125,125.2,124.97,47390,5906386.74,21-DEC-2023,857,INF109KB1WY5,
NV20IETF,EQ,128.75,128.75,125.01,126.87,127.47,125,154472,19432714.85,22-DEC-2023,806,INF109KB1WY5,
NV20IETF,EQ,128,128,125.51,127.08,127.27,126.87,34377,4365156.52,26-DEC-2023,1368,INF109KB1WY5,
NV20IETF,EQ,130.9,130.9,123.25,127.83,127.78,127.08,26986,3440252.81,27-DEC-2023,694,INF109KB1WY5,
NV20IETF,EQ,131.65,131.65,127.83,128.96,128.81,127.83,41899,5394592.86,28-DEC-2023,746,INF109KB1WY5,
NV20IETF,EQ,129.48,129.48,128.08,128.44,128.63,128.96,22396,2875989.97,29-DEC-2023,784,INF109KB1WY5,
NV20IETF,EQ,132.3,132.3,124.6,128.72,129.27,128.44,56272,7244244.12,01-JAN-2024,1612,INF109KB1WY5,
NV20IETF,EQ,128.71,128.83,127.27,128.15,128.29,128.72,74993,9594521.85,02-JAN-2024,1208,INF109KB1WY5,
NV20IETF,EQ,130.6,130.6,124.3,127.13,127.8,128.15,35328,4491523.55,03-JAN-2024,1090,INF109KB1WY5,
NV20IETF,EQ,130.95,130.95,126.53,127.43,127.4,127.13,32335,4122370.55,04-JAN-2024,919,INF109KB1WY5,
NV20IETF,EQ,131.25,131.25,127.35,127.7,127.43,127.43,48544,6207820.66,05-JAN-2024,887,INF109KB1WY5,
NV20IETF,EQ,131.55,131.55,125.1,127,126.9,127.7,52120,6626882.41,08-JAN-2024,1850,INF109KB1WY5,
NV20IETF,EQ,130.8,130.8,123.2,126.5,127.1,127,86203,10960963.71,09-JAN-2024,832,INF109KB1WY5,
NV20IETF,EQ,130.3,130.3,124.1,126.7,127.12,126.5,41718,5277174.79,10-JAN-2024,885,INF109KB1WY5,
NV20IETF,EQ,130.5,130.5,126.51,126.87,127.17,126.7,43594,5535044.07,11-JAN-2024,730,INF109KB1WY5,
NV20IETF,EQ,130.15,130.39,127.07,130.21,129.75,126.87,65176,8442337.39,12-JAN-2024,976,INF109KB1WY5,
NV20IETF,EQ,134.1,134.1,126.3,131.71,131.9,130.21,44992,5913934.45,15-JAN-2024,1480,INF109KB1WY5,
NV20IETF,EQ,135.65,135.65,130.31,130.8,130.8,131.71,35465,4651284.79,16-JAN-2024,1040,INF109KB1WY5,
NV20IETF,EQ,133.8,133.8,128.5,130,130.1,130.8,100831,13101947.5,17-JAN-2024,1085,INF109KB1WY5,
NV20IETF,EQ,126.1,132.55,126.1,129.7,129.91,130,89122,11505602.91,18-JAN-2024,867,INF109KB1WY5,
NV20IETF,EQ,133.1,133.1,130,130.85,131.01,129.7,59207,7752248.08,19-JAN-2024,731,INF109KB1WY5,
NV20IETF,EQ,127.3,133,127.3,129.46,131.2,131.25,97721,12749127.28,23-JAN-2024,1680,INF109KB1WY5,
NV20IETF,EQ,132,132,127,130.75,131.1,129.46,58948,7693613.86,24-JAN-2024,714,INF109KB1WY5,
NV20IETF,EQ,132,132,130.02,130.42,130.5,130.75,17652,2301946.52,25-JAN-2024,863,INF109KB1WY5,
NV20IETF,EQ,134.35,134.35,126.5,131.63,131.36,130.42,21707,2855977.39,29-JAN-2024,1178,INF109KB1WY5,
NV20IETF,EQ,134.1,134.1,129.1,130.96,130.95,131.63,44323,5827136.94,30-JAN-2024,697,INF109KB1WY5,
NV20IETF,EQ,133.8,133.8,130.55,132.05,132,130.96,103723,13630741.26,31-JAN-2024,784,INF109KB1WY5,
NV20IETF,EQ,136,136,131.43,132.51,132.39,132.05,141433,18730481.97,01-FEB-2024,1154,INF109KB1WY5,
NV20IETF,EQ,136.5,136.5,132.51,134.13,133.95,132.51,51575,6943864.51,02-FEB-2024,1096,INF109KB1WY5,
NV20IETF,EQ,138.15,138.15,133.4,134.08,134.93,134.13,65605,8835709.46,05-FEB-2024,1671,INF109KB1WY5,
NV20IETF,EQ,138.1,138.1,134,135.77,135.1,134.08,65445,8866116.43,06-FEB-2024,1161,INF109KB1WY5,
NV20IETF,EQ,138.6,138.6,133,135.54,135.74,135.77,28984,3932129.81,07-FEB-2024,1189,INF109KB1WY5,
NV20IETF,EQ,139.6,139.6,131.45,135.17,135.85,135.54,34134,4629240.08,08-FEB-2024,1082,INF109KB1WY5,
NV20IETF,EQ,137,137,134.04,135.49,135.25,135.17,21414,2886200.9,09-FEB-2024,892,INF109KB1WY5,
NV20IETF,EQ,139.55,139.55,133.5,134.22,135,135.49,45202,6085226.53,12-FEB-2024,1529,INF109KB1WY5,
NV20IETF,EQ,138.25,138.25,133.17,134.77,134.78,134.22,60746,8151541.21,13-FEB-2024,790,INF109KB1WY5,
NV20IETF,EQ,134.99,135.86,132.01,135.65,135.26,134.77,24138,3247033.21,14-FEB-2024,783,INF109KB1WY5,
NV20IETF,EQ,139.7,139.7,132.65,136.21,136.42,135.65,21183,2883870.82,15-FEB-2024,841,INF109KB1WY5,
NV20IETF,EQ,140.3,140.3,136,137.13,137.12,136.21,22298,3055250.38,16-FEB-2024,996,INF109KB1WY5,
NV20IETF,EQ,137.13,138.32,136.75,137.62,137.96,137.13,57885,7970395.71,19-FEB-2024,1691,INF109KB1WY5,
NV20IETF,EQ,140.2,140.72,136.35,137.2,136.86,137.62,48965,6745060.05,20-FEB-2024,1024,INF109KB1WY5,
NV20IETF,EQ,141.3,141.3,135.51,136.09,136,137.2,51107,7000648.12,21-FEB-2024,1136,INF109KB1WY5,
NV20IETF,EQ,140.15,140.15,135.37,137.77,137.9,136.09,39256,5341742.03,22-FEB-2024,1080,INF109KB1WY5,
NV20IETF,EQ,138.68,138.98,137.21,137.59,137.85,137.77,52157,7193588.32,23-FEB-2024,1047,INF109KB1WY5,
NV20IETF,EQ,138.88,138.88,136.25,136.7,137,137.59,47745,6535261.28,26-FEB-2024,1707,INF109KB1WY5,
NV20IETF,EQ,136.52,138.87,136.51,137.1,137,136.7,22261,3050770.48,27-FEB-2024,1045,INF109KB1WY5,
NV20IETF,EQ,138.28,138.28,135.7,136.08,135.8,137.1,58801,8036545.77,28-FEB-2024,1157,INF109KB1WY5,
NV20IETF,EQ,137.08,138,135,135.97,136.72,136.08,61893,8402628.41,29-FEB-2024,1368,INF109KB1WY5,
NV20IETF,EQ,16.3,16.3,13.73,13.82,14.2,135.97,1419469,19627066.4,01-MAR-2024,5412,INF109KC11V0,
NV20IETF,EQ,14.25,14.25,13.8,13.89,13.83,13.83,300115,4162676.6,04-MAR-2024,2696,INF109KC11V0,
NV20IETF,EQ,14.3,14.3,13.72,13.78,13.81,13.89,479267,6609167.55,05-MAR-2024,2014,INF109KC11V0,
NV20IETF,EQ,14.2,14.2,13.63,13.82,13.85,13.78,785602,10770509.85,06-MAR-2024,2135,INF109KC11V0,
NV20IETF,EQ,14.25,14.25,13.4,13.89,13.88,13.82,367420,5098805.91,07-MAR-2024,1533,INF109KC11V0,
NV20IETF,EQ,13.45,14.3,13.45,13.8,13.88,13.89,712294,9866016.94,11-MAR-2024,2727,INF109KC11V0,
NV20IETF,EQ,14.2,14.2,13.66,13.76,13.82,13.8,637444,8781381.35,12-MAR-2024,1440,INF109KC11V0,
NV20IETF,EQ,13.98,13.98,13.49,13.56,13.6,13.76,848091,11608310.79,13-MAR-2024,2522,INF109KC11V0,
NV20IETF,EQ,13.9,13.9,13.41,13.71,13.64,13.56,976936,13316609.31,14-MAR-2024,1386,INF109KC11V0,
NV20IETF,EQ,13.3,14.1,13.3,13.64,13.68,13.71,235786,3206280,15-MAR-2024,1623,INF109KC11V0,
NV20IETF,EQ,14.05,14.05,13.3,13.57,13.6,13.64,353288,4813373.85,18-MAR-2024,2021,INF109KC11V0,
NV20IETF,EQ,14,14,13.2,13.37,13.44,13.57,1488089,19986298.47,19-MAR-2024,3276,INF109KC11V0,
NV20IETF,EQ,13.37,13.58,13.3,13.4,13.44,13.37,508549,6805438.7,20-MAR-2024,1540,INF109KC11V0,
NV20IETF,EQ,13.8,13.8,13.41,13.53,13.59,13.4,432814,5854455.89,21-MAR-2024,1591,INF109KC11V0,
NV20IETF,EQ,13.95,13.95,13.2,13.49,13.5,13.53,423997,5713411.71,22-MAR-2024,1862,INF109KC11V0,
NV20IETF,EQ,13.8,13.8,13.1,13.45,13.46,13.49,565558,7613015.28,26-MAR-2024,2360,INF109KC11V0,
NV20IETF,EQ,13.05,14.98,13.05,13.39,13.43,13.45,987647,13366136.24,27-MAR-2024,1948,INF109KC11V0,
NV20IETF,EQ,13.39,13.65,13.39,13.47,13.55,13.39,938711,12713915.92,28-MAR-2024,1970,INF109KC11V0,
