SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
ORIENTABRA,EQ,54.5,57.9,53.05,56.4,56.6,53.75,243668,13801288.7,01-JAN-2016,1821,INE569C01020,
ORIENTABRA,EQ,56.5,58.1,54.55,56.1,56.8,56.4,165997,9394621.6,04-JAN-2016,1183,INE569C01020,
ORIENTABRA,EQ,56.8,58.8,56.25,57.65,57.35,56.1,157199,9072433.15,05-JAN-2016,962,INE569C01020,
ORIENTABRA,EQ,58,58.4,52.5,54.05,54.7,57.65,197382,10903469.4,06-JAN-2016,2115,INE569C01020,
ORIENTABRA,EQ,52.3,53.55,49.9,50.25,50.7,54.05,152927,7854511.95,07-JAN-2016,1193,INE569C01020,
ORIENTABRA,EQ,52.3,54,51.05,53.25,53.5,50.25,70592,3721304.9,08-JAN-2016,599,INE569C01020,
ORIENTABRA,EQ,52.9,53.95,51,52.55,52.6,53.25,68757,3606940.3,11-JAN-2016,1505,INE569C01020,
ORIENTABRA,EQ,53.6,54,50.05,50.25,50.5,52.55,126317,6458570.95,12-JAN-2016,1434,INE569C01020,
ORIENTABRA,EQ,50.6,52.35,43,46.3,45.7,50.25,214512,9920653,13-JAN-2016,1815,INE569C01020,
ORIENTABRA,EQ,45,47,41.9,45.7,46.2,46.3,92306,4069504.9,14-JAN-2016,983,INE569C01020,
ORIENTABRA,EQ,46.6,47,42.5,43.1,43.1,45.7,58690,2607973.45,15-JAN-2016,538,INE569C01020,
ORIENTABRA,EQ,42,45,40.05,40.55,40.55,43.1,75182,3173134.6,18-JAN-2016,646,INE569C01020,
ORIENTABRA,EQ,40.2,44.5,40.2,43.1,43,40.55,54302,2314604.45,19-JAN-2016,374,INE569C01020,
ORIENTABRA,EQ,43,43,39.05,39.9,40.6,43.1,41354,1687849.55,20-JAN-2016,474,INE569C01020,
ORIENTABRA,EQ,41.5,42.9,41,41.7,42,39.9,51369,2148958.25,21-JAN-2016,426,INE569C01020,
ORIENTABRA,EQ,43.4,45.9,42.1,44.6,45,41.7,75039,3326164.5,22-JAN-2016,746,INE569C01020,
ORIENTABRA,EQ,46.4,49.5,46.2,48.6,48.7,44.6,98909,4793239.1,25-JAN-2016,745,INE569C01020,
ORIENTABRA,EQ,52,52,48.6,49.95,50.1,48.6,47173,2351668.5,27-JAN-2016,570,INE569C01020,
ORIENTABRA,EQ,50,50.75,48.8,49.3,49.9,49.95,27661,1373779.35,28-JAN-2016,332,INE569C01020,
