SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
PAISALO,EQ,369.95,386,327.65,332.2,334,352.2,61030,20777493.65,24-JAN-2018,1419,INE420C01042,
PAISALO,EQ,348.5,348.5,315,324.95,326.5,332.2,25980,8438057.2,25-JAN-2018,311,INE420C01042,
PAISALO,EQ,339.75,339.8,301.25,307,304.9,324.95,35388,11060297.3,29-JAN-2018,398,INE420C01042,
PAISALO,EQ,304.9,304.9,276.3,276.85,276.3,307,59531,16951302.75,30-JAN-2018,610,INE420C01042,
PAISALO,EQ,273.9,297.9,258,264.05,263.5,276.85,44951,12421390.85,31-JAN-2018,845,INE420C01042,
PAISALO,EQ,273,273.5,254,257.15,254,264.05,29696,7760218.65,01-FEB-2018,289,INE420C01042,
PAISALO,EQ,247.15,252.95,244.3,244.3,244.3,257.15,28247,6935635.75,02-FEB-2018,244,INE420C01042,
PAISALO,EQ,243.5,243.5,232.1,237.15,236.75,244.3,26226,6168612.55,05-FEB-2018,168,INE420C01042,
PAISALO,EQ,225.3,225.3,225.3,225.3,225.3,237.15,485,109270.5,06-FEB-2018,13,INE420C01042,
PAISALO,EQ,230,234.9,220.1,229.95,230,225.3,25480,5789262.2,07-FEB-2018,506,INE420C01042,
PAISALO,EQ,227.1,241.4,226.1,241.4,241.4,229.95,1586,376117.1,08-FEB-2018,69,INE420C01042,
PAISALO,EQ,241.4,253.45,238,253.45,253.45,241.4,2183,545649.15,09-FEB-2018,73,INE420C01042,
PAISALO,EQ,263.95,266.1,260.2,266.1,266.1,253.45,1891,502651.45,12-FEB-2018,42,INE420C01042,
PAISALO,EQ,275,279.4,275,279.4,279.4,266.1,1134,316637.2,14-FEB-2018,46,INE420C01042,
PAISALO,EQ,293,293,267,284.7,281.1,279.4,33801,9520589.05,15-FEB-2018,241,INE420C01042,
PAISALO,EQ,286.05,289,274.75,276.15,279.95,284.7,24228,6734855.6,16-FEB-2018,342,INE420C01042,
PAISALO,EQ,286.5,289.95,263.6,288.75,288.9,276.15,5278,1496938.75,19-FEB-2018,184,INE420C01042,
PAISALO,EQ,280.1,294.5,280.1,290.15,290,288.75,2851,824806.9,20-FEB-2018,113,INE420C01042,
PAISALO,EQ,294,298.6,290,290.5,290,290.15,2558,742614,21-FEB-2018,55,INE420C01042,
