SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
PIXTRANS,EQ,1018.55,1020.05,991.2,1008.15,991.2,1012.7,3508,3536321.85,28-APR-2022,328,INE751B01018,
PIXTRANS,EQ,1008,1121.2,917.4,1052.85,1050,1008.15,65581,71462776.2,29-APR-2022,3859,INE751B01018,
PIXTRANS,EQ,1075,1096.95,1025,1048,1050,1052.85,12966,13821040,02-MAY-2022,1990,INE751B01018,
PIXTRANS,EQ,1000,1084.2,994.1,1012.15,1016,1048,14732,15023325.6,04-MAY-2022,2256,INE751B01018,
PIXTRANS,EQ,1064.95,1064.95,925,938,952.85,1012.15,28732,27921742.5,05-MAY-2022,3897,INE751B01018,
PIXTRANS,EQ,920,1030,901,959.85,970,938,22458,20881013.9,06-MAY-2022,3200,INE751B01018,
PIXTRANS,EQ,970,970,888,907.2,913.7,959.85,16103,14733490.65,09-MAY-2022,2814,INE751B01018,
PIXTRANS,EQ,920.8,1049.8,882.05,895.7,884.65,907.2,25919,24032491.4,10-MAY-2022,3272,INE751B01018,
PIXTRANS,EQ,900,931.45,802.55,860.05,867.2,895.7,23925,20409560.55,11-MAY-2022,4292,INE751B01018,
PIXTRANS,EQ,850.05,876,797.8,828.25,840,860.05,23627,19499531.55,12-MAY-2022,3435,INE751B01018,
PIXTRANS,EQ,850,880,810.5,822.45,823,828.25,24073,20346803.95,13-MAY-2022,3162,INE751B01018,
PIXTRANS,EQ,785.5,819.8,713.7,797,804,822.45,62481,48971266.05,16-MAY-2022,5764,INE751B01018,
PIXTRANS,EQ,804,836,790,807.05,815.7,797,25837,21111607.15,17-MAY-2022,3336,INE751B01018,
PIXTRANS,EQ,819.1,838.65,790.1,810.65,814.75,807.05,19570,15917169.2,18-MAY-2022,2345,INE751B01018,
PIXTRANS,EQ,790,802.65,786,795.8,798,810.65,7438,5919284.4,19-MAY-2022,1148,INE751B01018,
PIXTRANS,EQ,800,875,800,825.6,822.45,795.8,10212,8349461.8,20-MAY-2022,1591,INE751B01018,
PIXTRANS,EQ,842.15,849.85,820.05,823,820.05,825.6,7866,6524971.45,23-MAY-2022,1582,INE751B01018,
PIXTRANS,EQ,824,842.55,785.15,796.65,802.4,823,5955,4857705.6,24-MAY-2022,1010,INE751B01018,
PIXTRANS,EQ,796.65,825,760,766.3,765.1,796.65,11589,8947243.5,25-MAY-2022,1824,INE751B01018,
PIXTRANS,EQ,770.05,790.05,742,774.95,790,766.3,7949,6047509.8,26-MAY-2022,1227,INE751B01018,
PIXTRANS,EQ,790.45,806.85,775.7,786.45,795,774.95,3288,2586593.65,27-MAY-2022,793,INE751B01018,
PIXTRANS,EQ,819,819,776.25,783.2,784,786.45,7781,6200573.45,30-MAY-2022,1326,INE751B01018,
PIXTRANS,EQ,775,799.75,739.6,772.5,780,783.2,9060,7053692.9,31-MAY-2022,1334,INE751B01018,
PIXTRANS,EQ,807,807,772.5,801.95,801,772.5,6786,5422186.25,01-JUN-2022,1092,INE751B01018,
PIXTRANS,EQ,789.1,846,786.95,842.75,845,801.95,16262,13387163.7,02-JUN-2022,2033,INE751B01018,
PIXTRANS,EQ,845,897,830.45,857.8,846,842.75,29365,25299521.15,03-JUN-2022,3270,INE751B01018,
PIXTRANS,EQ,874,874,814.45,861.95,866.4,857.8,14701,12408694.8,06-JUN-2022,2139,INE751B01018,
PIXTRANS,EQ,858.95,888,850.2,873.9,875,861.95,25210,22045251.25,07-JUN-2022,3113,INE751B01018,
PIXTRANS,EQ,875.05,893.05,850,858.75,850.05,873.9,11459,10071351.8,08-JUN-2022,1787,INE751B01018,
PIXTRANS,EQ,871.65,887.95,851.55,877,880,858.75,6766,5923987.7,09-JUN-2022,1186,INE751B01018,
PIXTRANS,EQ,863.85,896,856.85,880.2,889.75,877,12863,11351437.85,10-JUN-2022,1636,INE751B01018,
PIXTRANS,EQ,860.1,880.2,821.25,831.9,828.05,880.2,15980,13746372.95,13-JUN-2022,2279,INE751B01018,
PIXTRANS,EQ,822,860,822,838.45,840,831.9,4684,3941003.1,14-JUN-2022,801,INE751B01018,
PIXTRANS,EQ,841.1,851.1,821.5,830.45,834.95,838.45,5069,4219503,15-JUN-2022,1286,INE751B01018,
PIXTRANS,EQ,854.5,855.35,778.7,797.3,790,830.45,11614,9353986.9,16-JUN-2022,2174,INE751B01018,
