SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
PODDARMENT,EQ,215.8,215.8,201,204.9,201.2,206.1,4545,939834.3,22-NOV-2016,93,INE371C01013,
PODDARMENT,EQ,197,208.9,196.9,207.85,208.9,204.9,1866,377794.45,23-NOV-2016,55,INE371C01013,
PODDARMENT,EQ,200,212.75,200,210.1,210.1,207.85,483,100513.15,24-NOV-2016,9,INE371C01013,
PODDARMENT,EQ,219,221,215.15,216.75,221,210.1,667,146034.45,25-NOV-2016,21,INE371C01013,
PODDARMENT,EQ,208.2,236.3,205.1,219.55,219,216.75,3197,710828.75,28-NOV-2016,107,INE371C01013,
PODDARMENT,EQ,218.25,226.6,218.25,220.1,220.05,219.55,312,68701.3,29-NOV-2016,14,INE371C01013,
PODDARMENT,EQ,213.25,229,213.25,224.95,224.95,220.1,1326,294250.7,30-NOV-2016,26,INE371C01013,
PODDARMENT,EQ,216.55,223.8,216.5,216.55,216.5,224.95,135,29415.5,01-DEC-2016,8,INE371C01013,
PODDARMENT,EQ,218,218,210,218,218,216.55,331,71129.1,02-DEC-2016,11,INE371C01013,
PODDARMENT,EQ,207.75,226,207.75,218.45,223.9,218,1483,317027.3,05-DEC-2016,73,INE371C01013,
PODDARMENT,EQ,213.35,221,213.35,217.5,217.5,218.45,460,99306.5,06-DEC-2016,28,INE371C01013,
PODDARMENT,EQ,217.5,223.6,210,212.65,216,217.5,1058,226087.8,07-DEC-2016,19,INE371C01013,
PODDARMENT,EQ,223.15,223.3,215.95,218.95,218.95,212.65,586,128498.15,08-DEC-2016,25,INE371C01013,
PODDARMENT,EQ,219.5,228,219.5,223,220,218.95,1055,234730.95,09-DEC-2016,48,INE371C01013,
PODDARMENT,EQ,225.15,229.95,225,229.25,229.95,223,463,104925.45,12-DEC-2016,17,INE371C01013,
PODDARMENT,EQ,225,225,225,225,225,229.25,83,18675,13-DEC-2016,1,INE371C01013,
PODDARMENT,EQ,225.95,226,202.65,222.7,222.7,225,330,73797.25,14-DEC-2016,14,INE371C01013,
PODDARMENT,EQ,222,223,216.4,216.4,216.4,222.7,408,90274,15-DEC-2016,5,INE371C01013,
PODDARMENT,EQ,215.4,225,208,210.2,208,216.4,1201,255737.65,16-DEC-2016,47,INE371C01013,
PODDARMENT,EQ,218.6,226.65,208.6,209.7,208.6,210.2,418,88592.9,19-DEC-2016,27,INE371C01013,
PODDARMENT,EQ,218.9,218.95,209.15,209.35,209.15,209.7,125,26409.8,20-DEC-2016,6,INE371C01013,
PODDARMENT,EQ,208.6,219,208.5,208.6,208.7,209.35,526,111251.25,21-DEC-2016,16,INE371C01013,
PODDARMENT,EQ,216.9,219,201.45,203.05,201.5,208.6,1219,252889.95,22-DEC-2016,50,INE371C01013,
PODDARMENT,EQ,203.35,220,201.25,207.1,220,203.05,508,103253.25,23-DEC-2016,40,INE371C01013,
PODDARMENT,EQ,205,205,196,197.5,197.25,207.1,360,71404.5,26-DEC-2016,27,INE371C01013,
PODDARMENT,EQ,196.25,204.95,195,198.45,197.5,197.5,295,59467.75,27-DEC-2016,16,INE371C01013,
PODDARMENT,EQ,198.45,201.1,180,200,200,198.45,2166,430025,28-DEC-2016,31,INE371C01013,
PODDARMENT,EQ,201,202.5,201,202.5,202.5,200,52,10525.5,29-DEC-2016,3,INE371C01013,
PODDARMENT,EQ,216,216,207.95,207.95,207.95,202.5,120,25209.5,30-DEC-2016,3,INE371C01013,
PODDARMENT,EQ,202.15,206,170.5,202.65,202.1,207.95,2667,513314.6,02-JAN-2017,101,INE371C01013,
PODDARMENT,EQ,202.1,213,200.1,210,210,202.65,1914,397887.3,03-JAN-2017,65,INE371C01013,
PODDARMENT,EQ,209,211.45,207.55,211,211,210,664,139335.5,04-JAN-2017,30,INE371C01013,
PODDARMENT,EQ,213,216.9,213,216.5,216.5,211,600,128523.7,05-JAN-2017,19,INE371C01013,
PODDARMENT,EQ,210.85,217.8,210,211.05,210,216.5,753,158948.45,06-JAN-2017,10,INE371C01013,
PODDARMENT,EQ,219,222,218.1,219.3,218.2,211.05,5301,1167699.1,09-JAN-2017,103,INE371C01013,
PODDARMENT,EQ,227,227,221,224.2,224.75,219.3,1588,354836.45,10-JAN-2017,72,INE371C01013,
PODDARMENT,EQ,224,225,221,222.85,224,224.2,764,170601.45,11-JAN-2017,36,INE371C01013,
PODDARMENT,EQ,222,229,217.5,218.05,226,222.85,2509,554512.45,12-JAN-2017,77,INE371C01013,
PODDARMENT,EQ,216.4,223.9,216.4,223.9,223.9,218.05,318,71052.5,13-JAN-2017,29,INE371C01013,
PODDARMENT,EQ,223.9,226.35,211.75,219.25,224.8,223.9,2500,551072.65,16-JAN-2017,77,INE371C01013,
PODDARMENT,EQ,224.8,228,221,221.8,225,219.25,3855,864864.7,17-JAN-2017,116,INE371C01013,
PODDARMENT,EQ,221.5,225.45,219.25,222.45,224,221.8,1967,435132.65,18-JAN-2017,54,INE371C01013,
PODDARMENT,EQ,224.85,226,220,223.8,226,222.45,1029,229206.3,19-JAN-2017,24,INE371C01013,
PODDARMENT,EQ,221,224.15,219.5,223.85,224,223.8,2541,563398.2,20-JAN-2017,43,INE371C01013,
PODDARMENT,EQ,229.95,232,227,229.95,229.9,223.85,1957,446027.05,23-JAN-2017,24,INE371C01013,
PODDARMENT,EQ,231,231,218.7,228.3,229.7,229.95,2638,599893.85,24-JAN-2017,53,INE371C01013,
PODDARMENT,EQ,229,230.5,226,227.95,227.95,228.3,771,176337.65,25-JAN-2017,28,INE371C01013,
PODDARMENT,EQ,245.05,272,245.05,265.5,266,227.95,116154,30772661.9,27-JAN-2017,3367,INE371C01013,
PODDARMENT,EQ,264.9,289.4,264,266.95,269.9,265.5,40329,10903168.4,30-JAN-2017,1636,INE371C01013,
PODDARMENT,EQ,273.7,273.7,256.3,263.2,268,266.95,9164,2401169.8,31-JAN-2017,330,INE371C01013,
PODDARMENT,EQ,256.2,266,256.2,264.5,265.7,263.2,7103,1856443.55,01-FEB-2017,182,INE371C01013,
PODDARMENT,EQ,266,272,261.35,266.95,265,264.5,5226,1386223.75,02-FEB-2017,184,INE371C01013,
PODDARMENT,EQ,266,271,264,267.4,265.6,266.95,9295,2494896.35,03-FEB-2017,212,INE371C01013,
