SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
PRITI,EQ,69.05,69.05,69.05,69.05,69.05,65.8,100,6905,02-MAR-2022,1,INE974Z01015,
PRITI,EQ,72.5,72.5,72.5,72.5,72.5,69.05,3200,232000,03-MAR-2022,9,INE974Z01015,
PRITI,EQ,76.1,76.1,75.1,76.1,76.1,72.5,22481,1709614.1,04-MAR-2022,99,INE974Z01015,
PRITI,EQ,78.9,78.9,72.3,73.3,72.85,76.1,20193,1496674.15,07-MAR-2022,242,INE974Z01015,
PRITI,EQ,76.95,76.95,70.8,72.35,74.9,73.3,25311,1900303.3,08-MAR-2022,205,INE974Z01015,
PRITI,EQ,75.9,75.9,70.25,75.4,75.5,72.35,5279,390882.2,09-MAR-2022,77,INE974Z01015,
PRITI,EQ,79.15,79.15,73.55,78.4,78.5,75.4,23106,1804920.6,10-MAR-2022,176,INE974Z01015,
PRITI,EQ,82.3,82.3,75.4,78.05,79,78.4,7481,579906.5,11-MAR-2022,84,INE974Z01015,
PRITI,EQ,81.9,81.9,75.3,78,78,78.05,15845,1238585.75,14-MAR-2022,85,INE974Z01015,
PRITI,EQ,81.8,81.8,77,77.8,78.5,78,9492,744052,15-MAR-2022,87,INE974Z01015,
PRITI,EQ,78,80.7,75.5,76.85,77.5,77.8,7026,543056.85,16-MAR-2022,99,INE974Z01015,
PRITI,EQ,76.85,79.8,75.3,77.15,77,76.85,11338,882852.55,17-MAR-2022,77,INE974Z01015,
PRITI,EQ,80,80,74.75,77.05,77.5,77.15,106008,8137120.1,21-MAR-2022,494,INE974Z01015,
PRITI,EQ,79.95,80,75.75,77.5,77,77.05,178124,13963648.65,22-MAR-2022,451,INE974Z01015,
PRITI,EQ,79,79,74.15,74.65,74.5,77.5,60878,4718812.2,23-MAR-2022,257,INE974Z01015,
PRITI,EQ,75.55,76.4,72.85,75.15,75.4,74.65,114999,8607188.5,24-MAR-2022,279,INE974Z01015,
PRITI,EQ,77.7,77.7,71.4,71.6,72.75,75.15,59426,4455638.15,25-MAR-2022,190,INE974Z01015,
PRITI,EQ,71.9,71.9,68.05,68.05,68.05,71.6,18883,1294152.9,28-MAR-2022,139,INE974Z01015,
PRITI,EQ,65.75,68,64.65,65.4,65.3,68.05,22747,1479871.25,29-MAR-2022,261,INE974Z01015,
PRITI,EQ,68.6,68.65,62.15,64.4,65.6,65.4,21171,1358700.15,30-MAR-2022,403,INE974Z01015,
PRITI,EQ,63,66.6,62.25,63.2,62.6,64.4,18421,1168153.3,31-MAR-2022,166,INE974Z01015,
PRITI,EQ,66.3,66.3,63.05,66.3,66.3,63.2,3800,245193.3,01-APR-2022,99,INE974Z01015,
PRITI,EQ,69.6,69.6,64.3,69.6,69.6,66.3,10039,687849.8,04-APR-2022,98,INE974Z01015,
PRITI,EQ,69.6,72.25,66.3,71.5,71.95,69.6,6557,459820.9,05-APR-2022,93,INE974Z01015,
PRITI,EQ,72.9,72.9,68.5,68.95,70,71.5,7827,545730.35,06-APR-2022,96,INE974Z01015,
PRITI,EQ,70,71.9,65.05,70,70,68.95,2519,177268.55,07-APR-2022,43,INE974Z01015,
PRITI,EQ,75,75,66.5,67.55,67.6,70,7988,551794.7,08-APR-2022,85,INE974Z01015,
PRITI,EQ,67,72.1,64,66.2,65.65,67.55,17789,1223585.25,11-APR-2022,172,INE974Z01015,
PRITI,EQ,65.95,69.55,65.95,67.35,67.55,66.2,4369,294312,12-APR-2022,71,INE974Z01015,
PRITI,EQ,67,69,66.6,67.95,68,67.35,16698,1144155.8,13-APR-2022,35,INE974Z01015,
PRITI,EQ,62.95,70.55,62.95,67.25,68,67.95,1780,119718.85,18-APR-2022,37,INE974Z01015,
PRITI,EQ,73,73.95,67.95,72.55,72.1,67.25,132144,9387058.1,19-APR-2022,322,INE974Z01015,
PRITI,EQ,76.95,78.5,73.55,77,77.1,72.55,95051,7304705,20-APR-2022,285,INE974Z01015,
PRITI,EQ,78.9,79,76.2,78.8,78.9,77,55625,4368476.25,21-APR-2022,372,INE974Z01015,
PRITI,EQ,80.8,80.8,76.35,78.2,78,78.8,18894,1480268.75,22-APR-2022,214,INE974Z01015,
PRITI,EQ,77,79,72.45,73.9,74.25,78.2,18193,1376906.3,25-APR-2022,272,INE974Z01015,
PRITI,EQ,76.7,76.85,68,71.35,74.3,73.9,12989,951301.1,26-APR-2022,143,INE974Z01015,
PRITI,EQ,67.5,73.65,67.5,72.55,72.95,71.35,8203,582117.45,27-APR-2022,131,INE974Z01015,
PRITI,EQ,76.7,76.7,69.65,74.45,74.5,72.55,9359,692106.95,28-APR-2022,204,INE974Z01015,
PRITI,EQ,74.4,76.85,73.9,74.5,76.05,74.45,16271,1216108.8,29-APR-2022,158,INE974Z01015,
PRITI,EQ,75.05,75.05,72.8,74.05,74.5,74.5,3886,286503.7,02-MAY-2022,61,INE974Z01015,
PRITI,EQ,74.05,74.3,68.05,72.8,72.8,74.05,38078,2740612.35,04-MAY-2022,259,INE974Z01015,
PRITI,EQ,72.75,72.75,69.45,70.25,69.8,72.8,2844,201623.8,05-MAY-2022,83,INE974Z01015,
PRITI,EQ,68.6,72.1,66.25,72.1,72,70.25,2652,182026.9,06-MAY-2022,51,INE974Z01015,
PRITI,EQ,74,74,65.25,66.95,67.4,72.1,9988,674683.1,09-MAY-2022,155,INE974Z01015,
PRITI,EQ,71.95,71.95,64.3,66.55,66.05,66.95,6441,440468.95,10-MAY-2022,150,INE974Z01015,
PRITI,EQ,65.35,68.9,64.4,65.95,68,66.55,5963,392995.5,11-MAY-2022,97,INE974Z01015,
PRITI,EQ,65,67.5,61.85,62.65,63,65.95,5253,344043.35,12-MAY-2022,75,INE974Z01015,
