SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
RAJMET,EQ,37.25,37.25,37.25,37.25,37.25,31.05,115,4283.75,16-FEB-2021,3,INE00KV01014,
RAJMET,EQ,44.7,44.7,44.7,44.7,44.7,37.25,1800,80460,17-FEB-2021,12,INE00KV01014,
RAJMET,EQ,53.6,53.6,53.6,53.6,53.6,44.7,35,1876,18-FEB-2021,2,INE00KV01014,
RAJMET,EQ,58.95,58.95,58.95,58.95,58.95,53.6,25,1473.75,19-FEB-2021,1,INE00KV01014,
RAJMET,EQ,64.8,64.8,64.8,64.8,64.8,58.95,105,6804,22-FEB-2021,2,INE00KV01014,
RAJMET,EQ,71.25,71.25,71.25,71.25,71.25,64.8,365,26006.25,23-FEB-2021,10,INE00KV01014,
RAJMET,EQ,74.8,74.8,74.8,74.8,74.8,71.25,1,74.8,24-FEB-2021,1,INE00KV01014,
RAJMET,EQ,78.5,78.5,78.5,78.5,78.5,74.8,200,15700,25-FEB-2021,1,INE00KV01014,
RAJMET,EQ,82.4,82.4,82.4,82.4,82.4,78.5,200,16480,26-FEB-2021,5,INE00KV01014,
RAJMET,EQ,86.5,86.5,86.5,86.5,86.5,82.4,500,43250,02-MAR-2021,5,INE00KV01014,
RAJMET,EQ,90.8,90.8,90.8,90.8,90.8,86.5,604,54843.2,03-MAR-2021,14,INE00KV01014,
RAJMET,EQ,95.3,95.3,90.5,95.25,95.3,90.8,21694,2058686.6,04-MAR-2021,312,INE00KV01014,
RAJMET,EQ,99.7,100,92.1,96.8,97.95,95.25,22356,2202483.85,05-MAR-2021,371,INE00KV01014,
RAJMET,EQ,101.5,101.5,93,95.85,96.95,96.8,6011,588050.5,08-MAR-2021,192,INE00KV01014,
RAJMET,EQ,91.1,96.9,91.1,91.1,91.1,95.85,4172,381472.75,09-MAR-2021,80,INE00KV01014,
RAJMET,EQ,86.55,94,86.55,89.65,89.55,91.1,13944,1228019.3,10-MAR-2021,231,INE00KV01014,
RAJMET,BE,94.1,94.1,85.2,87.95,93.8,89.65,2291,200494.1,12-MAR-2021,48,INE00KV01014,
RAJMET,BE,85.1,91.75,85.1,90.95,90.95,87.95,1839,160949.45,15-MAR-2021,18,INE00KV01014,
RAJMET,BE,93.55,93.8,90.95,90.95,90.95,90.95,1656,153573.2,16-MAR-2021,33,INE00KV01014,
RAJMET,BE,90.95,90.95,88.5,89.1,89.1,90.95,405,35911.1,17-MAR-2021,12,INE00KV01014,
RAJMET,BE,88,92.6,86.7,90.1,90.1,89.1,2000,181356.05,18-MAR-2021,21,INE00KV01014,
RAJMET,BE,88.15,92.8,88.15,89.5,89.5,90.1,2490,225531.4,19-MAR-2021,15,INE00KV01014,
RAJMET,BE,89.5,89.5,88.15,89.2,89.5,89.5,916,81162.7,22-MAR-2021,16,INE00KV01014,
RAJMET,BE,88.2,88.2,87.1,87.3,87.2,89.2,1762,154434.8,23-MAR-2021,13,INE00KV01014,
RAJMET,BE,88,88,86.9,86.9,86.9,87.3,930,81326,24-MAR-2021,11,INE00KV01014,
RAJMET,BE,86.05,86.9,86.05,86.05,86.1,86.9,633,54494.85,25-MAR-2021,11,INE00KV01014,
RAJMET,BE,86,86,85.9,86,86,86.05,243,20897.5,26-MAR-2021,9,INE00KV01014,
RAJMET,BE,86.1,88.9,86.1,88,88,86,615,53612.5,30-MAR-2021,20,INE00KV01014,
RAJMET,BE,88,88.5,87.9,88.5,88.5,88,603,53140.7,31-MAR-2021,12,INE00KV01014,
RAJMET,BE,86.8,87.15,86.8,87,87,88.5,1591,138586.1,01-APR-2021,19,INE00KV01014,
RAJMET,BE,87,89.8,87,89.7,89.7,87,231,20430.9,05-APR-2021,8,INE00KV01014,
RAJMET,BE,89,90.7,89,89.15,89.15,89.7,849,75917.4,06-APR-2021,13,INE00KV01014,
RAJMET,BE,90.95,90.95,89.1,89.1,89.1,89.15,155,13856.75,07-APR-2021,2,INE00KV01014,
RAJMET,BE,89,89,87,88.95,88.95,89.1,750,66514.5,08-APR-2021,8,INE00KV01014,
RAJMET,BE,92.5,92.5,87.9,88,88,88.95,513,45256,09-APR-2021,11,INE00KV01014,
RAJMET,BE,86,86,86,86,86,88,44,3784,12-APR-2021,3,INE00KV01014,
RAJMET,BE,86,86,85,85,85,86,170,14525,13-APR-2021,4,INE00KV01014,
RAJMET,BE,85.5,88.5,85,85.7,88.5,85,252,21633.5,15-APR-2021,7,INE00KV01014,
RAJMET,BE,85.6,85.65,82,82,82,85.7,650,55035,16-APR-2021,8,INE00KV01014,
RAJMET,BE,83,85.9,83,85.75,85.6,82,503,43002.8,19-APR-2021,13,INE00KV01014,
RAJMET,BE,88.8,88.8,85.5,85.5,85.5,85.75,76,6589.3,20-APR-2021,6,INE00KV01014,
RAJMET,BE,86,87,86,87,87,85.5,55,4780,22-APR-2021,2,INE00KV01014,
RAJMET,BE,87,88,86.5,88,88,87,375,32623,23-APR-2021,6,INE00KV01014,
RAJMET,BE,88,88.9,87.5,88.8,88.9,88,3115,275440.4,26-APR-2021,23,INE00KV01014,
RAJMET,EQ,89,90,88.5,89.25,89,88.8,3599,321686.25,27-APR-2021,35,INE00KV01014,
RAJMET,EQ,89,91,89,90.2,89,89.25,4101,369627.85,28-APR-2021,43,INE00KV01014,
RAJMET,EQ,89,91.9,89,90.8,90.5,90.2,3744,340765.25,29-APR-2021,50,INE00KV01014,
