SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
RELBANK,EQ,1838.05,1840,1823,1840,1840,1829.46,16,29296.8,01-JAN-2016,8,INF733I01028,
RELBANK,EQ,1805.49,1809.3,1805.49,1805.7,1805.7,1840,48,86683.62,04-JAN-2016,3,INF733I01028,
RELBANK,EQ,1794.51,1794.51,1787,1787,1787,1805.7,41,73307.51,05-JAN-2016,3,INF733I01028,
RELBANK,EQ,1795.75,1795.75,1785,1787.07,1788.8,1787,31,55572.8,06-JAN-2016,3,INF733I01028,
RELBANK,EQ,1788,1788,1750,1750.1,1750.1,1787.07,11,19331.6,07-JAN-2016,9,INF733I01028,
RELBANK,EQ,1800,1800,1755.8,1757.8,1757.8,1750.1,122,216708.8,08-JAN-2016,4,INF733I01028,
RELBANK,EQ,1741.25,1741.25,1735,1740.45,1740.45,1757.8,16,27811.45,11-JAN-2016,5,INF733I01028,
RELBANK,EQ,1739.5,1739.5,1709.45,1709.45,1709.45,1740.45,9,15511.25,12-JAN-2016,6,INF733I01028,
RELBANK,EQ,1720.53,1722,1696,1722,1722,1709.45,23,39216.8,13-JAN-2016,12,INF733I01028,
RELBANK,EQ,1699,1709,1687.6,1693,1693,1722,65,110212.4,14-JAN-2016,8,INF733I01028,
RELBANK,EQ,1680.31,1689.7,1660,1660,1660,1693,11,18417.29,15-JAN-2016,10,INF733I01028,
RELBANK,EQ,1637,1645,1636.95,1636.95,1636.95,1660,35,57335.9,18-JAN-2016,6,INF733I01028,
RELBANK,EQ,1636.95,1661.45,1636.02,1652.3,1652.3,1636.95,323,533799.48,19-JAN-2016,15,INF733I01028,
RELBANK,EQ,1626,1626,1604.4,1604.4,1604.4,1652.3,23,37102,20-JAN-2016,5,INF733I01028,
RELBANK,EQ,1636,1636,1636,1636,1636,1604.4,6,9816,21-JAN-2016,1,INF733I01028,
RELBANK,EQ,1684.75,1684.75,1669.77,1670,1670,1636,3,5024.52,22-JAN-2016,3,INF733I01028,
