SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
RELCHEMQ,EQ,258.5,260.1,201.35,227,230,249.35,20216,4916771.15,25-MAY-2022,1409,INE750D01016,
RELCHEMQ,EQ,234.9,244.7,203,222.65,230,227,7917,1821553.15,26-MAY-2022,365,INE750D01016,
RELCHEMQ,EQ,231.95,245.5,224.2,237.15,234.9,222.65,9264,2188369.25,27-MAY-2022,448,INE750D01016,
RELCHEMQ,EQ,239,239.85,225.05,233.6,233.05,237.15,2902,675984.45,30-MAY-2022,316,INE750D01016,
RELCHEMQ,EQ,233.5,233.5,225.35,230.6,230,233.6,2216,506889.4,31-MAY-2022,197,INE750D01016,
RELCHEMQ,EQ,234,234,224,228.8,226.1,230.6,1546,356373.9,01-JUN-2022,213,INE750D01016,
RELCHEMQ,EQ,230,232.9,224,227.85,230.5,228.8,3233,743915.35,02-JUN-2022,257,INE750D01016,
RELCHEMQ,EQ,234.95,234.95,225.6,227.3,227,227.85,2537,578526.25,03-JUN-2022,179,INE750D01016,
RELCHEMQ,EQ,226,228.4,221.9,222.75,224.45,227.3,870,195434.65,06-JUN-2022,108,INE750D01016,
RELCHEMQ,EQ,228.8,230.95,219.05,220.8,220.25,222.75,2558,571587.35,07-JUN-2022,174,INE750D01016,
RELCHEMQ,EQ,225.8,226.1,218,219.3,222,220.8,1396,308371.8,08-JUN-2022,147,INE750D01016,
RELCHEMQ,EQ,220.7,223.85,207.5,212.3,217.9,219.3,5279,1136101.55,09-JUN-2022,387,INE750D01016,
RELCHEMQ,EQ,212.35,221.8,207.4,217.8,218,212.3,5515,1187280.6,10-JUN-2022,246,INE750D01016,
RELCHEMQ,EQ,217.8,217.8,199.15,202.2,202.55,217.8,6015,1244769.6,13-JUN-2022,468,INE750D01016,
RELCHEMQ,EQ,202.25,208,190.65,195.8,197.6,202.2,6977,1385893.85,14-JUN-2022,591,INE750D01016,
RELCHEMQ,EQ,201,211.6,171.5,209.1,208,195.8,12347,2478274.35,15-JUN-2022,794,INE750D01016,
RELCHEMQ,EQ,212.75,215.25,190,192.55,194.9,209.1,10439,2086484.25,16-JUN-2022,558,INE750D01016,
RELCHEMQ,EQ,193.95,205,182.55,195.2,197.55,192.55,5447,1053621.7,17-JUN-2022,290,INE750D01016,
