SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
REPRO,EQ,485,486.7,476.2,478.75,478.8,476.5,2800,1343417.5,01-JAN-2016,412,INE461B01014,
REPRO,EQ,490,490,461.35,471.2,475.5,478.75,3826,1806273.85,04-JAN-2016,362,INE461B01014,
REPRO,EQ,479.9,482,465,477.45,476,471.2,2712,1294315.3,05-JAN-2016,368,INE461B01014,
REPRO,EQ,482.9,482.9,465.3,471.5,477,477.45,3987,1887377.05,06-JAN-2016,269,INE461B01014,
REPRO,EQ,468,474.85,432.4,444.8,440,471.5,15856,7137463.6,07-JAN-2016,909,INE461B01014,
REPRO,EQ,449.7,463,442,455.3,456,444.8,5621,2542175.6,08-JAN-2016,804,INE461B01014,
REPRO,EQ,454.4,460,440.4,454.45,456.85,455.3,5209,2353897.75,11-JAN-2016,441,INE461B01014,
REPRO,EQ,451,455.95,440.4,446.95,449.9,454.45,4997,2241043.3,12-JAN-2016,1296,INE461B01014,
REPRO,EQ,452.15,457.8,410,425.6,431.95,446.95,4378,1865448.15,13-JAN-2016,524,INE461B01014,
REPRO,EQ,423,450,423,442.5,436.9,425.6,3254,1429988.1,14-JAN-2016,782,INE461B01014,
REPRO,EQ,436,446.5,422.15,424.3,422.6,442.5,2634,1130918.7,15-JAN-2016,223,INE461B01014,
REPRO,EQ,420,420,400.1,401.75,400.25,424.3,4506,1852279.05,18-JAN-2016,306,INE461B01014,
REPRO,EQ,410,424.4,404,409.95,404,401.75,5582,2301793.7,19-JAN-2016,515,INE461B01014,
REPRO,EQ,403,419.95,364.9,399.85,401,409.95,9971,3872361.55,20-JAN-2016,644,INE461B01014,
REPRO,EQ,396,417,396,406.6,398.1,399.85,1258,508169.1,21-JAN-2016,287,INE461B01014,
REPRO,EQ,400,428.9,394.4,420,417,406.6,2922,1234126.95,22-JAN-2016,298,INE461B01014,
REPRO,EQ,417,429,412.05,415.8,418,420,2106,886814.55,25-JAN-2016,199,INE461B01014,
REPRO,EQ,412,426.5,405.1,408.4,407,415.8,1729,721160.85,27-JAN-2016,85,INE461B01014,
REPRO,EQ,414.85,418,409.15,412.2,410.5,408.4,1450,598188.2,28-JAN-2016,322,INE461B01014,
REPRO,EQ,409.5,416.7,400,404.05,401.3,412.2,5076,2059900,29-JAN-2016,281,INE461B01014,
REPRO,EQ,402,409,397.9,401.75,401,404.05,1974,793123.6,01-FEB-2016,170,INE461B01014,
REPRO,EQ,408.4,408.4,382.4,399.5,399.8,401.75,9152,3618689.85,02-FEB-2016,710,INE461B01014,
REPRO,EQ,398,400.75,382.05,393.35,394.9,399.5,4978,1932125.75,03-FEB-2016,328,INE461B01014,
REPRO,EQ,404,419.7,400,407.4,412,393.35,7917,3272734.75,04-FEB-2016,418,INE461B01014,
REPRO,EQ,414,419,408,416.75,416.05,407.4,2079,865159.95,05-FEB-2016,603,INE461B01014,
REPRO,EQ,418,419,404.25,413.25,409.3,416.75,2837,1169918.65,08-FEB-2016,130,INE461B01014,
REPRO,EQ,418.5,418.5,390.1,395.7,398.45,413.25,2889,1150681.2,09-FEB-2016,273,INE461B01014,
REPRO,EQ,391.95,392.05,379,381.3,383,395.7,4949,1903457.5,10-FEB-2016,241,INE461B01014,
REPRO,EQ,385,387.85,326.6,339.8,337,381.3,7781,2836831,11-FEB-2016,345,INE461B01014,
REPRO,EQ,337,407.75,320.1,402.6,407.75,339.8,85057,31712605.3,12-FEB-2016,3393,INE461B01014,
REPRO,EQ,409,421.2,385.3,401.15,400,402.6,18572,7505399.55,15-FEB-2016,1532,INE461B01014,
REPRO,EQ,395,408.55,395,402.6,404.8,401.15,11558,4628191.95,16-FEB-2016,502,INE461B01014,
REPRO,EQ,395.05,423.9,390,418.4,420,402.6,14450,5896864.25,17-FEB-2016,1487,INE461B01014,
REPRO,EQ,418.4,424.2,405,406.8,406.4,418.4,1458,602277.4,18-FEB-2016,176,INE461B01014,
REPRO,EQ,402,405,392,398.5,400,406.8,4708,1874335.6,19-FEB-2016,348,INE461B01014,
REPRO,EQ,398.55,414.45,398.55,406.3,405,398.5,3102,1263462.75,22-FEB-2016,168,INE461B01014,
REPRO,EQ,401.95,405,395.05,401.3,400.35,406.3,2529,1012023.45,23-FEB-2016,298,INE461B01014,
REPRO,EQ,396,403.35,371.4,396.3,400,401.3,5501,2122525.3,24-FEB-2016,688,INE461B01014,
REPRO,EQ,407.95,407.95,385,393.3,395,396.3,1760,692597.2,25-FEB-2016,335,INE461B01014,
REPRO,EQ,390,398.2,386,388.95,388.4,393.3,1947,758227.6,26-FEB-2016,175,INE461B01014,
REPRO,EQ,385,393.55,371,373.3,372,388.95,9385,3518186,29-FEB-2016,629,INE461B01014,
REPRO,EQ,370.1,385.9,370.1,375.05,375,373.3,5538,2091277.4,01-MAR-2016,319,INE461B01014,
