SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
RMMIL,EQ,1.7,1.7,1.6,1.6,1.6,1.65,111935,179596.05,01-JAN-2016,98,INE774I01031,
RMMIL,EQ,1.55,1.65,1.55,1.55,1.55,1.6,245731,385890.65,04-JAN-2016,189,INE774I01031,
RMMIL,EQ,1.5,1.6,1.5,1.5,1.5,1.55,96830,148135.55,05-JAN-2016,69,INE774I01031,
RMMIL,EQ,1.45,1.55,1.45,1.55,1.55,1.5,150799,228318.9,06-JAN-2016,194,INE774I01031,
RMMIL,EQ,1.55,1.55,1.5,1.5,1.5,1.55,60148,90609.75,07-JAN-2016,70,INE774I01031,
RMMIL,EQ,1.5,1.5,1.45,1.45,1.45,1.5,48957,70999.15,08-JAN-2016,60,INE774I01031,
RMMIL,EQ,1.4,1.45,1.4,1.4,1.4,1.45,70192,98536.3,11-JAN-2016,41,INE774I01031,
RMMIL,EQ,1.35,1.4,1.35,1.35,1.35,1.4,33308,45090.8,12-JAN-2016,59,INE774I01031,
RMMIL,EQ,1.3,1.35,1.3,1.3,1.3,1.35,10594,13772.25,13-JAN-2016,25,INE774I01031,
RMMIL,EQ,1.25,1.25,1.25,1.25,1.25,1.3,12866,16082.5,14-JAN-2016,18,INE774I01031,
RMMIL,EQ,1.25,1.25,1.2,1.2,1.2,1.25,6115,7338.1,15-JAN-2016,19,INE774I01031,
RMMIL,EQ,1.15,1.15,1.15,1.15,1.15,1.2,6950,7992.5,18-JAN-2016,10,INE774I01031,
RMMIL,EQ,1.2,1.2,1.1,1.1,1.1,1.15,11908,13300.95,19-JAN-2016,21,INE774I01031,
RMMIL,EQ,1.15,1.15,1.05,1.05,1.05,1.1,17701,19079.4,20-JAN-2016,20,INE774I01031,
RMMIL,EQ,1.1,1.1,1,1.05,1.05,1.05,84237,85709.85,21-JAN-2016,95,INE774I01031,
RMMIL,EQ,1,1.1,1,1.05,1.1,1.05,66610,70178.35,22-JAN-2016,78,INE774I01031,
RMMIL,EQ,1,1.1,1,1.1,1.1,1.05,32115,35041.8,25-JAN-2016,52,INE774I01031,
RMMIL,EQ,1.15,1.15,1.05,1.05,1.1,1.1,91654,99702.1,27-JAN-2016,67,INE774I01031,
RMMIL,EQ,1,1.1,1,1.05,1.05,1.05,40734,42945.4,28-JAN-2016,44,INE774I01031,
RMMIL,EQ,1,1.1,1,1.1,1.1,1.05,42996,47075.25,29-JAN-2016,39,INE774I01031,
RMMIL,EQ,1.15,1.15,1.1,1.1,1.15,1.1,56052,63288.8,01-FEB-2016,35,INE774I01031,
RMMIL,EQ,1.05,1.15,1.05,1.05,1.1,1.1,82456,87669.4,02-FEB-2016,55,INE774I01031,
RMMIL,EQ,1,1.05,1,1,1,1.05,96691,96726,03-FEB-2016,71,INE774I01031,
RMMIL,EQ,1,1,0.95,0.95,1,1,94372,90424.15,04-FEB-2016,77,INE774I01031,
RMMIL,EQ,0.9,1,0.9,1,0.95,0.95,31164,29438.85,05-FEB-2016,39,INE774I01031,
RMMIL,EQ,1,1,0.95,1,1,1,23882,23435.15,08-FEB-2016,25,INE774I01031,
RMMIL,EQ,0.95,1,0.95,0.95,1,1,52162,50182.3,09-FEB-2016,52,INE774I01031,
RMMIL,EQ,1,1,0.9,0.95,1,0.95,30699,29068.2,10-FEB-2016,35,INE774I01031,
RMMIL,EQ,1,1,0.9,0.9,0.95,0.95,82305,75305,11-FEB-2016,53,INE774I01031,
RMMIL,EQ,0.85,0.95,0.85,0.85,0.85,0.9,49675,43114.75,12-FEB-2016,62,INE774I01031,
RMMIL,EQ,0.8,0.9,0.8,0.9,0.85,0.85,39204,34194.4,15-FEB-2016,32,INE774I01031,
RMMIL,EQ,0.9,0.95,0.85,0.85,0.85,0.9,71516,63436.2,16-FEB-2016,41,INE774I01031,
RMMIL,EQ,0.85,0.9,0.85,0.9,0.9,0.85,58190,51992.4,17-FEB-2016,31,INE774I01031,
RMMIL,EQ,0.95,0.95,0.85,0.85,0.9,0.9,23021,20559.9,18-FEB-2016,32,INE774I01031,
RMMIL,EQ,0.9,0.9,0.8,0.8,0.8,0.85,241247,207179.2,19-FEB-2016,35,INE774I01031,
RMMIL,EQ,0.8,0.85,0.8,0.85,0.85,0.8,134554,112148,22-FEB-2016,48,INE774I01031,
RMMIL,EQ,0.85,0.9,0.8,0.85,0.9,0.85,30452,26155.65,23-FEB-2016,24,INE774I01031,
RMMIL,EQ,0.8,0.9,0.8,0.85,0.85,0.85,185507,150558.15,24-FEB-2016,55,INE774I01031,
RMMIL,EQ,0.85,0.85,0.8,0.8,0.8,0.85,72782,59044.75,25-FEB-2016,43,INE774I01031,
RMMIL,EQ,0.8,0.85,0.8,0.85,0.8,0.8,61532,50499.1,26-FEB-2016,33,INE774I01031,
RMMIL,EQ,0.85,0.85,0.8,0.8,0.8,0.85,10230,8347.5,29-FEB-2016,11,INE774I01031,
RMMIL,EQ,0.85,0.85,0.8,0.85,0.85,0.8,53471,43380.8,01-MAR-2016,32,INE774I01031,
RMMIL,EQ,0.8,0.9,0.8,0.9,0.9,0.85,46790,40752,02-MAR-2016,31,INE774I01031,
RMMIL,EQ,0.95,0.95,0.85,0.85,0.85,0.9,23173,20507.15,03-MAR-2016,23,INE774I01031,
RMMIL,EQ,0.9,0.9,0.8,0.9,0.9,0.85,35552,31537.3,04-MAR-2016,37,INE774I01031,
RMMIL,EQ,0.95,0.95,0.85,0.9,0.95,0.9,38958,34783.95,08-MAR-2016,59,INE774I01031,
RMMIL,EQ,0.95,0.95,0.9,0.95,0.95,0.9,48191,45485,09-MAR-2016,22,INE774I01031,
RMMIL,EQ,1,1,0.9,0.95,0.95,0.95,71466,67801.15,10-MAR-2016,81,INE774I01031,
RMMIL,EQ,0.95,1,0.9,0.9,0.95,0.95,57843,54413.35,11-MAR-2016,51,INE774I01031,
RMMIL,EQ,0.9,0.95,0.85,0.85,0.85,0.9,142181,121862.65,14-MAR-2016,69,INE774I01031,
RMMIL,EQ,0.85,0.9,0.8,0.85,0.9,0.85,64426,56311.65,15-MAR-2016,51,INE774I01031,
RMMIL,EQ,0.8,0.9,0.8,0.8,0.8,0.85,33677,27884.25,16-MAR-2016,36,INE774I01031,
RMMIL,EQ,0.8,0.85,0.8,0.8,0.85,0.8,17438,14582.35,17-MAR-2016,36,INE774I01031,
RMMIL,EQ,0.8,0.85,0.8,0.8,0.85,0.8,48517,39897.25,18-MAR-2016,35,INE774I01031,
RMMIL,EQ,0.8,0.85,0.75,0.8,0.85,0.8,129758,104152,21-MAR-2016,58,INE774I01031,
RMMIL,EQ,0.8,0.85,0.75,0.85,0.85,0.8,51481,41505.2,22-MAR-2016,46,INE774I01031,
RMMIL,EQ,0.85,0.85,0.8,0.85,0.85,0.85,67164,54546.35,23-MAR-2016,39,INE774I01031,
RMMIL,EQ,0.85,0.85,0.8,0.8,0.8,0.85,18397,14871.35,28-MAR-2016,31,INE774I01031,
RMMIL,EQ,0.75,0.8,0.75,0.75,0.75,0.8,78136,58791.25,29-MAR-2016,75,INE774I01031,
RMMIL,EQ,0.75,0.8,0.7,0.75,0.75,0.75,94717,72391.6,30-MAR-2016,52,INE774I01031,
RMMIL,EQ,0.75,0.8,0.75,0.8,0.8,0.75,68217,53568.85,31-MAR-2016,37,INE774I01031,
RMMIL,EQ,0.8,0.85,0.75,0.8,0.85,0.8,45003,35282.3,01-APR-2016,36,INE774I01031,
RMMIL,EQ,0.75,0.85,0.75,0.8,0.85,0.8,21241,17139,04-APR-2016,34,INE774I01031,
RMMIL,EQ,0.85,0.9,0.8,0.85,0.9,0.8,26772,22995.8,05-APR-2016,33,INE774I01031,
RMMIL,EQ,0.85,0.9,0.8,0.85,0.85,0.85,33203,28608.5,06-APR-2016,24,INE774I01031,
RMMIL,EQ,0.9,0.9,0.85,0.85,0.85,0.85,31143,27043.05,07-APR-2016,39,INE774I01031,
RMMIL,EQ,0.85,0.9,0.8,0.85,0.85,0.85,82025,69153.25,08-APR-2016,32,INE774I01031,
RMMIL,EQ,0.85,0.9,0.8,0.85,0.85,0.85,25759,21502.2,11-APR-2016,29,INE774I01031,
RMMIL,EQ,0.8,0.9,0.8,0.85,0.85,0.85,23793,19980.3,12-APR-2016,34,INE774I01031,
RMMIL,EQ,0.8,0.9,0.8,0.85,0.85,0.85,33827,28294.1,13-APR-2016,40,INE774I01031,
RMMIL,EQ,0.8,0.85,0.8,0.8,0.8,0.85,61180,49407.55,18-APR-2016,38,INE774I01031,
RMMIL,EQ,0.8,0.8,0.75,0.8,0.8,0.8,49012,38260.35,20-APR-2016,24,INE774I01031,
RMMIL,EQ,0.8,0.85,0.75,0.8,0.8,0.8,68581,54392.75,21-APR-2016,43,INE774I01031,
RMMIL,EQ,0.8,0.9,0.8,0.85,0.9,0.8,76756,65434.65,22-APR-2016,25,INE774I01031,
RMMIL,EQ,0.85,0.9,0.8,0.85,0.85,0.85,45999,37767.05,25-APR-2016,28,INE774I01031,
RMMIL,EQ,0.8,0.95,0.8,0.9,0.95,0.85,63459,56160.5,26-APR-2016,44,INE774I01031,
RMMIL,EQ,0.95,0.95,0.85,0.9,0.9,0.9,59730,55366,27-APR-2016,53,INE774I01031,
RMMIL,EQ,0.85,0.95,0.85,0.85,0.85,0.9,38397,34830.75,28-APR-2016,24,INE774I01031,
RMMIL,EQ,0.95,1,0.9,1,1,0.85,176240,171635.7,29-APR-2016,95,INE774I01031,
RMMIL,EQ,1,1.2,1,1.2,1.2,1,312803,360524,02-MAY-2016,166,INE774I01031,
RMMIL,EQ,1.3,1.3,1.1,1.15,1.2,1.2,159818,194151.25,03-MAY-2016,114,INE774I01031,
RMMIL,EQ,1.1,1.1,1.05,1.05,1.05,1.15,68764,73271.8,04-MAY-2016,66,INE774I01031,
RMMIL,EQ,1,1.1,0.95,0.95,0.95,1.05,135383,130453.35,05-MAY-2016,56,INE774I01031,
RMMIL,EQ,0.95,1,0.9,0.9,0.95,0.95,41833,38216.05,06-MAY-2016,80,INE774I01031,
RMMIL,EQ,0.95,0.95,0.85,0.9,0.9,0.9,68099,61933,09-MAY-2016,39,INE774I01031,
RMMIL,EQ,0.85,0.9,0.85,0.85,0.9,0.9,59301,51754.1,10-MAY-2016,32,INE774I01031,
RMMIL,EQ,0.85,0.9,0.85,0.9,0.85,0.85,56023,47980.1,11-MAY-2016,24,INE774I01031,
RMMIL,EQ,0.95,0.95,0.85,0.9,0.85,0.9,29799,26896.15,12-MAY-2016,34,INE774I01031,
RMMIL,EQ,0.9,0.95,0.85,0.85,0.85,0.9,91027,79799.05,13-MAY-2016,50,INE774I01031,
RMMIL,EQ,0.85,0.9,0.8,0.85,0.85,0.85,97840,83271.5,16-MAY-2016,44,INE774I01031,
RMMIL,EQ,0.85,0.9,0.85,0.85,0.9,0.85,176188,154931.7,17-MAY-2016,30,INE774I01031,
RMMIL,EQ,0.85,0.9,0.85,0.85,0.85,0.85,41812,35865.7,18-MAY-2016,26,INE774I01031,
RMMIL,EQ,0.85,0.9,0.85,0.85,0.85,0.85,20783,18167.95,19-MAY-2016,18,INE774I01031,
RMMIL,EQ,0.85,0.9,0.85,0.85,0.85,0.85,9358,8009.55,20-MAY-2016,15,INE774I01031,
RMMIL,BE,0.8,0.9,0.8,0.85,0.8,0.85,29340,25195.75,23-MAY-2016,20,INE774I01031,
RMMIL,BE,0.85,0.85,0.8,0.85,0.85,0.85,19358,16106.5,24-MAY-2016,20,INE774I01031,
RMMIL,BE,0.9,0.9,0.8,0.85,0.85,0.85,28975,25829.25,25-MAY-2016,10,INE774I01031,
RMMIL,BE,0.9,0.9,0.8,0.8,0.8,0.85,38497,31708.45,26-MAY-2016,18,INE774I01031,
RMMIL,BE,0.8,0.85,0.8,0.8,0.8,0.8,25267,20613.6,27-MAY-2016,20,INE774I01031,
RMMIL,BE,0.8,0.85,0.75,0.85,0.85,0.8,10811,8939.8,30-MAY-2016,18,INE774I01031,
RMMIL,BE,0.85,0.85,0.8,0.8,0.8,0.85,17949,14649.45,31-MAY-2016,13,INE774I01031,
RMMIL,BE,0.8,0.85,0.8,0.85,0.85,0.8,6672,5465.1,01-JUN-2016,11,INE774I01031,
RMMIL,BE,0.8,0.85,0.8,0.8,0.8,0.85,4872,3907.6,02-JUN-2016,18,INE774I01031,
RMMIL,BE,0.8,0.8,0.75,0.8,0.8,0.8,28276,22363.65,03-JUN-2016,26,INE774I01031,
RMMIL,BE,0.8,0.85,0.75,0.8,0.75,0.8,32919,26369.3,06-JUN-2016,55,INE774I01031,
RMMIL,BE,0.8,0.85,0.75,0.75,0.75,0.8,28658,22374.55,07-JUN-2016,14,INE774I01031,
RMMIL,BE,0.75,0.8,0.75,0.8,0.8,0.75,6967,5230.25,08-JUN-2016,10,INE774I01031,
RMMIL,BE,0.75,0.8,0.75,0.8,0.8,0.8,33161,25829.5,09-JUN-2016,14,INE774I01031,
RMMIL,BE,0.8,0.8,0.75,0.75,0.75,0.8,20195,15540.75,10-JUN-2016,26,INE774I01031,
RMMIL,BE,0.75,0.8,0.75,0.75,0.75,0.75,12163,9247.25,13-JUN-2016,11,INE774I01031,
RMMIL,BE,0.75,0.8,0.75,0.8,0.8,0.75,30506,23893.25,14-JUN-2016,18,INE774I01031,
RMMIL,BE,0.85,0.85,0.75,0.8,0.75,0.8,11430,9062.5,15-JUN-2016,10,INE774I01031,
RMMIL,BE,0.75,0.8,0.75,0.8,0.8,0.8,37724,29159.25,16-JUN-2016,21,INE774I01031,
RMMIL,BE,0.75,0.85,0.75,0.85,0.85,0.8,30514,24404.05,17-JUN-2016,17,INE774I01031,
RMMIL,BE,0.85,0.85,0.8,0.85,0.85,0.85,22359,18271.8,20-JUN-2016,24,INE774I01031,
RMMIL,BE,0.85,0.9,0.8,0.85,0.85,0.85,54500,46249.95,21-JUN-2016,20,INE774I01031,
RMMIL,BE,0.85,0.9,0.85,0.85,0.9,0.85,18520,16216.75,22-JUN-2016,22,INE774I01031,
RMMIL,BE,0.9,0.9,0.8,0.9,0.9,0.85,26065,21908.15,23-JUN-2016,21,INE774I01031,
RMMIL,BE,0.85,0.9,0.85,0.85,0.85,0.9,5901,5055.85,24-JUN-2016,14,INE774I01031,
RMMIL,BE,0.9,0.9,0.8,0.85,0.85,0.85,30707,26082.7,27-JUN-2016,25,INE774I01031,
RMMIL,BE,0.9,0.9,0.8,0.85,0.85,0.85,3160,2696.5,28-JUN-2016,11,INE774I01031,
RMMIL,BE,0.8,0.9,0.8,0.9,0.9,0.85,84104,75223.2,29-JUN-2016,40,INE774I01031,
RMMIL,BE,0.9,0.95,0.85,0.95,0.95,0.9,22113,20010.95,30-JUN-2016,24,INE774I01031,
RMMIL,BE,1,1,0.9,1,1,0.95,102701,100910.25,01-JUL-2016,77,INE774I01031,
