SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
RRSLGETF,EQ,15.6,15.6,15.6,15.6,15.6,15.4,51,795.6,14-JUL-2016,1,INF204KB1882,
RRSLGETF,EQ,15.63,15.65,15.63,15.65,15.65,15.6,8948,139944,22-JUL-2016,4,INF204KB1882,
RRSLGETF,EQ,15.66,15.66,15.66,15.66,15.66,15.65,662,10366.92,25-JUL-2016,2,INF204KB1882,
RRSLGETF,EQ,15.83,15.83,15.83,15.83,15.83,15.66,5,79.15,01-AUG-2016,1,INF204KB1882,
RRSLGETF,EQ,15.77,15.77,15.77,15.77,15.77,15.83,200,3154,03-AUG-2016,1,INF204KB1882,
RRSLGETF,EQ,15.9,15.93,15.9,15.93,15.93,15.77,15000,238710,10-AUG-2016,4,INF204KB1882,
RRSLGETF,EQ,15.92,15.92,15.92,15.92,15.92,15.93,647,10300.24,11-AUG-2016,1,INF204KB1882,
RRSLGETF,EQ,15.95,15.95,15.95,15.95,15.95,15.92,5000,79750,16-AUG-2016,1,INF204KB1882,
RRSLGETF,EQ,15.91,15.91,15.91,15.91,15.91,15.95,600,9546,17-AUG-2016,1,INF204KB1882,
RRSLGETF,EQ,15.91,15.91,15.91,15.91,15.91,15.91,5000,79550,22-AUG-2016,1,INF204KB1882,
RRSLGETF,EQ,15.92,15.92,15.91,15.91,15.91,15.91,3610,57441.2,25-AUG-2016,2,INF204KB1882,
RRSLGETF,EQ,15.95,15.95,15.95,15.95,15.95,15.91,326,5199.7,26-AUG-2016,2,INF204KB1882,
RRSLGETF,EQ,16,16.01,16,16.01,16.01,15.95,2,32.01,01-SEP-2016,2,INF204KB1882,
RRSLGETF,EQ,15.96,15.96,15.96,15.96,15.96,16.01,1,15.96,02-SEP-2016,1,INF204KB1882,
RRSLGETF,EQ,16.07,16.07,16.07,16.07,16.07,15.96,3,48.21,08-SEP-2016,1,INF204KB1882,
RRSLGETF,EQ,16.07,16.07,16.07,16.07,16.07,16.07,100000,1607000,22-SEP-2016,1,INF204KB1882,
RRSLGETF,EQ,16.2,16.2,16.2,16.2,16.2,16.07,2,32.4,26-SEP-2016,2,INF204KB1882,
RRSLGETF,EQ,16.22,16.22,16.22,16.22,16.22,16.2,100000,1622000,28-SEP-2016,1,INF204KB1882,
RRSLGETF,EQ,16.3,16.3,16.3,16.3,16.3,16.22,103,1678.9,03-OCT-2016,2,INF204KB1882,
RRSLGETF,EQ,16.33,16.34,16.33,16.34,16.34,16.3,2000,32671.25,04-OCT-2016,2,INF204KB1882,
RRSLGETF,EQ,16.4,16.4,16.4,16.4,16.4,16.34,107,1754.8,07-OCT-2016,2,INF204KB1882,
