SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SADHNANIQ,EQ,136.6,144.45,132.05,132.9,133,134.4,89648,12216349.2,05-MAY-2023,924,INE888C01040,
SADHNANIQ,EQ,132.9,133.15,128.4,130.8,131.45,132.9,29207,3833551.95,08-MAY-2023,553,INE888C01040,
SADHNANIQ,EQ,134,135.45,129,130.2,130.4,130.8,34041,4473884.3,09-MAY-2023,664,INE888C01040,
SADHNANIQ,EQ,129.9,132.5,126.6,129.7,130.25,130.2,33474,4367434.05,10-MAY-2023,714,INE888C01040,
SADHNANIQ,EQ,129,130.8,127.3,127.9,128.2,129.7,14195,1828268.55,11-MAY-2023,503,INE888C01040,
SADHNANIQ,EQ,126,131.3,122.1,128.1,127.4,127.9,62614,7960189.85,12-MAY-2023,879,INE888C01040,
SADHNANIQ,EQ,128.1,132.8,126.05,129.7,130,128.1,86502,11267634.2,15-MAY-2023,1396,INE888C01040,
SADHNANIQ,EQ,130.6,138.9,128.75,133.85,133.5,129.7,194066,25960362.2,16-MAY-2023,3034,INE888C01040,
SADHNANIQ,EQ,137.8,138.9,129,131.45,131.8,133.85,134703,18016273.45,17-MAY-2023,2247,INE888C01040,
SADHNANIQ,EQ,133.4,134.85,131.95,133.2,133.4,131.45,52942,7058310.3,18-MAY-2023,1279,INE888C01040,
SADHNANIQ,EQ,134.85,134.85,131.1,132,131.5,133.2,29128,3857229.4,19-MAY-2023,982,INE888C01040,
SADHNANIQ,EQ,134,134,129.5,130.8,130.2,132,51878,6789357.6,22-MAY-2023,2296,INE888C01040,
SADHNANIQ,EQ,132.75,135.5,130.5,132.05,133,130.8,71911,9523259.15,23-MAY-2023,1698,INE888C01040,
SADHNANIQ,EQ,133.4,133.5,129.3,132,131.5,132.05,71100,9362030.85,24-MAY-2023,2011,INE888C01040,
SADHNANIQ,EQ,138,138,127.55,130,128.25,132,148769,19462015.05,25-MAY-2023,2422,INE888C01040,
SADHNANIQ,EQ,130.7,131.5,125,125.4,125.75,130,77579,9831139.7,26-MAY-2023,2069,INE888C01040,
SADHNANIQ,EQ,127.3,130.7,124.05,125.95,126,125.4,68064,8674388.4,29-MAY-2023,1330,INE888C01040,
SADHNANIQ,EQ,126,129,126,127,127.05,125.95,24260,3100830.5,30-MAY-2023,977,INE888C01040,
SADHNANIQ,EQ,127.9,138,126.4,134.45,133.25,127,170735,22645398.8,31-MAY-2023,2443,INE888C01040,
SADHNANIQ,EQ,135,137.8,130.75,131.7,132.5,134.45,120242,16132845.05,01-JUN-2023,1884,INE888C01040,
SADHNANIQ,EQ,138,139,134.05,136.65,136.55,131.7,171782,23423984.75,02-JUN-2023,1885,INE888C01040,
SADHNANIQ,EQ,138.7,138.7,133.25,134.1,134.9,136.65,96414,13036147,05-JUN-2023,2400,INE888C01040,
SADHNANIQ,EQ,135.9,148.4,135.55,144.65,144.9,134.1,929266,133718912.3,06-JUN-2023,12451,INE888C01040,
SADHNANIQ,EQ,145.15,146.85,137.5,139.6,139.85,144.65,222139,31598359,07-JUN-2023,4424,INE888C01040,
