SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SAGARDEEP,EQ,95.4,99.9,91.95,94.9,95.4,95.4,163328,15642080.65,25-JAN-2019,1289,INE976T01013,
SAGARDEEP,EQ,98,99.6,90.2,94,90.2,94.9,63697,6098550.4,28-JAN-2019,459,INE976T01013,
SAGARDEEP,EQ,96.5,96.5,89.3,92.25,89.3,94,42593,3970935.5,29-JAN-2019,461,INE976T01013,
SAGARDEEP,EQ,92.3,96.85,90.6,93.35,93.75,92.25,60659,5713407.8,30-JAN-2019,320,INE976T01013,
SAGARDEEP,EQ,93,95.5,88.7,91.5,88.7,93.35,56462,5290758.6,31-JAN-2019,450,INE976T01013,
SAGARDEEP,EQ,88,95,86.95,94.15,94.85,91.5,95007,8672129.95,01-FEB-2019,600,INE976T01013,
SAGARDEEP,EQ,94.3,94.95,89.45,92.05,89.5,94.15,151514,13943433.65,04-FEB-2019,1263,INE976T01013,
SAGARDEEP,EQ,87.6,95,87.6,94.95,95,92.05,87347,8192922.95,05-FEB-2019,644,INE976T01013,
SAGARDEEP,EQ,98.95,98.95,90.5,97.2,92,94.95,101542,9832434.5,06-FEB-2019,439,INE976T01013,
SAGARDEEP,EQ,97.35,98,92.25,96.9,96,97.2,95731,9309934.25,07-FEB-2019,1010,INE976T01013,
SAGARDEEP,EQ,97,101.25,94.05,98.35,101.2,96.9,87142,8507740.6,08-FEB-2019,640,INE976T01013,
SAGARDEEP,EQ,100.05,100.05,92.7,97.4,95.75,98.35,79878,7835590.45,11-FEB-2019,1028,INE976T01013,
SAGARDEEP,EQ,100.75,105,95.55,103.8,102,97.4,328460,32791639.3,12-FEB-2019,1793,INE976T01013,
SAGARDEEP,EQ,103.5,106,102.6,104.5,104.7,103.8,49671,5187905.25,13-FEB-2019,679,INE976T01013,
SAGARDEEP,EQ,104.5,105.7,98,102.05,100,104.5,157076,16314352.25,14-FEB-2019,600,INE976T01013,
SAGARDEEP,EQ,102.55,111,97.25,99.1,98,102.05,68822,6983984.75,15-FEB-2019,854,INE976T01013,
SAGARDEEP,EQ,105,105,99.85,101.75,101,99.1,190618,19366732.45,18-FEB-2019,1027,INE976T01013,
SAGARDEEP,EQ,107.4,107.4,93,97.7,98,101.75,19174,1911044.75,19-FEB-2019,519,INE976T01013,
SAGARDEEP,EQ,100.8,101.05,97.5,97.75,97.5,97.7,22103,2204937.35,20-FEB-2019,200,INE976T01013,
SAGARDEEP,EQ,101,101,93.25,96.7,93.25,97.75,114165,11023944.35,21-FEB-2019,1158,INE976T01013,
SAGARDEEP,EQ,90.55,97.45,90.55,91.25,91.4,96.7,26610,2488156.3,22-FEB-2019,604,INE976T01013,
SAGARDEEP,EQ,93.7,94.7,85.5,89.2,89.5,91.25,37104,3313146.55,25-FEB-2019,1025,INE976T01013,
SAGARDEEP,EQ,95.25,95.25,84.35,93.45,85,89.2,316120,28942303.5,26-FEB-2019,4553,INE976T01013,
SAGARDEEP,EQ,86.6,93.75,86.6,91.9,90,93.45,168032,15174115.45,27-FEB-2019,2163,INE976T01013,
SAGARDEEP,EQ,91.35,93.55,86.4,91.35,90,91.9,264438,24301166.75,28-FEB-2019,1842,INE976T01013,
SAGARDEEP,EQ,91,95.95,87,92.05,87,91.35,258594,23888363.6,01-MAR-2019,2487,INE976T01013,
SAGARDEEP,EQ,91,91,83.2,85,83.2,92.05,221965,19956495.55,05-MAR-2019,1183,INE976T01013,
SAGARDEEP,EQ,83.55,87.1,81,84.35,81.55,85,104117,8853090.95,06-MAR-2019,636,INE976T01013,
SAGARDEEP,EQ,84.05,88,83.45,85.65,85.6,84.35,222445,18994097.55,07-MAR-2019,1562,INE976T01013,
SAGARDEEP,EQ,85.8,86.95,83.05,85.25,84.5,85.65,105749,9110898.75,08-MAR-2019,645,INE976T01013,
SAGARDEEP,EQ,85.75,86.5,83.25,84.6,84.7,85.25,32999,2812399.3,11-MAR-2019,140,INE976T01013,
SAGARDEEP,EQ,84.5,84.5,80,83.05,80,84.6,51964,4321678.45,12-MAR-2019,227,INE976T01013,
SAGARDEEP,EQ,82.6,85,81.2,82.6,83.9,83.05,54187,4495654.6,13-MAR-2019,232,INE976T01013,
SAGARDEEP,EQ,81.4,83,80.15,82.3,80.4,82.6,41047,3388470.7,14-MAR-2019,228,INE976T01013,
SAGARDEEP,EQ,82.1,82.3,74.1,77.75,74.1,82.3,148436,11940843.8,15-MAR-2019,514,INE976T01013,
SAGARDEEP,EQ,74.85,77.85,72,72.6,72.15,77.75,205750,15140913.55,18-MAR-2019,1439,INE976T01013,
SAGARDEEP,EQ,72.7,73.45,72.5,72.55,72.9,72.6,44070,3205710.55,19-MAR-2019,419,INE976T01013,
SAGARDEEP,EQ,73.45,76.45,72.6,75.65,75,72.55,78888,5808344.5,20-MAR-2019,876,INE976T01013,
SAGARDEEP,EQ,77.45,77.8,68.1,69.5,68.1,75.65,203459,15024906.65,22-MAR-2019,556,INE976T01013,
SAGARDEEP,EQ,70.2,73.4,62.55,62.55,62.55,69.5,184185,11951425.5,25-MAR-2019,788,INE976T01013,
SAGARDEEP,EQ,59.45,63.3,59.45,59.45,59.45,62.55,146646,8735060.8,26-MAR-2019,349,INE976T01013,
SAGARDEEP,EQ,56.5,56.5,56.5,56.5,56.5,59.45,5163,291709.5,27-MAR-2019,25,INE976T01013,
SAGARDEEP,EQ,53.7,58.9,53.7,58.35,57.95,56.5,118554,6500532.3,28-MAR-2019,402,INE976T01013,
SAGARDEEP,EQ,61,61.25,55.45,59.9,61.05,58.35,100292,5817408.25,29-MAR-2019,633,INE976T01013,
SAGARDEEP,EQ,61.45,61.5,57.5,61.4,60,59.9,4926,299184.8,01-APR-2019,200,INE976T01013,
