SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SAMPANN,BE,17.65,17.65,16.55,16.8,17,17.25,21185,356238.8,23-AUG-2023,107,INE735M01018,
SAMPANN,BE,16.8,17.5,16.2,16.35,16.3,16.8,49838,830135.65,24-AUG-2023,123,INE735M01018,
SAMPANN,BE,16.7,16.7,16.2,16.4,16.6,16.35,12125,199298,25-AUG-2023,65,INE735M01018,
SAMPANN,BE,17,17,16.1,16.5,16.1,16.4,9692,159719.2,28-AUG-2023,82,INE735M01018,
SAMPANN,BE,16.1,16.85,16,16.25,16.6,16.5,12111,196725.35,29-AUG-2023,91,INE735M01018,
SAMPANN,BE,16.25,17,16,16.65,16.65,16.25,15927,266150.35,30-AUG-2023,75,INE735M01018,
SAMPANN,BE,17,17,16.65,16.75,16.85,16.65,5764,96887.85,31-AUG-2023,53,INE735M01018,
SAMPANN,BE,16.75,17.55,16.2,17.25,17.55,16.75,67642,1152438.5,01-SEP-2023,149,INE735M01018,
SAMPANN,BE,17.5,18.1,16.55,18.1,18.1,17.25,46395,827889.4,04-SEP-2023,151,INE735M01018,
SAMPANN,BE,18.95,19,18.9,19,19,18.1,42899,814519.1,05-SEP-2023,120,INE735M01018,
SAMPANN,BE,19.8,19.95,19.8,19.95,19.95,19,37735,751277.3,06-SEP-2023,69,INE735M01018,
SAMPANN,BE,20.3,20.3,19.95,19.95,19.95,19.95,65792,1331142.75,07-SEP-2023,76,INE735M01018,
SAMPANN,BE,19.55,19.55,19.55,19.55,19.55,19.95,31164,609256.2,08-SEP-2023,39,INE735M01018,
SAMPANN,BE,19.45,19.45,19.15,19.15,19.15,19.55,2339,45376.85,11-SEP-2023,27,INE735M01018,
SAMPANN,BE,18.8,18.8,18.8,18.8,18.8,19.15,317,5959.6,12-SEP-2023,18,INE735M01018,
SAMPANN,BE,18.45,18.45,18.45,18.45,18.45,18.8,1686,31106.7,13-SEP-2023,15,INE735M01018,
SAMPANN,BE,18.4,18.4,18.1,18.1,18.1,18.45,3167,57744.1,14-SEP-2023,28,INE735M01018,
SAMPANN,BE,17.8,17.8,17.75,17.75,17.75,18.1,2126,37772.15,15-SEP-2023,25,INE735M01018,
SAMPANN,BE,17.75,17.75,17.4,17.5,17.5,17.75,11179,195233.35,18-SEP-2023,29,INE735M01018,
SAMPANN,BE,17.15,17.15,17.15,17.15,17.15,17.5,2410,41331.5,20-SEP-2023,27,INE735M01018,
SAMPANN,BE,17,17,16.8,16.8,16.8,17.15,7028,118117.4,21-SEP-2023,35,INE735M01018,
