SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SANDUMA,EQ,1628,1650.15,1573.2,1597,1595,1615.15,31753,51346852.05,07-SEP-2023,2407,INE149K01016,
SANDUMA,EQ,1570.2,1620,1541.95,1555.85,1564.95,1597,14536,22860954.3,08-SEP-2023,2360,INE149K01016,
SANDUMA,EQ,1565,1579,1542.25,1570.2,1573,1555.85,29590,46373190.15,11-SEP-2023,3006,INE149K01016,
SANDUMA,EQ,1579.2,1580,1440.05,1482.6,1470,1570.2,28100,42190226.65,12-SEP-2023,4567,INE149K01016,
SANDUMA,EQ,1488,1516.3,1441.1,1485.05,1475,1482.6,18143,26827523.15,13-SEP-2023,3185,INE149K01016,
SANDUMA,EQ,1495,1610.65,1495,1566.45,1575,1485.05,52934,82950304.65,14-SEP-2023,7961,INE149K01016,
SANDUMA,EQ,1588,1660,1550.05,1616.6,1634.25,1566.45,46606,74258083.25,15-SEP-2023,6719,INE149K01016,
SANDUMA,EQ,1620,1658,1575,1601.9,1594,1616.6,44463,71487184.15,18-SEP-2023,4647,INE149K01016,
SANDUMA,EQ,1580,1626.4,1565,1585.05,1580,1601.9,14274,22796066,20-SEP-2023,2549,INE149K01016,
SANDUMA,EQ,1575,1595,1542.05,1546.2,1556,1585.05,11247,17576893.25,21-SEP-2023,2340,INE149K01016,
SANDUMA,EQ,1540,1564.55,1507,1530.9,1525,1546.2,13980,21370116.7,22-SEP-2023,3645,INE149K01016,
SANDUMA,EQ,1531,1539.85,1481.4,1491.15,1481.4,1530.9,16971,25521413.95,25-SEP-2023,4009,INE149K01016,
SANDUMA,EQ,1490.45,1491.9,1441.1,1448.35,1445,1491.15,25051,36617730.55,26-SEP-2023,5418,INE149K01016,
SANDUMA,EQ,1448.35,1487.55,1429.6,1482.55,1487.55,1448.35,26508,38683242.9,27-SEP-2023,4660,INE149K01016,
