SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SBFC,EQ,82,95.45,82,92.2,92.65,57,204417099,18184601398.5,16-AUG-2023,729731,INE423Y01016,
SBFC,EQ,92.3,93.5,86.65,89.9,90.1,92.2,32761572,2964816785.85,17-AUG-2023,125343,INE423Y01016,
SBFC,EQ,89.05,90.15,87.2,88.25,88.8,89.9,8974679,796228063.4,18-AUG-2023,250969,INE423Y01016,
SBFC,EQ,88.3,88.8,83.75,86.05,86,88.25,8201753,705617152.8,21-AUG-2023,42862,INE423Y01016,
SBFC,EQ,86.05,92.75,86,90.35,90.55,86.05,13550199,1222671746.05,22-AUG-2023,61734,INE423Y01016,
SBFC,EQ,91.25,91.45,87.45,87.8,88.1,90.35,3752822,332881197.65,23-AUG-2023,18890,INE423Y01016,
SBFC,EQ,88.2,89.4,87.1,88.25,87.3,87.8,2377996,210425977.3,24-AUG-2023,30937,INE423Y01016,
SBFC,EQ,87.8,89.7,87.5,88.3,88.2,88.25,2086417,185112192.75,25-AUG-2023,17334,INE423Y01016,
SBFC,EQ,88.75,89.3,86.7,86.95,86.8,88.3,1479523,129410737.7,28-AUG-2023,10461,INE423Y01016,
SBFC,EQ,87,87.6,85.75,86.1,86.25,86.95,1096395,94936848.35,29-AUG-2023,10496,INE423Y01016,
SBFC,EQ,90.35,92.9,88.2,89.15,89.25,86.1,7037224,636355438.2,30-AUG-2023,30296,INE423Y01016,
SBFC,EQ,89,89.8,87.6,88,88.1,89.15,2099547,185369399,31-AUG-2023,20436,INE423Y01016,
SBFC,EQ,88,88.25,86,86.85,86.55,88,1525341,133204154.35,01-SEP-2023,10638,INE423Y01016,
SBFC,EQ,87.05,88,86,86.4,86.55,86.85,1568536,136483160,04-SEP-2023,15417,INE423Y01016,
SBFC,EQ,86.5,87.5,85,87,87,86.4,3178507,274258788.4,05-SEP-2023,16810,INE423Y01016,
SBFC,EQ,86,87.75,86,87,86.8,87,1599178,138969159.35,06-SEP-2023,17052,INE423Y01016,
SBFC,EQ,86.6,91.35,86.5,89.35,89.2,87,4912902,441649996.8,07-SEP-2023,36912,INE423Y01016,
SBFC,EQ,89,90.4,88.6,88.9,88.85,89.35,1343283,120247594.7,08-SEP-2023,13110,INE423Y01016,
SBFC,EQ,89,89.35,86.65,86.8,86.9,88.9,1852263,162626219.8,11-SEP-2023,15917,INE423Y01016,
SBFC,EQ,87,88.4,84.6,85.2,85.1,86.8,2199598,189575379.35,12-SEP-2023,23117,INE423Y01016,
SBFC,EQ,85.3,86.35,84,84.3,84.2,85.2,3609195,307598048.55,13-SEP-2023,30841,INE423Y01016,
SBFC,EQ,84.85,88.35,84.4,86.5,86.7,84.3,2825809,244451832.55,14-SEP-2023,20333,INE423Y01016,
SBFC,EQ,86.8,87.9,85.25,85.9,86.2,86.5,1064692,92161484.55,15-SEP-2023,11063,INE423Y01016,
