SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SENSEXIETF,EQ,793.15,803,787.5,793.51,800,795.7,22286,17693685.24,20-DEC-2023,185,INF346A01034,
SENSEXIETF,EQ,789.83,792.37,780.51,790.76,792.37,793.51,6747,5299726.46,21-DEC-2023,229,INF346A01034,
SENSEXIETF,EQ,792.37,795.63,788.31,792.76,792.99,790.76,3001,2377174.43,22-DEC-2023,120,INF346A01034,
SENSEXIETF,EQ,792.76,797.88,792.76,795.47,795,792.76,3007,2392405.18,26-DEC-2023,175,INF346A01034,
SENSEXIETF,EQ,799.49,805.08,796.69,804.34,805.08,795.47,5211,4176572.03,27-DEC-2023,181,INF346A01034,
SENSEXIETF,EQ,804,808.75,803.72,808.19,808.5,804.34,1100,887358.4,28-DEC-2023,155,INF346A01034,
SENSEXIETF,EQ,808.5,808.5,803.25,804.48,804,808.19,2778,2235081.05,29-DEC-2023,189,INF346A01034,
SENSEXIETF,EQ,795.58,809.97,795.58,807.43,804.93,804.48,1465,1181500.5,01-JAN-2024,170,INF346A01034,
SENSEXIETF,EQ,807.44,810.49,798.23,803.54,803.5,807.43,3405,2729890.75,02-JAN-2024,308,INF346A01034,
SENSEXIETF,EQ,808.97,808.97,796,797.49,798,803.54,4684,3738745.01,03-JAN-2024,259,INF346A01034,
SENSEXIETF,EQ,804.29,804.29,797.52,801.67,801.01,797.49,1259,1007978.02,04-JAN-2024,134,INF346A01034,
SENSEXIETF,EQ,800,807.97,800,802.73,803.25,801.67,3196,2568415.09,05-JAN-2024,141,INF346A01034,
SENSEXIETF,EQ,811.1,811.1,795.3,797.12,797.2,802.73,4902,3925346.67,08-JAN-2024,248,INF346A01034,
SENSEXIETF,EQ,798.55,803.89,795.28,796.8,800,797.12,4736,3784054.33,09-JAN-2024,122,INF346A01034,
SENSEXIETF,EQ,797.7,798.85,792.96,797.8,797.38,796.8,5936,4730057.21,10-JAN-2024,168,INF346A01034,
SENSEXIETF,EQ,798.1,803.76,798.1,798.95,798.5,797.8,1024,820560,11-JAN-2024,83,INF346A01034,
SENSEXIETF,EQ,801.1,809,798,808.59,808.24,798.95,1394,1125153.04,12-JAN-2024,127,INF346A01034,
SENSEXIETF,EQ,812.53,819,812.53,817.04,816.29,808.59,3114,2540319.18,15-JAN-2024,222,INF346A01034,
SENSEXIETF,EQ,817.03,819.64,813.5,814.06,814.25,817.04,20003,16287507.2,16-JAN-2024,166,INF346A01034,
SENSEXIETF,EQ,813.5,813.85,798.01,799.06,798.77,814.06,8866,7111367.17,17-JAN-2024,479,INF346A01034,
SENSEXIETF,EQ,799,799,788,791.91,795.6,799.06,9590,7598772.74,18-JAN-2024,261,INF346A01034,
SENSEXIETF,EQ,799.97,802.83,797.69,801.45,802.5,791.91,7073,5664919.07,19-JAN-2024,171,INF346A01034,
SENSEXIETF,EQ,799.51,804.97,785.63,787.35,797,798.47,13620,10797249.63,23-JAN-2024,340,INF346A01034,
SENSEXIETF,EQ,785,793.66,781.51,790.3,793.66,787.35,9029,7122941,24-JAN-2024,169,INF346A01034,
SENSEXIETF,EQ,790.99,793.5,786.01,789.9,793.5,790.3,11075,8735586.41,25-JAN-2024,285,INF346A01034,
SENSEXIETF,EQ,791.04,805.5,791.03,805.23,804.08,789.9,5106,4092830.93,29-JAN-2024,180,INF346A01034,
SENSEXIETF,EQ,796.5,804.99,794.39,795.38,797.7,805.23,3077,2456456.25,30-JAN-2024,235,INF346A01034,
SENSEXIETF,EQ,793.41,802.5,790.01,801.32,802.5,795.38,1194,952196.96,31-JAN-2024,143,INF346A01034,
SENSEXIETF,EQ,806.97,806.97,797.4,798.57,797.4,801.32,5182,4154762.94,01-FEB-2024,166,INF346A01034,
SENSEXIETF,EQ,804.97,814.79,797.01,803.32,803,798.57,6558,5320180.91,02-FEB-2024,268,INF346A01034,
SENSEXIETF,EQ,809.29,809.29,800.03,802.31,801.5,803.32,2584,2079668.02,05-FEB-2024,232,INF346A01034,
SENSEXIETF,EQ,802.32,805.99,799.99,803.01,805.99,802.31,10238,8201094.13,06-FEB-2024,177,INF346A01034,
SENSEXIETF,EQ,804.79,808.78,802.97,805.37,803.51,803.01,11567,9298035.38,07-FEB-2024,134,INF346A01034,
SENSEXIETF,EQ,805.38,808.34,797,798.23,800,805.37,5512,4426024.64,08-FEB-2024,233,INF346A01034,
SENSEXIETF,EQ,799.91,803.85,796.01,800.47,801.14,798.23,816,652203.71,09-FEB-2024,113,INF346A01034,
SENSEXIETF,EQ,805.98,805.98,791.99,793.87,795.5,800.47,3440,2738120.55,12-FEB-2024,226,INF346A01034,
SENSEXIETF,EQ,793.87,800.13,793.41,797.12,797,793.87,545,434782.68,13-FEB-2024,124,INF346A01034,
SENSEXIETF,EQ,793.64,805,791.01,800.84,805,797.12,2090,1670038.65,14-FEB-2024,127,INF346A01034,
SENSEXIETF,EQ,804.99,806,797.51,803.26,803.08,800.84,1114,894293.26,15-FEB-2024,108,INF346A01034,
SENSEXIETF,EQ,804,810.41,800.51,807.21,809.98,803.26,2340,1889047.87,16-FEB-2024,153,INF346A01034,
SENSEXIETF,EQ,811.01,814.98,807.22,811.13,810.51,807.21,1396,1133777.62,19-FEB-2024,162,INF346A01034,
SENSEXIETF,EQ,815.12,815.13,808.5,813.5,814.98,811.13,1296,1052107,20-FEB-2024,165,INF346A01034,
SENSEXIETF,EQ,814.41,816.7,811,812.71,813,813.5,8489,6911319.54,21-FEB-2024,130,INF346A01034,
SENSEXIETF,EQ,811.15,817.93,806.4,815.27,809.5,812.71,4572,3709489.25,22-FEB-2024,151,INF346A01034,
SENSEXIETF,EQ,817.98,820.99,815.71,817.46,817.5,815.27,706,577752.16,23-FEB-2024,112,INF346A01034,
SENSEXIETF,EQ,818.5,823.98,811.26,813.54,811.26,817.46,1759,1432885.19,26-FEB-2024,198,INF346A01034,
SENSEXIETF,EQ,813.98,817.82,810.09,817.42,816.99,813.54,541,440684.4,27-FEB-2024,98,INF346A01034,
SENSEXIETF,EQ,816.3,817.97,808.51,810.08,811.8,817.42,5498,4468982.57,28-FEB-2024,184,INF346A01034,
SENSEXIETF,EQ,808.86,812.11,805.92,809.75,810,810.08,14979,12117613.63,29-FEB-2024,142,INF346A01034,
SENSEXIETF,EQ,814,823.72,812.44,822.65,823.72,809.75,4138,3390666.11,01-MAR-2024,204,INF346A01034,
SENSEXIETF,EQ,826.67,827.32,822.8,825.37,826,826,12211,10086302.89,04-MAR-2024,225,INF346A01034,
SENSEXIETF,EQ,830.98,830.98,815,824.82,825.37,825.37,24113,19826276.34,05-MAR-2024,216,INF346A01034,
SENSEXIETF,EQ,822.38,828.23,820,826.29,828.2,824.82,17723,14586715.44,06-MAR-2024,150,INF346A01034,
SENSEXIETF,EQ,828.2,830.5,826.15,826.87,826.53,826.29,7501,6224692.23,07-MAR-2024,134,INF346A01034,
SENSEXIETF,EQ,826.54,829.14,821.82,823.11,826,826.87,13129,10847738.4,11-MAR-2024,216,INF346A01034,
SENSEXIETF,EQ,820.69,949,820.16,824.54,837.56,823.11,15132,12468055.84,12-MAR-2024,144,INF346A01034,
SENSEXIETF,EQ,824.55,825.99,810.65,814.38,824.33,824.54,43621,35790865.23,13-MAR-2024,351,INF346A01034,
SENSEXIETF,EQ,812.75,819.29,808.14,817.07,818,814.38,3583,2917832.38,14-MAR-2024,191,INF346A01034,
