SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SHANTIGEAR,EQ,104.9,106.4,103.4,104.8,104.5,104.4,30475,3205042.3,01-JAN-2016,820,INE631A01022,
SHANTIGEAR,EQ,104.15,105.8,103,104.35,104.5,104.8,37261,3884943.45,04-JAN-2016,701,INE631A01022,
SHANTIGEAR,EQ,104.25,106.85,102.75,104,103.5,104.35,34650,3624076.2,05-JAN-2016,580,INE631A01022,
SHANTIGEAR,EQ,105.15,106.5,103.35,103.95,103.8,104,39400,4135175.1,06-JAN-2016,527,INE631A01022,
SHANTIGEAR,EQ,103.8,103.8,97.85,99.4,99,103.95,59100,5859340.85,07-JAN-2016,1019,INE631A01022,
SHANTIGEAR,EQ,102.9,102.9,99.15,100.5,100,99.4,16707,1673999,08-JAN-2016,407,INE631A01022,
SHANTIGEAR,EQ,99.85,101,98,98.5,98.35,100.5,22776,2258646.85,11-JAN-2016,559,INE631A01022,
SHANTIGEAR,EQ,100.9,100.9,97.1,97.4,97.55,98.5,14702,1446710.25,12-JAN-2016,408,INE631A01022,
SHANTIGEAR,EQ,99,99,95.35,97.9,98,97.4,29186,2822651.65,13-JAN-2016,527,INE631A01022,
SHANTIGEAR,EQ,95.5,97.75,95.05,96.4,96,97.9,289749,27929011.45,14-JAN-2016,389,INE631A01022,
SHANTIGEAR,EQ,97.1,100.05,95,96.25,95.25,96.4,14993,1463481.55,15-JAN-2016,387,INE631A01022,
SHANTIGEAR,EQ,98,98,87,89.85,89.5,96.25,29309,2654492.7,18-JAN-2016,552,INE631A01022,
SHANTIGEAR,EQ,89.1,93.55,88.35,90.05,90.75,89.85,15073,1350840.15,19-JAN-2016,570,INE631A01022,
SHANTIGEAR,EQ,89,91.5,87.3,87.9,87.5,90.05,17606,1565911.05,20-JAN-2016,456,INE631A01022,
SHANTIGEAR,EQ,89.95,90,87.45,88.65,87.6,87.9,19587,1735328.2,21-JAN-2016,551,INE631A01022,
SHANTIGEAR,EQ,89.9,91.8,89.9,90.3,90.1,88.65,12054,1087404.35,22-JAN-2016,392,INE631A01022,
SHANTIGEAR,EQ,91.9,96.35,91.4,93.65,93.9,90.3,19647,1846595.3,25-JAN-2016,649,INE631A01022,
SHANTIGEAR,EQ,93,100,91.5,93.7,93,93.65,133959,12808387.15,27-JAN-2016,1911,INE631A01022,
SHANTIGEAR,EQ,93.35,94.6,91.5,92.7,93,93.7,21654,2014507.55,28-JAN-2016,493,INE631A01022,
SHANTIGEAR,EQ,92.95,94.45,92.95,94.15,93.6,92.7,17145,1606669.35,29-JAN-2016,241,INE631A01022,
SHANTIGEAR,EQ,95.9,95.9,93.2,94.9,94.45,94.15,11300,1065508.6,01-FEB-2016,450,INE631A01022,
SHANTIGEAR,EQ,94,95.85,92.1,92.7,92.85,94.9,9393,880518.8,02-FEB-2016,326,INE631A01022,
SHANTIGEAR,EQ,92.7,93.95,89,90,90.6,92.7,15833,1444058.1,03-FEB-2016,377,INE631A01022,
SHANTIGEAR,EQ,93.9,93.9,88.2,89,89.5,90,5186,469433.6,04-FEB-2016,153,INE631A01022,
SHANTIGEAR,EQ,91.5,91.5,88.5,88.9,89.4,89,6789,606028.05,05-FEB-2016,282,INE631A01022,
SHANTIGEAR,EQ,88.25,90.9,88.25,90.1,89.75,88.9,7938,714441.6,08-FEB-2016,160,INE631A01022,
SHANTIGEAR,EQ,90.8,90.8,86.2,86.65,86.6,90.1,9315,813983.95,09-FEB-2016,170,INE631A01022,
SHANTIGEAR,EQ,89.85,89.9,84.7,85,84.75,86.65,23810,2028324.4,10-FEB-2016,253,INE631A01022,
SHANTIGEAR,EQ,85,86.5,80.1,81.45,83.95,85,14382,1188224.95,11-FEB-2016,378,INE631A01022,
SHANTIGEAR,EQ,84,85.95,80.95,84.05,84.65,81.45,30824,2529016.85,12-FEB-2016,384,INE631A01022,
SHANTIGEAR,EQ,88.6,88.7,81,83.7,83.55,84.05,18851,1591416.15,15-FEB-2016,511,INE631A01022,
SHANTIGEAR,EQ,88,88,83,84.1,84.4,83.7,4716,395407.9,16-FEB-2016,119,INE631A01022,
SHANTIGEAR,EQ,83,84.1,81,83.5,84.1,84.1,8008,657345.6,17-FEB-2016,196,INE631A01022,
SHANTIGEAR,EQ,83,84,81.8,82.4,82,83.5,6976,577073.8,18-FEB-2016,165,INE631A01022,
SHANTIGEAR,EQ,82,84,81.5,82.15,82,82.4,13342,1099981.5,19-FEB-2016,223,INE631A01022,
SHANTIGEAR,EQ,85.95,85.95,81.1,81.35,81.8,82.15,35224,2893842.45,22-FEB-2016,181,INE631A01022,
SHANTIGEAR,EQ,81.25,82.75,80.8,81.3,81.1,81.35,56426,4574261.75,23-FEB-2016,166,INE631A01022,
SHANTIGEAR,EQ,80.8,81.9,80.1,80.3,80.35,81.3,5539,447640.95,24-FEB-2016,150,INE631A01022,
