SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SHIVAM-RE,BE,7.6,17.6,7.6,17.6,17.6,12.6,232658,3171922.75,31-DEC-2021,1882,INE637H20016,
SHIVAM-RE,BE,24.4,24.6,21,24.6,24.6,17.6,287409,7042811.35,03-JAN-2022,1817,INE637H20016,
SHIVAM-RE,BE,34.4,34.4,32,34.4,34.4,24.6,234021,8038717.3,04-JAN-2022,2096,INE637H20016,
SHIVAM-RE,BE,45.9,48.15,40,48.15,48.15,34.4,344090,16424403.6,05-JAN-2022,3332,INE637H20016,
SHIVAM-RE,BE,60,67.4,40,67.4,67.4,48.15,576282,32913100.95,06-JAN-2022,6818,INE637H20016,
SHIVAM-RE,BE,77.5,80.85,69.3,80.85,80.85,67.4,290467,23149444.2,07-JAN-2022,4281,INE637H20016,
SHIVAM-RE,BE,81.5,85,64.7,64.7,64.7,80.85,151941,10553091.6,10-JAN-2022,2226,INE637H20016,
SHIVAM-RE,BE,51.8,51.8,51.8,51.8,51.8,64.7,33536,1737164.8,11-JAN-2022,573,INE637H20016,
SHIVAM-RE,BE,41.45,41.45,41.45,41.45,41.45,51.8,46599,1931528.55,12-JAN-2022,560,INE637H20016,
SHIVAM-RE,BE,37.35,37.35,37.35,37.35,37.35,41.45,40469,1511517.15,13-JAN-2022,457,INE637H20016,
SHIVAM-RE,BE,33.65,33.65,33.65,33.65,33.65,37.35,70711,2379425.15,14-JAN-2022,625,INE637H20016,
SHIVAM-RE,BE,30.3,30.3,30.3,30.3,30.3,33.65,29365,889759.5,17-JAN-2022,444,INE637H20016,
SHIVAM-RE,BE,27.3,27.3,27.3,27.3,27.3,30.3,26165,714304.5,18-JAN-2022,373,INE637H20016,
SHIVAM-RE,BE,24.6,24.6,24.6,24.6,24.6,27.3,19345,475887,19-JAN-2022,344,INE637H20016,
SHIVAM-RE,BE,22.15,22.15,22.15,22.15,22.15,24.6,19035,421625.25,20-JAN-2022,320,INE637H20016,
SHIVAM-RE,BE,19.95,19.95,19.95,19.95,19.95,22.15,27165,541941.75,21-JAN-2022,331,INE637H20016,
