SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SILVERETF,EQ,76.4,85,76.4,84.1,79,75.81,175,14622.3,20-APR-2023,22,INF789F1AYK6,
SILVERETF,EQ,81.2,83,77,83,83,84.1,603,47029.78,21-APR-2023,14,INF789F1AYK6,
SILVERETF,EQ,85,85,77,77.84,77.65,83,6952,556250.65,24-APR-2023,170,INF789F1AYK6,
SILVERETF,EQ,79.39,80.7,77.66,79.79,79.8,77.84,1654,131502.1,25-APR-2023,45,INF789F1AYK6,
SILVERETF,EQ,78.99,83.4,78.99,80,80,79.79,2914,235239.64,26-APR-2023,183,INF789F1AYK6,
SILVERETF,EQ,80.01,82.99,80.01,82.34,82.35,80,3804,311745.25,27-APR-2023,72,INF789F1AYK6,
SILVERETF,EQ,80.59,85,78.1,84.8,84.8,82.34,5692,464673.26,28-APR-2023,167,INF789F1AYK6,
SILVERETF,EQ,89.37,89.37,74.82,75.24,75.5,84.8,27863,2226573.99,02-MAY-2023,417,INF789F1AYK6,
SILVERETF,EQ,79,80.75,75.5,75.84,75.85,75.24,24884,1920208.34,03-MAY-2023,321,INF789F1AYK6,
SILVERETF,EQ,76.03,78.8,75.94,77.04,76.5,75.84,113994,8723830.17,04-MAY-2023,265,INF789F1AYK6,
SILVERETF,EQ,77.49,80.5,77,77.57,79.38,77.04,39264,3046538.98,05-MAY-2023,210,INF789F1AYK6,
SILVERETF,EQ,79.49,79.7,76.5,76.67,76.7,77.57,56529,4344680.87,08-MAY-2023,338,INF789F1AYK6,
SILVERETF,EQ,77.59,77.71,76,76.54,76.6,76.67,49841,3816552.41,09-MAY-2023,148,INF789F1AYK6,
SILVERETF,EQ,78.45,78.45,76.5,76.77,76.58,76.54,7506,576379.31,10-MAY-2023,119,INF789F1AYK6,
SILVERETF,EQ,77.01,77.49,74.81,75.09,75.1,76.77,60536,4554224.3,11-MAY-2023,259,INF789F1AYK6,
SILVERETF,EQ,75.1,76.97,72.51,72.97,73,75.09,74559,5448931.87,12-MAY-2023,431,INF789F1AYK6,
SILVERETF,EQ,73.31,73.9,72.98,73.36,73.37,72.97,41607,3051266.27,15-MAY-2023,141,INF789F1AYK6,
SILVERETF,EQ,73.41,73.79,72.45,72.59,72.6,73.36,35181,2558452.56,16-MAY-2023,279,INF789F1AYK6,
SILVERETF,EQ,73.01,73.01,72,72.64,72,72.59,47699,3464333.81,17-MAY-2023,159,INF789F1AYK6,
SILVERETF,EQ,73.9,73.9,72.19,72.34,72.2,72.64,6811,493958.11,18-MAY-2023,94,INF789F1AYK6,
SILVERETF,EQ,73.98,73.98,71,71.6,71.36,72.34,36415,2603173.59,19-MAY-2023,313,INF789F1AYK6,
SILVERETF,EQ,71,75.5,71,72.69,72.55,71.6,52370,3823363.66,22-MAY-2023,180,INF789F1AYK6,
SILVERETF,EQ,72.6,72.6,70.81,71.32,71,72.69,29213,2088461.72,23-MAY-2023,289,INF789F1AYK6,
SILVERETF,EQ,71.99,71.99,71,71.5,71.5,71.32,11947,854568.17,24-MAY-2023,94,INF789F1AYK6,
SILVERETF,EQ,71.51,71.51,69.5,70.52,70.71,71.5,34906,2451600.92,25-MAY-2023,457,INF789F1AYK6,
SILVERETF,EQ,70.51,70.99,70.35,70.69,70.7,70.52,33395,2359493.54,26-MAY-2023,103,INF789F1AYK6,
SILVERETF,EQ,70.76,71.59,70.76,71.14,71.14,70.69,8135,579370.05,29-MAY-2023,174,INF789F1AYK6,
SILVERETF,EQ,71.15,71.15,70.36,70.96,71.1,71.14,20234,1433935.77,30-MAY-2023,199,INF789F1AYK6,
SILVERETF,EQ,71.11,71.31,70.5,71.27,70.63,70.96,35420,2518252.73,31-MAY-2023,140,INF789F1AYK6,
SILVERETF,EQ,71.49,72.41,71.04,71.23,71.29,71.27,7019,502682.24,01-JUN-2023,94,INF789F1AYK6,
SILVERETF,EQ,71.5,73.5,71.5,72.59,72.65,71.23,13970,1014350.05,02-JUN-2023,119,INF789F1AYK6,
SILVERETF,EQ,72.65,72.65,71.51,71.68,71.7,72.59,4290,308282,05-JUN-2023,135,INF789F1AYK6,
SILVERETF,EQ,72.98,72.98,71.75,71.82,71.83,71.68,7157,515656.99,06-JUN-2023,98,INF789F1AYK6,
SILVERETF,EQ,72,72.01,71.51,71.8,71.85,71.82,6475,464611.82,07-JUN-2023,67,INF789F1AYK6,
SILVERETF,EQ,71.79,72.4,71.76,72.29,72.3,71.8,17838,1289078.08,08-JUN-2023,106,INF789F1AYK6,
SILVERETF,EQ,73.02,73.8,72.74,73.71,73.71,72.29,16293,1195812.17,09-JUN-2023,303,INF789F1AYK6,
SILVERETF,EQ,73.72,74.47,72.8,73.48,73.5,73.71,4898,358665.87,12-JUN-2023,107,INF789F1AYK6,
SILVERETF,EQ,73.99,73.99,73.06,73.21,73.25,73.48,2597,190268.83,13-JUN-2023,66,INF789F1AYK6,
SILVERETF,EQ,73,73.9,72.1,72.39,72.5,73.21,6270,453883.29,14-JUN-2023,134,INF789F1AYK6,
SILVERETF,EQ,72.51,72.51,70.98,71.32,71.4,72.39,40709,2901865.45,15-JUN-2023,313,INF789F1AYK6,
SILVERETF,EQ,71.5,72.7,71.5,72.5,72.36,71.32,12879,933345.69,16-JUN-2023,92,INF789F1AYK6,
SILVERETF,EQ,72.42,72.79,72.2,72.62,72.25,72.5,6971,505991.83,19-JUN-2023,72,INF789F1AYK6,
SILVERETF,EQ,72.62,72.62,72.22,72.47,72.4,72.62,11324,820600.04,20-JUN-2023,76,INF789F1AYK6,
SILVERETF,EQ,72,72.75,69.21,70.14,70.48,72.47,35590,2515518.2,21-JUN-2023,411,INF789F1AYK6,
SILVERETF,EQ,70.48,70.98,68.39,69.1,69.3,70.14,137773,9591790.09,22-JUN-2023,753,INF789F1AYK6,
SILVERETF,EQ,69.1,69.1,66.6,67.59,68.69,69.1,116511,7885326.4,23-JUN-2023,464,INF789F1AYK6,
