SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SILVERIETF,EQ,75.35,75.6,75.21,75.32,75.25,75.24,106894,8059645.12,20-DEC-2023,735,INF109KC1Y56,
SILVERIETF,EQ,75.75,76.1,75.7,76.05,75.87,75.32,253182,19215420.28,21-DEC-2023,622,INF109KC1Y56,
SILVERIETF,EQ,76.34,76.35,75.9,76.14,76.05,76.05,100947,7680844.26,22-DEC-2023,1004,INF109KC1Y56,
SILVERIETF,EQ,76.23,76.29,75.83,75.96,76,76.14,109807,8355538.32,26-DEC-2023,942,INF109KC1Y56,
SILVERIETF,EQ,75.95,75.99,75.76,75.9,75.8,75.96,195512,14838542.81,27-DEC-2023,619,INF109KC1Y56,
SILVERIETF,EQ,75.5,76.34,75.5,76.02,76.1,75.9,90235,6872585.93,28-DEC-2023,795,INF109KC1Y56,
SILVERIETF,EQ,75.86,75.86,74.85,74.97,74.94,76.02,387165,29066512.34,29-DEC-2023,1329,INF109KC1Y56,
SILVERIETF,EQ,75.49,75.49,75.01,75.2,75.22,74.97,106958,8047329.37,01-JAN-2024,936,INF109KC1Y56,
SILVERIETF,EQ,75.36,75.83,75.3,75.76,75.74,75.2,129704,9797685.64,02-JAN-2024,802,INF109KC1Y56,
SILVERIETF,EQ,75.5,75.5,74.2,74.32,74.26,75.76,788862,59037674.91,03-JAN-2024,1870,INF109KC1Y56,
SILVERIETF,EQ,74.11,74.11,73.16,73.37,73.37,74.32,576426,42302283.76,04-JAN-2024,2679,INF109KC1Y56,
SILVERIETF,EQ,73.5,74.09,73.2,73.26,73.45,73.37,481066,35311469.8,05-JAN-2024,1495,INF109KC1Y56,
SILVERIETF,EQ,73.5,73.59,72.91,73,73.09,73.26,810699,59298429.88,08-JAN-2024,1567,INF109KC1Y56,
SILVERIETF,EQ,73.5,73.69,73.16,73.53,73.5,73,272170,19982954.2,09-JAN-2024,1460,INF109KC1Y56,
SILVERIETF,EQ,73.53,73.53,72.8,73.19,73.18,73.53,329674,24088631.34,10-JAN-2024,1583,INF109KC1Y56,
SILVERIETF,EQ,73.49,73.49,72.83,73.03,72.99,73.19,232950,17004620.32,11-JAN-2024,1253,INF109KC1Y56,
SILVERIETF,EQ,73.04,73.04,72.7,72.86,72.88,73.03,480395,34991398.74,12-JAN-2024,1738,INF109KC1Y56,
SILVERIETF,EQ,73.5,73.84,73.41,73.62,73.58,72.86,302994,22310045.6,15-JAN-2024,1149,INF109KC1Y56,
SILVERIETF,EQ,73.36,73.48,73.22,73.32,73.3,73.62,275278,20193344.35,16-JAN-2024,797,INF109KC1Y56,
SILVERIETF,EQ,73,73,72.42,72.66,72.7,73.32,251649,18294528.49,17-JAN-2024,1574,INF109KC1Y56,
SILVERIETF,EQ,72.54,72.65,72.3,72.5,72.44,72.66,288654,20924471.97,18-JAN-2024,1152,INF109KC1Y56,
SILVERIETF,EQ,72.62,72.91,72.41,72.69,72.78,72.5,215113,15631915.78,19-JAN-2024,1088,INF109KC1Y56,
SILVERIETF,EQ,72.68,72.68,71.81,71.92,71.9,72.67,242358,17448982.06,23-JAN-2024,1723,INF109KC1Y56,
SILVERIETF,EQ,72.49,72.77,71.86,72.75,72.71,71.92,221526,16076798.47,24-JAN-2024,792,INF109KC1Y56,
SILVERIETF,EQ,72.75,72.99,72.45,72.88,72.82,72.75,225613,16425539.84,25-JAN-2024,751,INF109KC1Y56,
SILVERIETF,EQ,72.99,73.25,72.82,73.11,73.15,72.88,91010,6647212.65,29-JAN-2024,978,INF109KC1Y56,
SILVERIETF,EQ,73.52,73.52,73.11,73.19,73.24,73.11,358970,26285142.75,30-JAN-2024,802,INF109KC1Y56,
SILVERIETF,EQ,72.82,73.34,72.82,73.1,73.05,73.19,136458,9984967.73,31-JAN-2024,703,INF109KC1Y56,
SILVERIETF,EQ,73.29,73.3,72.25,72.37,72.48,73.1,208849,15151368.82,01-FEB-2024,1371,INF109KC1Y56,
SILVERIETF,EQ,72.97,73.3,72.87,73.14,73.16,72.37,442700,32392543.49,02-FEB-2024,899,INF109KC1Y56,
SILVERIETF,EQ,72.51,72.51,71.86,71.91,71.87,73.14,338102,24374658.15,05-FEB-2024,2048,INF109KC1Y56,
