SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SKSMICRO,EQ,497.95,508.5,493.5,506.3,505.85,499.05,902049,455469319.7,01-JAN-2016,13139,INE180K01011,
SKSMICRO,EQ,503,512.5,488.1,493.5,493.55,506.3,1021233,508562093.15,04-JAN-2016,19542,INE180K01011,
SKSMICRO,EQ,496,515.8,491,512.3,513.95,493.5,1228848,619712630.45,05-JAN-2016,33674,INE180K01011,
SKSMICRO,EQ,513,524,512,520.5,521.5,512.3,3041749,1578606423.8,06-JAN-2016,74027,INE180K01011,
SKSMICRO,EQ,515,523.45,502.4,518.55,519.15,520.5,2678149,1376187533.35,07-JAN-2016,66699,INE180K01011,
SKSMICRO,EQ,522.7,546.25,521.5,531.35,531.15,518.55,3558392,1909908321.55,08-JAN-2016,59540,INE180K01011,
SKSMICRO,EQ,526,531.7,517.35,524.55,526.45,531.35,1124608,590276013.25,11-JAN-2016,27081,INE180K01011,
SKSMICRO,EQ,527.9,538.5,521.3,527.6,527.15,524.55,1242747,659091909.5,12-JAN-2016,28284,INE180K01011,
SKSMICRO,EQ,530,535,505.15,524.6,524.05,527.6,1559492,813007914.6,13-JAN-2016,56925,INE180K01011,
SKSMICRO,EQ,510,520.6,504.55,514.1,515.9,524.6,1261082,647574818.45,14-JAN-2016,42734,INE180K01011,
SKSMICRO,EQ,517.9,523.25,492.25,497.45,496,514.1,1097746,558647695.7,15-JAN-2016,29028,INE180K01011,
SKSMICRO,EQ,495.5,502,470.15,477.7,476.65,497.45,1297028,630532417.45,18-JAN-2016,25310,INE180K01011,
SKSMICRO,EQ,478.9,484.5,465.9,475.75,479,477.7,1293329,615357477.5,19-JAN-2016,25241,INE180K01011,
SKSMICRO,EQ,469.5,469.5,439,450,454,475.75,1519741,685932674.75,20-JAN-2016,31921,INE180K01011,
SKSMICRO,EQ,455.2,474.8,435.5,451.05,452,450,2353451,1055686289.05,21-JAN-2016,45505,INE180K01011,
