SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SKYGOLD,EQ,249.95,268.75,221.55,224.9,228,249.15,50472,11904893.55,06-JAN-2023,1401,INE01IU01018,
SKYGOLD,EQ,235.4,237.5,222.75,227.4,227.5,224.9,89995,20549049.05,09-JAN-2023,1422,INE01IU01018,
SKYGOLD,EQ,230.8,272.85,229.7,272.85,272.85,227.4,412897,106737349.45,10-JAN-2023,6996,INE01IU01018,
SKYGOLD,EQ,290,312,283,306.35,305.9,272.85,1778986,537875067.05,11-JAN-2023,30179,INE01IU01018,
SKYGOLD,EQ,301.95,314.8,292.55,312.75,310.6,306.35,789900,244247484.4,12-JAN-2023,12962,INE01IU01018,
SKYGOLD,EQ,312,314.8,305,309,313.8,312.75,417530,129737267,13-JAN-2023,5933,INE01IU01018,
SKYGOLD,EQ,309.9,324,280.05,288.05,286,309,368562,113830313.75,16-JAN-2023,7044,INE01IU01018,
SKYGOLD,EQ,285.95,286,270.05,273.4,270.3,288.05,56671,15707310.7,17-JAN-2023,1423,INE01IU01018,
SKYGOLD,EQ,273.7,273.7,255.5,255.6,255.5,273.4,212735,55171462.45,18-JAN-2023,3300,INE01IU01018,
SKYGOLD,EQ,253.1,281.15,253.1,271.75,270,255.6,261237,71755156.85,19-JAN-2023,4637,INE01IU01018,
SKYGOLD,EQ,277.45,277.45,253,253.6,253.7,271.75,50990,13241218.1,20-JAN-2023,1676,INE01IU01018,
SKYGOLD,EQ,259,278.95,252.55,275,275,253.6,275822,75172701.6,23-JAN-2023,5919,INE01IU01018,
SKYGOLD,EQ,276.9,279.55,262,273.45,271.4,275,63395,17326645.4,24-JAN-2023,2190,INE01IU01018,
SKYGOLD,EQ,277.5,277.65,262.15,264.75,267,273.45,24602,6636408.2,25-JAN-2023,1061,INE01IU01018,
SKYGOLD,EQ,268.7,271.85,253.5,267.35,266.95,264.75,36871,9640135.35,27-JAN-2023,1909,INE01IU01018,
