SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SONASTEER,EQ,59.25,59.3,55.9,58.25,58.05,58.85,193801,11277766.05,01-JAN-2016,1192,INE643A01035,
SONASTEER,EQ,58.55,58.95,57.7,57.9,57.7,58.25,66149,3843843,04-JAN-2016,389,INE643A01035,
SONASTEER,EQ,57.7,58.45,57.4,57.55,57.55,57.9,66810,3857329.6,05-JAN-2016,402,INE643A01035,
SONASTEER,EQ,58,58.35,57.15,57.35,57.3,57.55,86558,5007364.8,06-JAN-2016,450,INE643A01035,
SONASTEER,EQ,57,57.05,55.7,56.4,56.4,57.35,107763,6074157.1,07-JAN-2016,531,INE643A01035,
SONASTEER,EQ,56.95,56.95,56,56.6,56.75,56.4,65664,3702967.7,08-JAN-2016,531,INE643A01035,
SONASTEER,EQ,56.3,57,55.5,56.4,56.35,56.6,45206,2549246.85,11-JAN-2016,259,INE643A01035,
SONASTEER,EQ,56.25,57.35,55.8,55.9,56.05,56.4,51867,2929276.9,12-JAN-2016,333,INE643A01035,
SONASTEER,EQ,55.95,56.9,52.35,54.3,54.25,55.9,151927,8306991.05,13-JAN-2016,675,INE643A01035,
SONASTEER,EQ,54.3,56.6,53,55.3,55.4,54.3,114417,6258484.35,14-JAN-2016,527,INE643A01035,
SONASTEER,EQ,55.75,55.75,55,55,55,55.3,123662,6806018.25,15-JAN-2016,245,INE643A01035,
SONASTEER,EQ,55,55.5,52.5,53,53.6,55,146479,7862949.85,18-JAN-2016,353,INE643A01035,
SONASTEER,EQ,53.55,55.45,53,53.65,53.6,53,89377,4839762.8,19-JAN-2016,525,INE643A01035,
SONASTEER,EQ,53.1,54.4,52.5,52.7,52.5,53.65,161345,8549003.5,20-JAN-2016,437,INE643A01035,
SONASTEER,EQ,53.4,54.4,51.55,52.15,52.5,52.7,46818,2472662.35,21-JAN-2016,598,INE643A01035,
SONASTEER,EQ,53.35,54.45,52.45,53.05,52.85,52.15,50060,2679155.3,22-JAN-2016,401,INE643A01035,
SONASTEER,EQ,53.15,54.45,52.2,52.6,52.7,53.05,34994,1863034.35,25-JAN-2016,240,INE643A01035,
SONASTEER,EQ,53.3,53.5,51.7,52.4,52.1,52.6,36653,1924242.65,27-JAN-2016,260,INE643A01035,
SONASTEER,EQ,52.45,53.5,50.7,51.05,51.15,52.4,112475,5802248.25,28-JAN-2016,1057,INE643A01035,
SONASTEER,EQ,50.55,53.5,50.5,53.15,53,51.05,164623,8498160.7,29-JAN-2016,508,INE643A01035,
SONASTEER,EQ,53,53.9,52.4,52.8,52.5,53.15,42702,2258333.2,01-FEB-2016,285,INE643A01035,
SONASTEER,EQ,52.55,53.45,51.5,51.65,51.9,52.8,21383,1116546.5,02-FEB-2016,199,INE643A01035,
SONASTEER,EQ,51,51.65,50,50.2,50.25,51.65,38151,1922439.35,03-FEB-2016,236,INE643A01035,
SONASTEER,EQ,51.75,51.8,50,50.05,50.05,50.2,67375,3377279.55,04-FEB-2016,212,INE643A01035,
SONASTEER,EQ,50.5,51.15,49.35,49.95,49.75,50.05,438017,21934084.65,05-FEB-2016,2503,INE643A01035,
SONASTEER,EQ,49.6,50,45.5,46.4,46,49.95,162421,7789965.1,08-FEB-2016,1203,INE643A01035,
SONASTEER,EQ,46.6,46.6,44.5,44.75,44.8,46.4,213343,9598294.7,09-FEB-2016,1303,INE643A01035,
SONASTEER,EQ,45.05,45.9,42.5,44.65,44.55,44.75,367814,16252395.45,10-FEB-2016,956,INE643A01035,
SONASTEER,EQ,44.35,44.5,40.2,40.7,41,44.65,163533,6896545.45,11-FEB-2016,984,INE643A01035,
SONASTEER,EQ,40.25,42.5,37.05,38.9,39.5,40.7,197674,7654262.7,12-FEB-2016,1292,INE643A01035,
SONASTEER,EQ,40.65,46.65,39.7,46.3,45.65,38.9,263196,11737170.6,15-FEB-2016,1906,INE643A01035,
SONASTEER,EQ,46.3,47.8,43.05,43.7,44,46.3,327199,14860833.6,16-FEB-2016,2035,INE643A01035,
SONASTEER,EQ,43.15,44.85,41,42.75,43,43.7,128097,5418239.55,17-FEB-2016,1027,INE643A01035,
SONASTEER,EQ,43.6,44.95,43.25,43.45,43.3,42.75,49292,2164732.45,18-FEB-2016,373,INE643A01035,
SONASTEER,EQ,44.45,44.5,42.7,43.3,43.2,43.45,34544,1501836.9,19-FEB-2016,220,INE643A01035,
SONASTEER,EQ,43.15,43.9,42.05,43.55,43.85,43.3,48035,2082482.45,22-FEB-2016,336,INE643A01035,
SONASTEER,EQ,44.45,44.45,41.7,42.15,42.05,43.55,35105,1497529.55,23-FEB-2016,316,INE643A01035,
SONASTEER,EQ,41.8,42,40,40.3,40.3,42.15,81578,3312476.1,24-FEB-2016,609,INE643A01035,
SONASTEER,EQ,40.4,40.9,40,40.35,40.1,40.3,44276,1790122.55,25-FEB-2016,240,INE643A01035,
SONASTEER,EQ,40,40.25,38.5,39.05,38.55,40.35,32146,1264077,26-FEB-2016,494,INE643A01035,
SONASTEER,EQ,39.95,39.95,37.75,38.1,38.15,39.05,52408,2006580.6,29-FEB-2016,370,INE643A01035,
SONASTEER,EQ,38.1,41.05,38,39.15,39.35,38.1,99835,3953781.5,01-MAR-2016,634,INE643A01035,
SONASTEER,EQ,40.45,42.75,40.45,42.15,41.9,39.15,197261,8264025.3,02-MAR-2016,822,INE643A01035,
SONASTEER,EQ,42.15,42.75,41.2,42.35,42.15,42.15,50162,2112442,03-MAR-2016,381,INE643A01035,
SONASTEER,EQ,41.55,43.3,41.55,43.05,43,42.35,76725,3273629.5,04-MAR-2016,358,INE643A01035,
SONASTEER,EQ,43.5,45,43,43.35,43.25,43.05,113262,4963051.1,08-MAR-2016,513,INE643A01035,
SONASTEER,EQ,43.05,44,42.5,43.65,43.8,43.35,19411,841155.35,09-MAR-2016,177,INE643A01035,
SONASTEER,EQ,43.3,43.75,42.35,43,42.9,43.65,39966,1721119.05,10-MAR-2016,324,INE643A01035,
SONASTEER,EQ,42.75,43.2,42.2,42.9,43,43,30298,1297937.2,11-MAR-2016,167,INE643A01035,
SONASTEER,EQ,43.5,43.7,42.15,42.35,42.2,42.9,33773,1449528.5,14-MAR-2016,246,INE643A01035,
SONASTEER,EQ,42.25,42.6,41.15,41.45,41.35,42.35,29524,1229813.65,15-MAR-2016,188,INE643A01035,
SONASTEER,EQ,41.4,42,40.5,41.7,41.95,41.45,33895,1407085.5,16-MAR-2016,238,INE643A01035,
SONASTEER,EQ,42,43.5,41.25,42.8,42.75,41.7,84368,3591897.1,17-MAR-2016,408,INE643A01035,
SONASTEER,EQ,42.05,42.75,41.55,42.05,42.05,42.8,61134,2568318.3,18-MAR-2016,281,INE643A01035,
SONASTEER,EQ,42.65,43.55,42,42.95,42.95,42.05,93872,4035895.95,21-MAR-2016,488,INE643A01035,
SONASTEER,EQ,43.8,44.7,42.95,44.25,44,42.95,388493,16985098.9,22-MAR-2016,2667,INE643A01035,
SONASTEER,EQ,43.9,47.85,43.35,47.2,47.5,44.25,447537,20806272.85,23-MAR-2016,2979,INE643A01035,
SONASTEER,EQ,47.7,47.8,44.5,45.65,46,47.2,191291,8738609.35,28-MAR-2016,1443,INE643A01035,
SONASTEER,EQ,45.25,47.9,43.6,47.4,47,45.65,206898,9508036.25,29-MAR-2016,1244,INE643A01035,
SONASTEER,EQ,47.95,48,46,46.35,46.45,47.4,68473,3217774.75,30-MAR-2016,438,INE643A01035,
SONASTEER,EQ,46.65,47.65,45.5,46.1,46.45,46.35,44496,2072454.75,31-MAR-2016,536,INE643A01035,
SONASTEER,EQ,45.5,47.9,45.5,47,47,46.1,42383,1986476.45,01-APR-2016,356,INE643A01035,
SONASTEER,EQ,46.7,47.95,46.5,47.15,47.25,47,52988,2501976.6,04-APR-2016,437,INE643A01035,
SONASTEER,EQ,46.45,47.7,45.25,45.5,45.8,47.15,34495,1597211.15,05-APR-2016,407,INE643A01035,
SONASTEER,EQ,45.9,48,45,46.95,48,45.5,74508,3430130.85,06-APR-2016,632,INE643A01035,
SONASTEER,EQ,48,48,46.3,47.55,47.45,46.95,57243,2706458.95,07-APR-2016,344,INE643A01035,
