SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SPECTACLE,BE,1.4,1.4,1.4,1.4,1.4,1.35,50,70,04-JAN-2016,1,INE409H01028,
SPECTACLE,BE,1.35,1.35,1.35,1.35,1.35,1.4,15948,21529.8,05-JAN-2016,10,INE409H01028,
SPECTACLE,BE,1.35,1.35,1.35,1.35,1.35,1.35,350,472.5,20-JAN-2016,1,INE409H01028,
SPECTACLE,BE,1.3,1.3,1.3,1.3,1.3,1.35,555,721.5,22-JAN-2016,1,INE409H01028,
SPECTACLE,BE,1.3,1.3,1.3,1.3,1.3,1.3,100,130,25-JAN-2016,1,INE409H01028,
SPECTACLE,BE,1.3,1.3,1.3,1.3,1.3,1.3,855,1111.5,27-JAN-2016,1,INE409H01028,
SPECTACLE,BE,1.35,1.35,1.35,1.35,1.35,1.3,555,749.25,01-FEB-2016,2,INE409H01028,
SPECTACLE,BE,1.35,1.35,1.35,1.35,1.35,1.35,211,284.85,02-FEB-2016,3,INE409H01028,
SPECTACLE,EQ,1.4,1.4,1.35,1.35,1.35,1.35,386,539.85,10-FEB-2016,7,INE409H01028,
SPECTACLE,EQ,1.3,1.4,1.3,1.4,1.4,1.35,1237,1608.3,25-FEB-2016,6,INE409H01028,
SPECTACLE,EQ,1.35,1.4,1.35,1.4,1.4,1.4,102,137.8,26-FEB-2016,2,INE409H01028,
SPECTACLE,EQ,1.35,1.45,1.35,1.4,1.4,1.4,3876,5241.4,01-MAR-2016,5,INE409H01028,
SPECTACLE,EQ,1.4,1.4,1.4,1.4,1.4,1.4,1,1.4,22-MAR-2016,1,INE409H01028,
