SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SPLPETRO,BE,890,890,845.5,845.5,845.5,921.3,9400,7962545.6,24-MAY-2022,287,INE663A01025,
SPLPETRO,BE,803.25,803.25,803.25,803.25,803.25,845.5,11112,8925714,25-MAY-2022,169,INE663A01025,
SPLPETRO,BE,763.1,763.1,763.1,763.1,763.1,803.25,536,409021.6,26-MAY-2022,37,INE663A01025,
SPLPETRO,BE,724.95,763.1,724.95,746.35,747,763.1,79697,58277460.15,27-MAY-2022,1373,INE663A01025,
SPLPETRO,BE,745,774,745,756,762,746.35,23262,17564278.45,30-MAY-2022,890,INE663A01025,
SPLPETRO,BE,768.75,768.75,722.65,729.65,732,756,17234,12740962.15,31-MAY-2022,483,INE663A01025,
SPLPETRO,BE,748.8,766.1,728,766.1,766.1,729.65,10738,8123833.5,01-JUN-2022,307,INE663A01025,
SPLPETRO,BE,804.4,804.4,795.2,804.4,804.4,766.1,15670,12597072.6,02-JUN-2022,359,INE663A01025,
SPLPETRO,BE,844.6,844.6,816.7,824.45,827,804.4,15561,12851732.3,03-JUN-2022,532,INE663A01025,
SPLPETRO,BE,801.65,856.9,801.65,850.95,854.25,824.45,26487,22068809.85,06-JUN-2022,474,INE663A01025,
SPLPETRO,EQ,897,897.95,858,866.2,864.1,850.95,26197,22997609.75,07-JUN-2022,2348,INE663A01025,
SPLPETRO,EQ,879.8,884.95,848.2,851.4,867.8,866.2,21984,18860031,08-JUN-2022,2319,INE663A01025,
SPLPETRO,EQ,850,870,850,864.25,869,851.4,22900,19666081.9,09-JUN-2022,1614,INE663A01025,
SPLPETRO,EQ,872,937,852.15,917.55,923.95,864.25,125893,111978982.2,10-JUN-2022,6051,INE663A01025,
SPLPETRO,EQ,909,930.1,869,882.85,890,917.55,66934,60077049.55,13-JUN-2022,5514,INE663A01025,
SPLPETRO,EQ,870,909,869,883.6,887.95,882.85,39832,35686270.9,14-JUN-2022,4075,INE663A01025,
SPLPETRO,EQ,899,899,855,871,878,883.6,46090,39942126.7,15-JUN-2022,4180,INE663A01025,
SPLPETRO,EQ,880.3,889.5,835,850.2,855,871,37466,32158566.5,16-JUN-2022,2707,INE663A01025,
SPLPETRO,EQ,855,870,834.1,863.55,868,850.2,31306,26787989.55,17-JUN-2022,3629,INE663A01025,
