SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SPYL,BE,2.15,2.2,2.05,2.1,2.1,2.1,52500,110548.85,01-JAN-2016,35,INE268L01020,
SPYL,BE,2.2,2.2,2.05,2.2,2.2,2.1,172363,378868.55,04-JAN-2016,61,INE268L01020,
SPYL,EQ,2.3,2.3,2.1,2.25,2.3,2.2,377899,822738.3,05-JAN-2016,113,INE268L01020,
SPYL,EQ,2.3,2.35,2.15,2.25,2.3,2.25,109885,247957,06-JAN-2016,64,INE268L01020,
SPYL,EQ,2.25,2.25,2.15,2.2,2.2,2.25,42223,91482.05,07-JAN-2016,22,INE268L01020,
SPYL,EQ,2.1,2.2,2.1,2.15,2.2,2.2,97657,211422.55,08-JAN-2016,39,INE268L01020,
SPYL,EQ,2.2,2.25,2.05,2.15,2.15,2.15,83691,177822.35,11-JAN-2016,52,INE268L01020,
SPYL,EQ,2.05,2.15,2.05,2.05,2.05,2.15,102499,212226.6,12-JAN-2016,39,INE268L01020,
SPYL,EQ,2.1,2.1,1.95,1.95,1.95,2.05,131025,257322.55,13-JAN-2016,62,INE268L01020,
SPYL,EQ,1.95,1.95,1.9,1.95,1.95,1.95,213948,413543.6,14-JAN-2016,51,INE268L01020,
SPYL,EQ,2,2,1.9,1.95,1.9,1.95,60377,117751.25,15-JAN-2016,22,INE268L01020,
SPYL,EQ,2,2,1.9,1.9,1.9,1.95,41040,78267.5,18-JAN-2016,18,INE268L01020,
SPYL,EQ,1.9,1.9,1.85,1.9,1.9,1.9,72858,136166.8,19-JAN-2016,34,INE268L01020,
SPYL,EQ,1.85,1.95,1.85,1.85,1.85,1.9,110425,205351.45,20-JAN-2016,22,INE268L01020,
SPYL,EQ,1.85,1.9,1.8,1.8,1.8,1.85,16265,29605.05,21-JAN-2016,15,INE268L01020,
SPYL,EQ,1.85,1.85,1.8,1.85,1.85,1.8,33076,61190.55,22-JAN-2016,14,INE268L01020,
SPYL,EQ,1.9,1.9,1.9,1.9,1.9,1.85,8900,16910,25-JAN-2016,3,INE268L01020,
SPYL,EQ,1.95,1.95,1.9,1.95,1.95,1.9,48043,93004.85,28-JAN-2016,20,INE268L01020,
SPYL,EQ,1.9,2,1.9,2,2,1.95,55412,110623.8,29-JAN-2016,63,INE268L01020,
SPYL,EQ,2.1,2.1,2,2.1,2.05,2,16166,33337.75,01-FEB-2016,8,INE268L01020,
SPYL,EQ,2.15,2.15,2,2,2,2.1,58020,116923.75,02-FEB-2016,21,INE268L01020,
SPYL,EQ,2,2.1,1.9,1.95,2.05,2,57775,110285.5,03-FEB-2016,27,INE268L01020,
SPYL,EQ,2,2,1.9,2,1.9,1.95,12192,23299.5,04-FEB-2016,15,INE268L01020,
SPYL,EQ,1.9,2,1.85,1.9,1.95,2,38729,74039.55,05-FEB-2016,29,INE268L01020,
SPYL,EQ,1.9,1.95,1.8,1.85,1.9,1.9,76266,141144.55,08-FEB-2016,42,INE268L01020,
