SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SRF,EQ,1265.75,1279.85,1259,1263.1,1259.2,1264.7,41123,52187589.95,01-JAN-2016,2792,INE647A01010,
SRF,EQ,1265.8,1280.95,1235,1247.1,1246,1263.1,114036,143850975.9,04-JAN-2016,7784,INE647A01010,
SRF,EQ,1252,1291,1242,1282.2,1280,1247.1,121999,155031167.75,05-JAN-2016,6905,INE647A01010,
SRF,EQ,1279,1362,1273.05,1347.8,1353.5,1282.2,705934,942592940.15,06-JAN-2016,25623,INE647A01010,
SRF,EQ,1344,1344,1292.2,1305.3,1305.5,1347.8,325460,424523180.5,07-JAN-2016,13118,INE647A01010,
SRF,EQ,1306,1331.4,1306,1317.65,1311,1305.3,125959,166082027.5,08-JAN-2016,6643,INE647A01010,
SRF,EQ,1309,1309.75,1265,1295.45,1295.75,1317.65,74372,95838912.15,11-JAN-2016,5741,INE647A01010,
SRF,EQ,1309,1334.8,1292.1,1302.55,1298.5,1295.45,120090,158040756.75,12-JAN-2016,6246,INE647A01010,
SRF,EQ,1312.7,1320,1226.05,1261.65,1265,1302.55,322505,406339465.75,13-JAN-2016,17781,INE647A01010,
SRF,EQ,1226.15,1255,1221,1235,1227.75,1261.65,148531,183711760.3,14-JAN-2016,10222,INE647A01010,
SRF,EQ,1233,1248.65,1204.15,1213.2,1218.3,1235,137870,168255096.8,15-JAN-2016,9381,INE647A01010,
SRF,EQ,1210.5,1225.8,1132.3,1142.2,1140.7,1213.2,238159,279169185.85,18-JAN-2016,13842,INE647A01010,
SRF,EQ,1132,1155,1107,1134.75,1133.5,1142.2,152962,173214222.35,19-JAN-2016,8993,INE647A01010,
SRF,EQ,1122,1130,1086.8,1104.65,1104,1134.75,162181,179248786.7,20-JAN-2016,9967,INE647A01010,
SRF,EQ,1114,1135.95,1085.1,1115.1,1108.5,1104.65,144317,160767989.9,21-JAN-2016,8603,INE647A01010,
SRF,EQ,1119,1154.25,1117.25,1135.1,1126.15,1115.1,145645,165232297.85,22-JAN-2016,10036,INE647A01010,
SRF,EQ,1140,1164.95,1123.55,1128.05,1131.85,1135.1,118804,136294614.25,25-JAN-2016,9473,INE647A01010,
SRF,EQ,1135,1139,1101.05,1111.15,1109.1,1128.05,123513,137600792.7,27-JAN-2016,7547,INE647A01010,
SRF,EQ,1115,1143.95,1086.35,1136.4,1138,1111.15,349051,392673193,28-JAN-2016,13933,INE647A01010,
SRF,EQ,1144,1174,1116.05,1166.55,1162.95,1136.4,136017,155733812.8,29-JAN-2016,8732,INE647A01010,
SRF,EQ,1166.55,1185.55,1155,1164.35,1169.9,1166.55,97328,114004754.15,01-FEB-2016,6899,INE647A01010,
SRF,EQ,1155,1182,1142.55,1150.05,1143,1164.35,90007,104813205.7,02-FEB-2016,6239,INE647A01010,
SRF,EQ,1138,1143,1093.1,1100.6,1103,1150.05,126437,140359764.3,03-FEB-2016,9934,INE647A01010,
SRF,EQ,1104,1133.8,1073.25,1090.7,1104,1100.6,126665,139826220.15,04-FEB-2016,8092,INE647A01010,
SRF,EQ,1095.2,1143,1081,1138.95,1136,1090.7,164045,184697727.95,05-FEB-2016,14611,INE647A01010,
SRF,EQ,1136,1162,1119.3,1135.9,1139.95,1138.95,127036,145587865.3,08-FEB-2016,8643,INE647A01010,
SRF,EQ,1132.9,1171.05,1080,1159,1157.75,1135.9,239260,275572025.3,09-FEB-2016,13516,INE647A01010,
SRF,EQ,1159,1179.3,1129.6,1157.75,1156,1159,209396,241775200.15,10-FEB-2016,9334,INE647A01010,
SRF,EQ,1151,1162.3,1112.25,1124.3,1112.25,1157.75,176734,200469028.6,11-FEB-2016,8109,INE647A01010,
SRF,EQ,1124,1131.85,1050.8,1094.3,1081,1124.3,108841,118246450.3,12-FEB-2016,6523,INE647A01010,
SRF,EQ,1100,1151.85,1100,1143.55,1149,1094.3,197322,224388681.4,15-FEB-2016,6955,INE647A01010,
SRF,EQ,1140.05,1153.9,1076.75,1084.85,1080,1143.55,110363,122228489.25,16-FEB-2016,6634,INE647A01010,
SRF,EQ,1088,1113.15,1046.45,1099.65,1103.5,1084.85,218923,232912186.05,17-FEB-2016,10904,INE647A01010,
SRF,EQ,1110,1127.65,1081.05,1093.15,1095,1099.65,82987,91443498.25,18-FEB-2016,7320,INE647A01010,
SRF,EQ,1095,1126.4,1087,1107.95,1108.7,1093.15,99483,110235978.2,19-FEB-2016,8768,INE647A01010,
SRF,EQ,1111,1120.2,1085.6,1091.9,1094,1107.95,68278,74839192,22-FEB-2016,4720,INE647A01010,
SRF,EQ,1092.5,1102.95,1071,1078.95,1075,1091.9,119571,129648814.75,23-FEB-2016,6316,INE647A01010,
SRF,EQ,1070,1075,1046,1050.8,1052,1078.95,77666,82204880,24-FEB-2016,6120,INE647A01010,
SRF,EQ,1060.15,1060.15,1023,1036.25,1047.9,1050.8,314530,326766789.2,25-FEB-2016,12444,INE647A01010,
SRF,EQ,1048.6,1067,1044.05,1050.75,1050.05,1036.25,87664,92329397.65,26-FEB-2016,7400,INE647A01010,
SRF,EQ,1057,1062,1025.55,1056.5,1061.95,1050.75,151265,157768459.7,29-FEB-2016,6234,INE647A01010,
SRF,EQ,1057,1109.9,1050.75,1101.2,1106,1056.5,86142,94132766.6,01-MAR-2016,6812,INE647A01010,
SRF,EQ,1116.2,1133,1098.25,1105.1,1105,1101.2,209621,232499176.9,02-MAR-2016,8896,INE647A01010,
SRF,EQ,1110,1154.9,1103.55,1148.05,1153.9,1105.1,120331,136297137,03-MAR-2016,7435,INE647A01010,
SRF,EQ,1161.9,1216.2,1158,1207.5,1208.1,1148.05,233204,278655167.25,04-MAR-2016,11575,INE647A01010,
SRF,EQ,1212,1220,1176.35,1182.7,1180,1207.5,109064,130912253.8,08-MAR-2016,9601,INE647A01010,
SRF,EQ,1177,1204.45,1158.05,1196.35,1194.6,1182.7,157254,187331919.2,09-MAR-2016,9363,INE647A01010,
SRF,EQ,1194.4,1207.95,1176.35,1181.25,1177.3,1196.35,109383,129943355.15,10-MAR-2016,16759,INE647A01010,
SRF,EQ,1187.95,1195.4,1170,1179.25,1178.9,1181.25,90017,106627857,11-MAR-2016,9483,INE647A01010,
SRF,EQ,1185.1,1205,1170.2,1193.2,1199,1179.25,64975,77310306.95,14-MAR-2016,3592,INE647A01010,
SRF,EQ,1200,1236,1187,1202.65,1199.95,1193.2,324657,392803868.35,15-MAR-2016,19853,INE647A01010,
SRF,EQ,1209.9,1215.95,1170,1201.7,1197.1,1202.65,154258,183718921.35,16-MAR-2016,12621,INE647A01010,
SRF,EQ,1210.1,1224.8,1186.4,1193.65,1195,1201.7,114629,138521938,17-MAR-2016,8189,INE647A01010,
SRF,EQ,1204.15,1217.25,1187.95,1208.65,1208.6,1193.65,106221,128283187.95,18-MAR-2016,6463,INE647A01010,
SRF,EQ,1206.15,1232.5,1206.15,1225.55,1227.5,1208.65,194898,238583675.2,21-MAR-2016,7343,INE647A01010,
SRF,EQ,1229.75,1234.7,1203,1226.95,1225.35,1225.55,152649,186201773.85,22-MAR-2016,8099,INE647A01010,
SRF,EQ,1230,1258.55,1221,1249.9,1249.7,1226.95,173826,215957111.9,23-MAR-2016,10804,INE647A01010,
SRF,EQ,1255.8,1284.4,1243.7,1267.95,1282.95,1249.9,279904,352886771.05,28-MAR-2016,14141,INE647A01010,
SRF,EQ,1276.1,1284.65,1236.2,1274.2,1268.1,1267.95,140374,177686018,29-MAR-2016,7466,INE647A01010,
SRF,EQ,1278,1320,1268,1304.15,1315,1274.2,130939,169542533.25,30-MAR-2016,7316,INE647A01010,
SRF,EQ,1305,1333.85,1291.1,1308.45,1293.05,1304.15,242145,318662023,31-MAR-2016,13599,INE647A01010,
SRF,EQ,1295,1295,1264.5,1279.4,1279.05,1308.45,114315,146237252.15,01-APR-2016,9724,INE647A01010,
SRF,EQ,1284,1289.35,1272,1278.5,1274,1279.4,46487,59472203.05,04-APR-2016,3288,INE647A01010,
SRF,EQ,1270.65,1280.4,1227,1231.65,1227,1278.5,110141,137243498.9,05-APR-2016,11256,INE647A01010,
SRF,EQ,1233,1299.85,1230,1286.8,1289,1231.65,177486,226702114.8,06-APR-2016,10105,INE647A01010,
SRF,EQ,1255.75,1284.75,1255.75,1260.2,1259.05,1286.8,94148,119352052.2,07-APR-2016,8657,INE647A01010,
SRF,EQ,1248,1288.5,1245.2,1279.25,1281.7,1260.2,70372,89753431.3,08-APR-2016,5780,INE647A01010,
