SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
STEELXIND,EQ,94.5,100.65,92.4,96.45,96.5,89.3,150991,14507309.85,20-JUL-2017,1138,INE503B01013,
STEELXIND,EQ,99.95,100.2,95,96.8,95.3,96.45,484045,47017923.2,21-JUL-2017,1713,INE503B01013,
STEELXIND,EQ,96.95,96.95,85.55,91.35,91,96.8,480015,43625693.85,24-JUL-2017,1514,INE503B01013,
STEELXIND,EQ,94.1,94.1,91,91.45,91.75,91.35,379669,34835772.8,25-JUL-2017,1254,INE503B01013,
STEELXIND,EQ,91,94,91,91.9,91,92.65,509077,46810932.85,27-JUL-2017,738,INE503B01013,
STEELXIND,EQ,90.45,91.25,88.25,89.2,89,91.9,775232,69202935.55,28-JUL-2017,1545,INE503B01013,
STEELXIND,EQ,88.55,94.6,88.5,93.7,94.5,89.2,880867,81868471.3,31-JUL-2017,1770,INE503B01013,
STEELXIND,EQ,96.5,97,91,92.15,91,93.7,539277,50008203.15,01-AUG-2017,1126,INE503B01013,
STEELXIND,EQ,93.5,93.5,90,90.25,90.2,92.15,531189,48527248.2,02-AUG-2017,1588,INE503B01013,
STEELXIND,EQ,89.5,91.95,87.05,87.5,87.3,90.25,342544,30259612.2,03-AUG-2017,914,INE503B01013,
STEELXIND,EQ,91,95.4,87.05,88.05,88,87.5,557176,49701453.55,04-AUG-2017,1272,INE503B01013,
STEELXIND,EQ,86.15,89.95,81.15,85.55,86,88.05,618704,53899171.75,07-AUG-2017,1057,INE503B01013,
STEELXIND,EQ,88,90,83,85,83.7,85.55,444751,37553169.5,08-AUG-2017,953,INE503B01013,
STEELXIND,EQ,85,86.5,82.45,83.75,83.5,85,416424,34811713.75,09-AUG-2017,940,INE503B01013,
STEELXIND,EQ,83.8,85.6,77.1,84.5,85.5,83.75,440071,36926736.7,10-AUG-2017,1711,INE503B01013,
STEELXIND,EQ,81.05,85.55,80.6,81.75,81.45,84.5,631543,52269702.45,11-AUG-2017,1253,INE503B01013,
STEELXIND,EQ,81,83.95,81,82.95,82.6,81.75,360366,29839121.7,14-AUG-2017,1393,INE503B01013,
STEELXIND,EQ,82.95,84.1,82.05,83.05,83.6,82.95,262291,21696554.55,16-AUG-2017,1092,INE503B01013,
STEELXIND,EQ,83,86.25,82,84.3,86,83.05,194380,16069690.4,17-AUG-2017,925,INE503B01013,
STEELXIND,EQ,83.95,84.9,82.45,84.25,84.9,84.3,438761,36584335.45,18-AUG-2017,1081,INE503B01013,
STEELXIND,EQ,84.8,92,79,80.35,79.5,84.25,260475,22183517.95,21-AUG-2017,1695,INE503B01013,
STEELXIND,EQ,81.05,84.1,78.9,83.95,84,80.35,219938,17985792.75,22-AUG-2017,915,INE503B01013,
STEELXIND,EQ,84.45,84.5,83.2,83.5,84.4,83.95,405764,33992497.05,23-AUG-2017,748,INE503B01013,
STEELXIND,EQ,81.95,84.9,81.9,84.45,83.2,83.5,226146,18869276.3,24-AUG-2017,624,INE503B01013,
STEELXIND,EQ,84.25,86,82.2,83.25,82.5,84.45,194756,16245204.7,28-AUG-2017,677,INE503B01013,
