SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SURAJEST,EQ,340,354.45,324.05,334.5,334.9,360,5833892,1999678266.7,26-DEC-2023,105191,INE843S01025,
SURAJEST,EQ,344.95,346.65,337.15,338.2,337.95,334.5,1194763,407929187.3,27-DEC-2023,24491,INE843S01025,
SURAJEST,EQ,340,341.9,330.55,331.9,332,338.2,499706,166765025.5,28-DEC-2023,16044,INE843S01025,
SURAJEST,EQ,333,338.55,330.05,330.6,330.1,331.9,775562,258682872.55,29-DEC-2023,18497,INE843S01025,
SURAJEST,EQ,330.8,334.45,329.05,330.55,330.95,330.6,231475,76943411.1,01-JAN-2024,7606,INE843S01025,
SURAJEST,EQ,332.2,337.65,329.05,335.15,336.25,330.55,420665,140423582.5,02-JAN-2024,9869,INE843S01025,
SURAJEST,EQ,335,359.45,333.05,356.25,353.5,335.15,1608913,565797564.4,03-JAN-2024,35812,INE843S01025,
SURAJEST,EQ,361.95,364.8,350.55,353.85,353.5,356.25,703441,252189780.7,04-JAN-2024,20725,INE843S01025,
SURAJEST,EQ,356.25,360.45,348.25,352.15,350.75,353.85,435255,154186008.35,05-JAN-2024,10004,INE843S01025,
SURAJEST,EQ,355,355.8,339.6,341.2,342.9,352.15,370942,127644499.15,08-JAN-2024,8802,INE843S01025,
SURAJEST,EQ,344.95,346.05,340.25,344.2,343.4,341.2,181667,62439212,09-JAN-2024,6082,INE843S01025,
