SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SWANENERGY,EQ,69.55,69.65,68.65,69.05,68.65,69.35,259516,17943347.9,01-JAN-2016,894,INE665A01038,
SWANENERGY,EQ,69.15,69.45,68.45,68.65,68.75,69.05,360164,24894639.3,04-JAN-2016,1158,INE665A01038,
SWANENERGY,EQ,69.25,69.25,66.95,67.35,67,68.65,445668,30515398.7,05-JAN-2016,1741,INE665A01038,
SWANENERGY,EQ,67.9,68.25,67.2,67.4,67.55,67.35,294591,19952223.95,06-JAN-2016,1086,INE665A01038,
SWANENERGY,EQ,67.75,67.85,66.8,67.15,67.45,67.4,314329,21160951.75,07-JAN-2016,1300,INE665A01038,
SWANENERGY,EQ,67.5,67.8,67.05,67.3,67.2,67.15,330980,22257237.95,08-JAN-2016,910,INE665A01038,
SWANENERGY,EQ,67.5,67.65,67,67.25,67.05,67.3,464292,31256700.15,11-JAN-2016,1850,INE665A01038,
SWANENERGY,EQ,67.45,67.85,66.8,67.4,66.8,67.25,319869,21503598.45,12-JAN-2016,1586,INE665A01038,
SWANENERGY,EQ,67.5,67.5,66.6,66.8,66.85,67.4,406773,27265715.4,13-JAN-2016,2132,INE665A01038,
SWANENERGY,EQ,67.25,67.3,66.1,66.5,66.15,66.8,380997,25305392.85,14-JAN-2016,1579,INE665A01038,
SWANENERGY,EQ,66.9,67.95,66,66.7,66,66.5,343619,22781592.85,15-JAN-2016,1431,INE665A01038,
SWANENERGY,EQ,68.8,68.8,66,66.3,66.7,66.7,295172,19533184,18-JAN-2016,1646,INE665A01038,
SWANENERGY,EQ,66.9,66.9,65.2,66,65.45,66.3,263304,17432243.1,19-JAN-2016,1285,INE665A01038,
SWANENERGY,EQ,65.85,67,65.1,65.85,65.35,66,359261,23556574.9,20-JAN-2016,1650,INE665A01038,
SWANENERGY,EQ,69.25,69.3,65,65.75,66,65.85,335971,22071788.75,21-JAN-2016,2346,INE665A01038,
SWANENERGY,EQ,67.45,67.95,65.1,66.25,67.95,65.75,304720,20031775.75,22-JAN-2016,1594,INE665A01038,
SWANENERGY,EQ,67.65,67.9,65.15,66.2,65.75,66.25,321674,21187509.4,25-JAN-2016,1608,INE665A01038,
SWANENERGY,EQ,66.2,66.65,65.35,65.7,65.5,66.2,324676,21364365.7,27-JAN-2016,1700,INE665A01038,
SWANENERGY,EQ,66.1,66.1,65,65.75,65,65.7,236438,15497160.95,28-JAN-2016,729,INE665A01038,
SWANENERGY,EQ,66.9,66.9,65.2,65.35,65.65,65.75,277751,18232910.15,29-JAN-2016,873,INE665A01038,
SWANENERGY,EQ,65.85,65.85,65.05,65.3,65.15,65.35,251288,16409925.65,01-FEB-2016,694,INE665A01038,
SWANENERGY,EQ,65.35,65.6,65,65.25,65,65.3,299022,19504970.75,02-FEB-2016,1382,INE665A01038,
SWANENERGY,EQ,65.3,65.4,65,65.2,65.3,65.25,277124,18064525.5,03-FEB-2016,904,INE665A01038,
SWANENERGY,EQ,65.5,65.5,64.55,65,64.8,65.2,281917,18367706.95,04-FEB-2016,1105,INE665A01038,
SWANENERGY,EQ,65.35,65.5,64.75,65.05,64.85,65,302064,19669962.6,05-FEB-2016,1204,INE665A01038,
SWANENERGY,EQ,65.45,68.95,64.15,64.8,64.5,65.05,295496,19176137.7,08-FEB-2016,1915,INE665A01038,
SWANENERGY,EQ,65.2,65.3,64.05,64.75,65.25,64.8,327303,21098516.6,09-FEB-2016,1531,INE665A01038,
SWANENERGY,EQ,64.95,64.95,64,64.55,64.6,64.75,233720,15007528.45,10-FEB-2016,875,INE665A01038,
SWANENERGY,EQ,65,65,64,64.1,64,64.55,309623,19879471.35,11-FEB-2016,929,INE665A01038,
SWANENERGY,EQ,64.5,64.85,64,64.25,64,64.1,278226,17869790.45,12-FEB-2016,1041,INE665A01038,
SWANENERGY,EQ,65.4,65.45,64,64.3,64.15,64.25,265483,17051356.9,15-FEB-2016,1094,INE665A01038,
SWANENERGY,EQ,64.5,64.95,64,64.4,64,64.3,266054,17078972.6,16-FEB-2016,975,INE665A01038,
SWANENERGY,EQ,64.5,64.5,63.75,64,63.75,64.4,259931,16669298.2,17-FEB-2016,811,INE665A01038,
SWANENERGY,EQ,64.45,64.45,62.85,63.75,63,64,281084,18017310.95,18-FEB-2016,646,INE665A01038,
SWANENERGY,EQ,63.5,63.5,62.7,63.05,62.9,63.75,284647,17977756.5,19-FEB-2016,872,INE665A01038,
SWANENERGY,EQ,63.95,63.95,62.95,63,63,63.05,237184,14968625,22-FEB-2016,586,INE665A01038,
SWANENERGY,EQ,63.4,64.65,62.8,63.1,63.05,63,216041,13635791.05,23-FEB-2016,543,INE665A01038,
SWANENERGY,EQ,63.4,63.4,62.95,63.15,63.35,63.1,233624,14732758.45,24-FEB-2016,299,INE665A01038,
SWANENERGY,EQ,63.5,70.7,63,63.25,63.65,63.15,226793,14309772.8,25-FEB-2016,477,INE665A01038,
SWANENERGY,EQ,63.4,63.45,62.55,62.9,63,63.25,292551,18469233.5,26-FEB-2016,763,INE665A01038,
SWANENERGY,EQ,63.2,63.5,63,63.15,63.2,62.9,234362,14793541.75,29-FEB-2016,790,INE665A01038,
SWANENERGY,EQ,63.45,63.65,63,63.3,63,63.15,296414,18722090.8,01-MAR-2016,973,INE665A01038,
SWANENERGY,EQ,63.5,64.55,63.05,63.6,64.3,63.3,303990,19247516.2,02-MAR-2016,1256,INE665A01038,
SWANENERGY,EQ,63.5,64.45,63.15,64,63.5,63.6,324195,20632258.9,03-MAR-2016,2046,INE665A01038,
SWANENERGY,EQ,64,64.95,63.25,64.1,64.85,64,289755,18451564.6,04-MAR-2016,1848,INE665A01038,
SWANENERGY,EQ,64.1,64.5,63.15,63.8,63.6,64.1,322951,20503570.35,08-MAR-2016,1508,INE665A01038,
SWANENERGY,EQ,63.7,64.75,63.1,63.8,64,63.8,350630,22259879.25,09-MAR-2016,1549,INE665A01038,
SWANENERGY,EQ,64,65.7,63.15,63.4,63.15,63.8,287794,18342948.8,10-MAR-2016,1239,INE665A01038,
SWANENERGY,EQ,63.85,63.85,63,63.15,63.3,63.4,229698,14542837.05,11-MAR-2016,549,INE665A01038,
SWANENERGY,EQ,63.7,63.7,62.85,63.1,63.15,63.15,222189,14034102.55,14-MAR-2016,750,INE665A01038,
SWANENERGY,EQ,63.35,63.35,62.35,62.6,63.3,63.1,323010,20319313.35,15-MAR-2016,882,INE665A01038,
SWANENERGY,EQ,63.1,63.1,62.15,62.45,62.75,62.6,277303,17303755.9,16-MAR-2016,978,INE665A01038,
SWANENERGY,EQ,62.9,62.9,61.45,61.9,62.3,62.45,277300,17228021.95,17-MAR-2016,1084,INE665A01038,
SWANENERGY,EQ,62.15,62.2,61.5,61.8,61.5,61.9,216343,13397624.8,18-MAR-2016,520,INE665A01038,
SWANENERGY,EQ,62,62.3,61.25,61.45,61.25,61.8,278588,17170824.1,21-MAR-2016,1088,INE665A01038,
SWANENERGY,EQ,62,62.3,61.05,61.3,61.4,61.45,299121,18393316.75,22-MAR-2016,1148,INE665A01038,
SWANENERGY,EQ,61.7,61.7,60.1,60.35,60.1,61.3,251754,15256983.7,23-MAR-2016,1034,INE665A01038,
SWANENERGY,EQ,60.7,60.7,59.8,60.15,59.85,60.35,294856,17744410.85,28-MAR-2016,871,INE665A01038,
SWANENERGY,EQ,60.7,60.8,60,60.3,60.05,60.15,245812,14808756.9,29-MAR-2016,676,INE665A01038,
SWANENERGY,EQ,60.65,60.65,60.05,60.3,60.5,60.3,234753,14131071.85,30-MAR-2016,558,INE665A01038,
SWANENERGY,EQ,60.4,60.8,60.1,60.25,60.15,60.3,299881,18086574.5,31-MAR-2016,866,INE665A01038,
SWANENERGY,EQ,60.7,60.7,60.05,60.45,60.4,60.25,278609,16782553.75,01-APR-2016,779,INE665A01038,
SWANENERGY,EQ,60.7,61.3,60.1,60.6,60.9,60.45,260935,15772035.55,04-APR-2016,1130,INE665A01038,
SWANENERGY,EQ,62.85,62.85,60.05,60.85,60.65,60.6,314992,19040888.45,05-APR-2016,1259,INE665A01038,
SWANENERGY,EQ,60.8,61.05,60,60.35,60.45,60.85,336462,20318151.4,06-APR-2016,1195,INE665A01038,
SWANENERGY,EQ,60.75,60.85,60.05,60.4,60.5,60.35,240490,14490054.75,07-APR-2016,592,INE665A01038,
SWANENERGY,EQ,60.7,62.4,60.1,61,61,60.4,349051,21067957.4,08-APR-2016,1638,INE665A01038,
SWANENERGY,EQ,60.85,61.75,60.25,60.85,60.35,61,291853,17687841.2,11-APR-2016,1540,INE665A01038,
SWANENERGY,EQ,61.9,61.9,60.35,60.75,60.5,60.85,309327,18764476.7,12-APR-2016,1613,INE665A01038,
SWANENERGY,EQ,61.85,61.85,60.25,60.5,60.55,60.75,354426,21464251,13-APR-2016,1337,INE665A01038,
SWANENERGY,EQ,64,64,60.25,60.45,60.25,60.5,341056,20629146.45,18-APR-2016,1230,INE665A01038,
SWANENERGY,EQ,60.9,60.9,59.9,60.2,60.4,60.45,320982,19328339.1,20-APR-2016,947,INE665A01038,
SWANENERGY,EQ,60.45,60.9,60.05,60.55,60.45,60.2,301369,18206305.35,21-APR-2016,1483,INE665A01038,
SWANENERGY,EQ,61.05,61.05,60,60.15,60.1,60.55,309559,18708855,22-APR-2016,1657,INE665A01038,
SWANENERGY,EQ,60.9,60.9,59.85,60.15,60.4,60.15,266440,16056598,25-APR-2016,1354,INE665A01038,
SWANENERGY,EQ,60.75,60.75,60,60.25,60,60.15,284739,17156641.2,26-APR-2016,874,INE665A01038,
SWANENERGY,EQ,61,61,60,60.2,60.2,60.25,236505,14223296.4,27-APR-2016,1061,INE665A01038,
SWANENERGY,EQ,60.65,60.65,59.7,60.15,60,60.2,319478,19285101.85,28-APR-2016,1468,INE665A01038,
SWANENERGY,EQ,61.05,61.05,60,60.3,60.1,60.15,252996,15231798.5,29-APR-2016,442,INE665A01038,
SWANENERGY,EQ,60.5,60.5,59.8,60.1,59.8,60.3,303019,18210787.15,02-MAY-2016,1170,INE665A01038,
SWANENERGY,EQ,60.45,60.75,59.8,60.15,60,60.1,292789,17632634.85,03-MAY-2016,837,INE665A01038,
SWANENERGY,EQ,60.45,60.45,59.7,60.05,59.7,60.15,382732,22989116.1,04-MAY-2016,1172,INE665A01038,
SWANENERGY,EQ,61,61,58,59.3,59.2,60.05,334299,20021932.7,05-MAY-2016,1375,INE665A01038,
SWANENERGY,EQ,59.85,59.85,58.8,59.2,59.1,59.3,300747,17794513.2,06-MAY-2016,807,INE665A01038,
SWANENERGY,EQ,59.75,59.75,58.4,58.55,58.45,59.2,241797,14198370.3,09-MAY-2016,696,INE665A01038,
SWANENERGY,EQ,58.6,59,58,58.05,58,58.55,279996,16301586.5,10-MAY-2016,611,INE665A01038,
SWANENERGY,EQ,58.15,58.4,58,58.1,58.3,58.05,262516,15249619,11-MAY-2016,573,INE665A01038,
SWANENERGY,EQ,58.25,58.45,58,58.15,58.35,58.1,279881,16257681.3,12-MAY-2016,510,INE665A01038,
