SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SYNCOM,EQ,10.8,11.7,10.6,11.15,11.25,10.65,995210,11135915.55,01-JAN-2016,2395,INE602K01014,
SYNCOM,EQ,11.45,11.65,10.85,11.2,11.15,11.15,1401087,15649021.1,04-JAN-2016,1579,INE602K01014,
SYNCOM,EQ,11.05,12.3,10.5,11.75,12.3,11.2,9086748,101460474.9,05-JAN-2016,5232,INE602K01014,
SYNCOM,EQ,12.9,12.9,12.9,12.9,12.9,11.75,842987,10874532.3,06-JAN-2016,568,INE602K01014,
SYNCOM,EQ,13.9,13.9,11.95,12.65,12.5,12.9,5471676,71269911.65,07-JAN-2016,6867,INE602K01014,
SYNCOM,EQ,12.55,13.9,12.55,13.65,13.75,12.65,4073543,53806107.25,08-JAN-2016,4965,INE602K01014,
SYNCOM,EQ,13.45,15,12.9,14.8,14.95,13.65,4455809,62757498.3,11-JAN-2016,6912,INE602K01014,
SYNCOM,EQ,15.25,15.45,14.5,14.85,14.7,14.8,3333703,50072949.55,12-JAN-2016,6667,INE602K01014,
SYNCOM,EQ,15,15.15,14.15,14.15,14.15,14.85,759087,11107042.05,13-JAN-2016,1303,INE602K01014,
SYNCOM,EQ,13.45,13.45,13.45,13.45,13.45,14.15,36831,495376.95,14-JAN-2016,102,INE602K01014,
SYNCOM,EQ,12.8,12.8,12.8,12.8,12.8,13.45,30845,394816,15-JAN-2016,69,INE602K01014,
SYNCOM,EQ,12.2,12.2,12.2,12.2,12.2,12.8,16203,197676.6,18-JAN-2016,57,INE602K01014,
SYNCOM,EQ,11.6,11.6,11.6,11.6,11.6,12.2,43775,507790,19-JAN-2016,90,INE602K01014,
SYNCOM,EQ,11.05,11.05,11.05,11.05,11.05,11.6,22786,251785.3,20-JAN-2016,69,INE602K01014,
SYNCOM,EQ,10.5,11.2,10.5,10.5,10.5,11.05,1871383,19942119.4,21-JAN-2016,1637,INE602K01014,
SYNCOM,EQ,10.45,10.7,10,10,10,10.5,1826987,18516059.6,22-JAN-2016,2061,INE602K01014,
SYNCOM,EQ,9.75,10.5,9.6,10.5,10.5,10,1709054,17788804.35,25-JAN-2016,1290,INE602K01014,
SYNCOM,EQ,10.8,10.9,10,10,10,10.5,975635,9921194.3,27-JAN-2016,1263,INE602K01014,
SYNCOM,EQ,9.8,9.95,9.5,9.5,9.5,10,995307,9552006.35,28-JAN-2016,1210,INE602K01014,
SYNCOM,EQ,9.2,9.55,9.05,9.1,9.05,9.5,703655,6468934.9,29-JAN-2016,1050,INE602K01014,
SYNCOM,EQ,9.45,9.55,9.1,9.35,9.2,9.1,1506824,14238866.8,01-FEB-2016,1276,INE602K01014,
