SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
TARAJEWELS,EQ,63.7,63.7,59.1,61.1,60.75,59.45,456146,27896210.5,01-JAN-2016,2808,INE799L01016,
TARAJEWELS,EQ,60.4,61.25,56.15,58.2,58.4,61.1,273390,16023306.05,04-JAN-2016,1628,INE799L01016,
TARAJEWELS,EQ,58,60.7,57,58.25,58.3,58.2,244907,14442154.7,05-JAN-2016,1464,INE799L01016,
TARAJEWELS,EQ,58.35,59.9,56.55,57.8,58.7,58.25,297931,17288272.05,06-JAN-2016,1161,INE799L01016,
TARAJEWELS,EQ,55.25,57.5,53.2,53.75,53.95,57.8,155783,8622187.45,07-JAN-2016,966,INE799L01016,
TARAJEWELS,EQ,56.5,56.5,53.4,54.5,54.6,53.75,159989,8750661.5,08-JAN-2016,1068,INE799L01016,
TARAJEWELS,EQ,53.9,56.4,52.7,54.85,54.8,54.5,110961,6083481.5,11-JAN-2016,630,INE799L01016,
TARAJEWELS,EQ,55.7,56.1,50.2,51.6,51.75,54.85,190675,10028339.95,12-JAN-2016,1768,INE799L01016,
TARAJEWELS,EQ,53.2,53.8,46.45,47.55,47.1,51.6,287381,13912228.2,13-JAN-2016,2054,INE799L01016,
TARAJEWELS,EQ,47,49.9,44.25,47.4,48.5,47.55,226374,10775424.5,14-JAN-2016,1726,INE799L01016,
TARAJEWELS,EQ,48.75,48.85,42.75,43.7,44.6,47.4,148359,6732945.5,15-JAN-2016,1105,INE799L01016,
TARAJEWELS,EQ,43.5,44.7,40.4,41.2,40.7,43.7,141852,5961141.8,18-JAN-2016,1442,INE799L01016,
TARAJEWELS,EQ,41,43.25,41,43.25,43.25,41.2,70905,3024699.4,19-JAN-2016,484,INE799L01016,
TARAJEWELS,EQ,42.2,44,41.1,41.1,41.1,43.25,187752,7901830.65,20-JAN-2016,1634,INE799L01016,
TARAJEWELS,EQ,41.9,43.1,39.65,40.1,39.8,41.1,76107,3155738.2,21-JAN-2016,646,INE799L01016,
TARAJEWELS,EQ,41,42.1,41,42.1,42.1,40.1,47992,2010999.4,22-JAN-2016,248,INE799L01016,
TARAJEWELS,EQ,43.9,44.2,42.5,44.2,44.2,42.1,64325,2826888.9,25-JAN-2016,422,INE799L01016,
TARAJEWELS,EQ,46.4,46.4,46.4,46.4,46.4,44.2,21805,1011752,27-JAN-2016,114,INE799L01016,
TARAJEWELS,EQ,48.7,48.7,45.5,47.1,45.7,46.4,211965,10045631.35,28-JAN-2016,1645,INE799L01016,
TARAJEWELS,EQ,46,47.9,45.6,47.2,47,47.1,171776,8082099.7,29-JAN-2016,973,INE799L01016,
TARAJEWELS,EQ,47.3,48,45.8,46.05,46,47.2,20168,941236.4,01-FEB-2016,207,INE799L01016,
TARAJEWELS,EQ,46.95,48,45.75,47.2,47,46.05,57825,2722576.5,02-FEB-2016,335,INE799L01016,
TARAJEWELS,EQ,47.2,47.5,44.85,45.15,44.85,47.2,42668,1948220.8,03-FEB-2016,323,INE799L01016,
TARAJEWELS,EQ,46,46,43.2,43.45,43.35,45.15,48507,2166068.15,04-FEB-2016,316,INE799L01016,
TARAJEWELS,EQ,43.25,45,41.05,43.4,43.25,43.45,42217,1838078.85,05-FEB-2016,409,INE799L01016,
