SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
TATAGOLD,EQ,7.2,7.2,6.15,7.1,7.05,6,3220424,23087213.45,17-JAN-2024,4262,INF277KA1976,
TATAGOLD,EQ,8.5,8.5,6.1,6.2,6.3,7.1,5678142,36985665.75,18-JAN-2024,7807,INF277KA1976,
TATAGOLD,EQ,6.35,6.6,6.2,6.25,6.25,6.2,2310533,14494125,19-JAN-2024,4401,INF277KA1976,
TATAGOLD,EQ,6.3,6.55,6.15,6.2,6.2,6.25,1076212,6698832.8,23-JAN-2024,2816,INF277KA1976,
TATAGOLD,EQ,6.25,6.3,6.2,6.25,6.25,6.2,674329,4202744.25,24-JAN-2024,2463,INF277KA1976,
TATAGOLD,EQ,6.3,6.35,6.15,6.2,6.25,6.25,925304,5760928.75,25-JAN-2024,2451,INF277KA1976,
TATAGOLD,EQ,6.25,6.35,6.2,6.25,6.25,6.2,1674202,10453621,29-JAN-2024,3488,INF277KA1976,
TATAGOLD,EQ,6.3,6.3,6.2,6.25,6.25,6.25,740450,4616173.55,30-JAN-2024,2328,INF277KA1976,
TATAGOLD,EQ,6.3,6.3,6.2,6.3,6.3,6.25,803154,5018196.75,31-JAN-2024,2467,INF277KA1976,
TATAGOLD,EQ,6.3,6.39,6.21,6.27,6.29,6.3,744161,4680120.7,01-FEB-2024,2737,INF277KA1976,
TATAGOLD,EQ,6.28,6.38,6.27,6.32,6.33,6.27,1218409,7685000.78,02-FEB-2024,3806,INF277KA1976,
TATAGOLD,EQ,6.33,6.9,6.21,6.23,6.22,6.32,3527274,22296505.28,05-FEB-2024,7535,INF277KA1976,
TATAGOLD,EQ,6.3,6.35,6.22,6.24,6.24,6.23,2407249,15042621.3,06-FEB-2024,4228,INF277KA1976,
TATAGOLD,EQ,6.24,6.35,6.23,6.25,6.26,6.24,1190433,7443599.97,07-FEB-2024,4505,INF277KA1976,
TATAGOLD,EQ,6.25,6.35,6.21,6.22,6.24,6.25,1060894,6619954.22,08-FEB-2024,4129,INF277KA1976,
TATAGOLD,EQ,6.34,6.34,6.22,6.24,6.24,6.22,857010,5348154.05,09-FEB-2024,3522,INF277KA1976,
TATAGOLD,EQ,6.24,6.42,6.2,6.21,6.23,6.24,1484780,9234650.2,12-FEB-2024,4364,INF277KA1976,
TATAGOLD,EQ,6.21,6.29,6,6.22,6.22,6.21,785822,4885383.86,13-FEB-2024,3301,INF277KA1976,
TATAGOLD,EQ,6.23,6.26,6.12,6.14,6.15,6.22,840301,5163285.67,14-FEB-2024,4055,INF277KA1976,
TATAGOLD,EQ,6.21,6.21,6.11,6.13,6.14,6.14,1660868,10184868.71,15-FEB-2024,3160,INF277KA1976,
TATAGOLD,EQ,6.13,6.24,6.13,6.17,6.17,6.13,801705,4940574.69,16-FEB-2024,3323,INF277KA1976,
TATAGOLD,EQ,6.18,6.34,6.17,6.21,6.22,6.17,1049370,6520924.3,19-FEB-2024,4851,INF277KA1976,
TATAGOLD,EQ,6.21,6.34,6.17,6.19,6.2,6.21,629386,3901841.89,20-FEB-2024,3407,INF277KA1976,
TATAGOLD,EQ,6.19,6.27,6.19,6.2,6.21,6.19,1778125,11040725.93,21-FEB-2024,3458,INF277KA1976,
TATAGOLD,EQ,6.21,6.25,6.18,6.2,6.19,6.2,604906,3747697.15,22-FEB-2024,2910,INF277KA1976,
TATAGOLD,EQ,6.2,6.34,6.16,6.16,6.16,6.2,712312,4400326.4,23-FEB-2024,3205,INF277KA1976,
TATAGOLD,EQ,6.16,6.22,6.11,6.19,6.2,6.16,868541,5379282.97,26-FEB-2024,3624,INF277KA1976,
TATAGOLD,EQ,6.2,6.29,6.19,6.2,6.21,6.19,623489,3868906.27,27-FEB-2024,3097,INF277KA1976,
TATAGOLD,EQ,6.2,6.21,6.11,6.18,6.2,6.2,1293443,7985130.28,28-FEB-2024,2908,INF277KA1976,
TATAGOLD,EQ,6.18,6.3,6.18,6.21,6.22,6.18,769739,4774405.63,29-FEB-2024,2645,INF277KA1976,
TATAGOLD,EQ,6.21,6.33,6.17,6.22,6.23,6.21,799714,4978939.89,01-MAR-2024,3389,INF277KA1976,
TATAGOLD,EQ,6.3,6.42,6.28,6.32,6.33,6.29,1850862,11711449.98,04-MAR-2024,5543,INF277KA1976,
TATAGOLD,EQ,6.33,6.61,6.3,6.42,6.43,6.32,2196606,14093550.68,05-MAR-2024,6272,INF277KA1976,
TATAGOLD,EQ,6.42,6.65,6.4,6.44,6.45,6.42,1676625,10805288.18,06-MAR-2024,5532,INF277KA1976,
TATAGOLD,EQ,6.46,6.64,6.45,6.51,6.52,6.44,3303128,21488652.95,07-MAR-2024,7077,INF277KA1976,
TATAGOLD,EQ,6.51,7,6.51,6.58,6.6,6.51,3793492,25004797.71,11-MAR-2024,10085,INF277KA1976,
TATAGOLD,EQ,6.68,6.9,6.53,6.56,6.57,6.58,2152188,14175895.22,12-MAR-2024,6140,INF277KA1976,
TATAGOLD,EQ,6.84,6.84,6.4,6.5,6.54,6.56,2091871,13614864.79,13-MAR-2024,5362,INF277KA1976,
TATAGOLD,EQ,6.5,6.7,6.27,6.53,6.55,6.5,2481571,16223504.82,14-MAR-2024,5172,INF277KA1976,
TATAGOLD,EQ,6.53,6.75,6.53,6.53,6.55,6.53,966081,6325184.6,15-MAR-2024,4276,INF277KA1976,
TATAGOLD,EQ,6.53,6.69,6.45,6.51,6.52,6.53,807064,5245985.52,18-MAR-2024,4369,INF277KA1976,
TATAGOLD,EQ,6.51,6.69,6.51,6.52,6.53,6.51,744449,4857595.67,19-MAR-2024,3366,INF277KA1976,
TATAGOLD,EQ,6.52,6.6,6.51,6.51,6.54,6.52,1639836,10725866.72,20-MAR-2024,3580,INF277KA1976,
TATAGOLD,EQ,6.51,6.76,6.51,6.65,6.66,6.51,1496415,9935338.36,21-MAR-2024,4753,INF277KA1976,
