SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
TATASTEEL,EQ,259,259.9,253.4,257.4,257.3,259.8,3151567,808438863.35,01-JAN-2016,26006,INE081A01012,
TATASTEEL,EQ,255,263.2,253.1,256.9,259,257.4,6981400,1801707718.45,04-JAN-2016,54636,INE081A01012,
TATASTEEL,EQ,257.55,276.4,257.55,274.3,272.7,256.9,15008921,4053014352.85,05-JAN-2016,121198,INE081A01012,
TATASTEEL,EQ,272.8,274.6,266,268.75,268.75,274.3,7454725,2014228010.55,06-JAN-2016,74296,INE081A01012,
TATASTEEL,EQ,263,263.3,248.2,249.9,251,268.75,9503720,2424659625.55,07-JAN-2016,83133,INE081A01012,
TATASTEEL,EQ,252,256.3,249.05,253.6,254.55,249.9,6299465,1594859684.7,08-JAN-2016,70345,INE081A01012,
TATASTEEL,EQ,247,253.35,244.25,251.65,252.9,253.6,6085363,1515429991.3,11-JAN-2016,56078,INE081A01012,
TATASTEEL,EQ,253.05,255.3,243.15,245.75,245.55,251.65,5425352,1348556202.1,12-JAN-2016,50211,INE081A01012,
TATASTEEL,EQ,248.5,251.8,237,246.6,246.35,245.75,7482478,1831684848.4,13-JAN-2016,63311,INE081A01012,
TATASTEEL,EQ,235,242.55,231.5,238.75,239.45,246.6,8884802,2110490501.85,14-JAN-2016,71899,INE081A01012,
TATASTEEL,EQ,242.5,243,228.1,229.7,229.5,238.75,5991645,1410686433.4,15-JAN-2016,53980,INE081A01012,
TATASTEEL,EQ,229.8,244,225.2,235.9,237.4,229.7,8417421,1980729415.1,18-JAN-2016,68248,INE081A01012,
TATASTEEL,EQ,237.55,240.95,231.25,238,237.45,235.9,6304102,1490706486.4,19-JAN-2016,59826,INE081A01012,
TATASTEEL,EQ,232.8,234,226.5,232,232.2,238,5486812,1265317390.65,20-JAN-2016,46955,INE081A01012,
TATASTEEL,EQ,234.7,239.35,231.25,235.6,236.1,232,6245316,1471457916.75,21-JAN-2016,53883,INE081A01012,
TATASTEEL,EQ,238.3,250.8,237.65,247.8,247.7,235.6,6510761,1595326323.55,22-JAN-2016,103375,INE081A01012,
TATASTEEL,EQ,249,256.4,248.8,254.9,255.05,247.8,5576543,1414327939.4,25-JAN-2016,61284,INE081A01012,
TATASTEEL,EQ,255,259.9,253.4,257.6,256.65,254.9,6235665,1601344467.8,27-JAN-2016,59347,INE081A01012,
TATASTEEL,EQ,257,258.45,252.4,254.2,254,257.6,6016704,1533945497.75,28-JAN-2016,43982,INE081A01012,
TATASTEEL,EQ,254.65,258.8,247.45,249.7,248.35,254.2,6747965,1706639761.65,29-JAN-2016,49299,INE081A01012,
TATASTEEL,EQ,248.9,254.95,246.5,249.3,248.95,249.7,4420717,1110589432.1,01-FEB-2016,40819,INE081A01012,
TATASTEEL,EQ,250.25,251,230.1,231.45,230.2,249.3,8388473,1994960282.35,02-FEB-2016,74173,INE081A01012,
TATASTEEL,EQ,227.9,233.9,221.45,224,222.5,231.45,7791522,1777430936.9,03-FEB-2016,67232,INE081A01012,
TATASTEEL,EQ,224.4,228.6,219,225.95,227.7,224,11709422,2609070139.65,04-FEB-2016,101475,INE081A01012,
TATASTEEL,EQ,216,238.3,216,233.85,235.75,225.95,25803399,5824304617.15,05-FEB-2016,187555,INE081A01012,
TATASTEEL,EQ,238.6,243.95,232.05,234.1,235,233.85,10332441,2449919864.2,08-FEB-2016,87660,INE081A01012,
TATASTEEL,EQ,230.9,237.3,230.1,235.5,236.8,234.1,7562851,1771497033.9,09-FEB-2016,61391,INE081A01012,
TATASTEEL,EQ,234.85,237.75,227.1,235.7,237,235.5,7616029,1769462491.8,10-FEB-2016,67863,INE081A01012,
TATASTEEL,EQ,235.95,237.3,220.85,224.5,225.5,235.7,6151670,1407157877.85,11-FEB-2016,48325,INE081A01012,
TATASTEEL,EQ,226,229.35,211.15,217.5,216.4,224.5,9373751,2035635064.95,12-FEB-2016,76135,INE081A01012,
TATASTEEL,EQ,222,248,222,246.7,247,217.5,13602332,3281303844.45,15-FEB-2016,114510,INE081A01012,
TATASTEEL,EQ,249.6,251.6,243.15,244.85,245.4,246.7,9146831,2254245685.8,16-FEB-2016,82859,INE081A01012,
TATASTEEL,EQ,245,252.9,238,251.25,252.35,244.85,8295421,2028310954.15,17-FEB-2016,73677,INE081A01012,
TATASTEEL,EQ,255,256.5,243.2,250.85,250.5,251.25,9459329,2376603321.25,18-FEB-2016,77776,INE081A01012,
TATASTEEL,EQ,248.5,254.45,246.85,253.25,253.25,250.85,6770618,1702818716.25,19-FEB-2016,65076,INE081A01012,
TATASTEEL,EQ,253.6,257.5,251.7,255.25,255.55,253.25,4810335,1225534852.8,22-FEB-2016,48123,INE081A01012,
TATASTEEL,EQ,255.8,261.6,252.1,253.55,252.4,255.25,8452358,2172012746.6,23-FEB-2016,88915,INE081A01012,
TATASTEEL,EQ,250.6,253.75,246.95,247.9,247.15,253.55,4743823,1190334120.75,24-FEB-2016,44759,INE081A01012,
TATASTEEL,EQ,247.1,249.85,244.6,248.15,249.5,247.9,5588168,1382322361.45,25-FEB-2016,46536,INE081A01012,
TATASTEEL,EQ,249.5,251.7,243.15,248.45,248.4,248.15,5336837,1320411137.9,26-FEB-2016,48012,INE081A01012,
TATASTEEL,EQ,246.9,263.65,245.1,249.1,247.55,248.45,9850435,2506639666.5,29-FEB-2016,96265,INE081A01012,
TATASTEEL,EQ,250,258.15,246.55,257.05,257.5,249.1,7111226,1796786589.6,01-MAR-2016,67757,INE081A01012,
TATASTEEL,EQ,260,269.5,259.5,267.55,269,257.05,7645620,2030199032.05,02-MAR-2016,69701,INE081A01012,
TATASTEEL,EQ,273,289,272.1,287.05,287.95,267.55,17533077,4924746453.05,03-MAR-2016,146221,INE081A01012,
TATASTEEL,EQ,289,291.2,284.5,288.55,290,287.05,9170166,2639435842.5,04-MAR-2016,86303,INE081A01012,
TATASTEEL,EQ,287.8,296.7,287,291.8,291.4,288.55,9281598,2722430801.35,08-MAR-2016,82235,INE081A01012,
TATASTEEL,EQ,283.5,296.5,281.3,295.4,296.45,291.8,10158431,2922874682.2,09-MAR-2016,85747,INE081A01012,
TATASTEEL,EQ,296.3,301.25,293.3,296.7,296,295.4,8556968,2545719635.3,10-MAR-2016,82875,INE081A01012,
