SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
TEXRAIL,EQ,152.15,153.9,150.7,153.2,153.1,151.4,229065,35005649.85,01-JAN-2016,2611,INE621L01012,
TEXRAIL,EQ,152.75,153.8,144.35,146.95,146.4,153.2,327521,48826792.5,04-JAN-2016,3515,INE621L01012,
TEXRAIL,EQ,152.7,154,150.5,152.1,152.6,146.95,707388,107660233.8,05-JAN-2016,7478,INE621L01012,
TEXRAIL,EQ,153,154.7,150.5,151.6,152,152.1,279696,42647838.75,06-JAN-2016,2985,INE621L01012,
TEXRAIL,EQ,148,149,145.15,145.9,146.8,151.6,262225,38455771.45,07-JAN-2016,3793,INE621L01012,
TEXRAIL,EQ,147.2,151.5,147.2,150,151,145.9,190777,28435966.95,08-JAN-2016,4876,INE621L01012,
TEXRAIL,EQ,148,152.25,145.6,149.6,149.45,150,253953,37740646.05,11-JAN-2016,5001,INE621L01012,
TEXRAIL,EQ,153.1,154.85,148,149.6,150,149.6,677312,102673075.35,12-JAN-2016,8756,INE621L01012,
TEXRAIL,EQ,150.7,150.7,136.95,149.2,148.2,149.6,515212,74540395.45,13-JAN-2016,6457,INE621L01012,
TEXRAIL,EQ,145,148,141,145.45,147.15,149.2,308043,44502241.95,14-JAN-2016,3707,INE621L01012,
TEXRAIL,EQ,148.45,149.3,138.35,139.7,138.35,145.45,180685,26028557.3,15-JAN-2016,2637,INE621L01012,
TEXRAIL,EQ,138.35,139.2,125.55,130.55,131.5,139.7,416745,54482858.9,18-JAN-2016,5825,INE621L01012,
TEXRAIL,EQ,131,132.7,126.35,131.35,131.45,130.55,316450,41316923.2,19-JAN-2016,3782,INE621L01012,
TEXRAIL,EQ,127.5,131,122.5,123.15,123.5,131.35,270559,34074849.55,20-JAN-2016,3477,INE621L01012,
TEXRAIL,EQ,125.1,129.7,125.1,126.5,127.55,123.15,176603,22447276.8,21-JAN-2016,2646,INE621L01012,
TEXRAIL,EQ,129.7,137.25,128.2,136.35,136.45,126.5,307975,41016070.85,22-JAN-2016,6923,INE621L01012,
TEXRAIL,EQ,138.6,141.2,137.1,139.7,140.95,136.35,196318,27285619.85,25-JAN-2016,2601,INE621L01012,
TEXRAIL,EQ,140.9,143.4,138.2,139.1,139.1,139.7,128970,18072215.7,27-JAN-2016,1553,INE621L01012,
TEXRAIL,EQ,139,143.45,137.4,141.95,141.65,139.1,188196,26657032.1,28-JAN-2016,2268,INE621L01012,
TEXRAIL,EQ,141,143.85,140.7,142.3,142.05,141.95,149465,21282157.6,29-JAN-2016,1890,INE621L01012,
TEXRAIL,EQ,143,148.5,142.45,147.85,148,142.3,280601,40975000.6,01-FEB-2016,5917,INE621L01012,
TEXRAIL,EQ,148.85,150.9,140.55,142,142.1,147.85,396412,58016268.95,02-FEB-2016,4527,INE621L01012,
TEXRAIL,EQ,140,141.6,133.15,138.95,139.65,142,286610,39491597.25,03-FEB-2016,3593,INE621L01012,
TEXRAIL,EQ,141.1,142.7,139.2,141.8,141.6,138.95,184026,26042418.3,04-FEB-2016,2206,INE621L01012,
TEXRAIL,EQ,142,144.5,138,141.1,140.95,141.8,232556,32964131.3,05-FEB-2016,5001,INE621L01012,
TEXRAIL,EQ,146.8,148.8,143.1,144.75,145.25,141.1,690768,101124317.55,08-FEB-2016,8790,INE621L01012,
TEXRAIL,EQ,141.5,143.9,138.7,141.85,141.9,144.75,267023,37771004.45,09-FEB-2016,4152,INE621L01012,
TEXRAIL,EQ,140.55,141.35,138,138.65,138.75,141.85,353321,49157495.15,10-FEB-2016,6275,INE621L01012,
TEXRAIL,EQ,142.1,142.9,124,131.7,134,138.65,546764,73680534.2,11-FEB-2016,11004,INE621L01012,
TEXRAIL,EQ,130,134.9,120.1,132.15,134,131.7,399252,50578046.8,12-FEB-2016,5757,INE621L01012,
TEXRAIL,EQ,136,139.35,132,136.35,137,132.15,233739,32189882,15-FEB-2016,3020,INE621L01012,
TEXRAIL,EQ,139,139.3,131,132.1,133,136.35,208541,28300740.6,16-FEB-2016,2595,INE621L01012,
TEXRAIL,EQ,134,134,124.5,132.7,133,132.1,294010,38157621.95,17-FEB-2016,4386,INE621L01012,
TEXRAIL,EQ,135.4,138,132.2,135,135,132.7,301881,40814780.9,18-FEB-2016,3726,INE621L01012,
TEXRAIL,EQ,135.9,144.8,133.65,143.55,143.4,135,936074,131542401.25,19-FEB-2016,9398,INE621L01012,
TEXRAIL,EQ,146,148.5,140,141.2,141.7,143.55,1227487,177159959.85,22-FEB-2016,14782,INE621L01012,
TEXRAIL,EQ,141.2,141.7,131,133,133.5,141.2,752057,101608651.1,23-FEB-2016,9327,INE621L01012,
TEXRAIL,EQ,133,136.9,126.1,131.2,131.8,133,1207628,159907107.4,24-FEB-2016,18031,INE621L01012,
TEXRAIL,EQ,132.4,133.4,116.5,119.1,116.95,131.2,4817737,602902450.2,25-FEB-2016,52003,INE621L01012,
TEXRAIL,EQ,118.5,119,96.45,99.05,100.5,119.1,3532456,366650944.35,26-FEB-2016,35071,INE621L01012,
TEXRAIL,EQ,99.8,104,89.6,98.95,103,99.05,3139776,295541819.05,29-FEB-2016,38154,INE621L01012,
TEXRAIL,EQ,101.15,108.8,101.15,108.8,108.8,98.95,884917,93585453.65,01-MAR-2016,11474,INE621L01012,
TEXRAIL,EQ,112.25,114.8,104.65,108.3,107.95,108.8,771010,83122813.7,02-MAR-2016,10854,INE621L01012,
TEXRAIL,EQ,108.4,110.9,104,108.4,107.25,108.3,543320,58143887.65,03-MAR-2016,5144,INE621L01012,
TEXRAIL,EQ,108.7,109.45,104.6,107.15,106.55,108.4,292659,31392123.25,04-MAR-2016,3899,INE621L01012,
TEXRAIL,EQ,107.15,107.65,102,104.1,105,107.15,177396,18641167.7,08-MAR-2016,2209,INE621L01012,
TEXRAIL,EQ,104.45,104.45,101.25,102.4,103,104.1,199020,20319693.65,09-MAR-2016,4696,INE621L01012,
TEXRAIL,EQ,102,105.35,101.4,102.45,101.85,102.4,422987,43844742.45,10-MAR-2016,3785,INE621L01012,
TEXRAIL,EQ,101.8,103.8,100.8,101.25,101.5,102.45,457309,46947343.5,11-MAR-2016,1778,INE621L01012,
TEXRAIL,EQ,102.75,102.9,100.2,100.5,100.5,101.25,296335,30010392.2,14-MAR-2016,2564,INE621L01012,
TEXRAIL,EQ,102.25,102.25,96.2,97.2,97,100.5,271699,26598915.8,15-MAR-2016,4235,INE621L01012,
TEXRAIL,EQ,96.6,102.9,95.8,101.3,102.3,97.2,306985,30497096.2,16-MAR-2016,4833,INE621L01012,
TEXRAIL,EQ,101.9,102.25,98.5,99.25,98.7,101.3,191226,19182721.85,17-MAR-2016,2298,INE621L01012,
TEXRAIL,EQ,98.7,103.5,98.3,100.85,103,99.25,263842,26458327.2,18-MAR-2016,3654,INE621L01012,
TEXRAIL,EQ,100.85,103,100.35,101.55,100.35,100.85,247220,25188613.75,21-MAR-2016,2686,INE621L01012,
TEXRAIL,EQ,101.9,105.5,100.85,104.25,104.05,101.55,397504,41337168.15,22-MAR-2016,6694,INE621L01012,
TEXRAIL,EQ,104,106.45,103.3,105.55,105.25,104.25,174011,18276887.75,23-MAR-2016,3966,INE621L01012,
TEXRAIL,EQ,106,106,102.8,104.65,104.6,105.55,177686,18449584.85,28-MAR-2016,3842,INE621L01012,
TEXRAIL,EQ,104.8,105.85,101.25,102.3,101.9,104.65,160980,16615740.1,29-MAR-2016,3219,INE621L01012,
TEXRAIL,EQ,102.9,105.5,102.6,104.95,105.1,102.3,156260,16335521.85,30-MAR-2016,3298,INE621L01012,
TEXRAIL,EQ,104.25,105.5,102,104.7,104.5,104.95,104400,10812719.75,31-MAR-2016,1373,INE621L01012,
TEXRAIL,EQ,104.7,105.1,103.4,103.85,103.5,104.7,61465,6402899.3,01-APR-2016,1039,INE621L01012,
TEXRAIL,EQ,104.5,104.8,102.5,102.75,103.05,103.85,61185,6323935.45,04-APR-2016,892,INE621L01012,
TEXRAIL,EQ,103.4,103.4,100.5,100.85,101.2,102.75,63387,6453225.6,05-APR-2016,1337,INE621L01012,
TEXRAIL,EQ,101.3,102.75,100.4,100.95,101,100.85,615649,62246974.95,06-APR-2016,2773,INE621L01012,
TEXRAIL,EQ,100.1,109.1,100.1,107.1,107.3,100.95,780944,81026545,07-APR-2016,4503,INE621L01012,
TEXRAIL,EQ,107.4,110,104.6,109.25,109.5,107.1,241955,26122529,08-APR-2016,5806,INE621L01012,
TEXRAIL,EQ,110.6,113.4,107.6,111.2,112.5,109.25,351055,38740884.1,11-APR-2016,4039,INE621L01012,
TEXRAIL,EQ,112,112.3,109.5,110.2,109.8,111.2,143695,15910447,12-APR-2016,3080,INE621L01012,
TEXRAIL,EQ,111.1,112.2,110.2,111.05,111,110.2,167663,18651778.75,13-APR-2016,2223,INE621L01012,
TEXRAIL,EQ,110.85,114.7,109,113,114,111.05,172760,19290117.95,18-APR-2016,3344,INE621L01012,
TEXRAIL,EQ,114.5,117.95,113.6,115,115.8,113,189789,21978297.7,20-APR-2016,3357,INE621L01012,
TEXRAIL,EQ,116.6,116.6,111,112,112.9,115,104220,11878229.9,21-APR-2016,1684,INE621L01012,
TEXRAIL,EQ,112.5,115.7,110.05,115.05,115,112,156625,17775649.2,22-APR-2016,2805,INE621L01012,
TEXRAIL,EQ,116.2,116.2,107.7,111.4,112.1,115.05,186948,20852781.05,25-APR-2016,2651,INE621L01012,
TEXRAIL,EQ,111.95,115.5,111.4,115.2,115.25,111.4,154985,17710740.65,26-APR-2016,2575,INE621L01012,
TEXRAIL,EQ,115.95,116.9,113.25,113.5,113.4,115.2,117269,13464564.25,27-APR-2016,3457,INE621L01012,
TEXRAIL,EQ,113.95,115.75,108.75,110.1,111,113.5,275899,30661967.8,28-APR-2016,2872,INE621L01012,
TEXRAIL,EQ,110.25,111.95,104,104.5,104.15,110.1,277442,29638334.75,29-APR-2016,4023,INE621L01012,
TEXRAIL,EQ,102.4,104,98.3,98.8,98.9,104.5,590704,59369345.9,02-MAY-2016,13137,INE621L01012,
TEXRAIL,EQ,99.5,105.4,99,101.55,101.7,98.8,539850,55663440.3,03-MAY-2016,4621,INE621L01012,
TEXRAIL,EQ,101.05,102.7,99.9,101.1,100.9,101.55,109452,11089387.6,04-MAY-2016,1375,INE621L01012,
TEXRAIL,EQ,101.6,103.6,100.5,101.25,101.4,101.1,136504,13919625.4,05-MAY-2016,2081,INE621L01012,
TEXRAIL,EQ,101.75,102,100.2,101.1,101.2,101.25,54808,5546227.55,06-MAY-2016,840,INE621L01012,
TEXRAIL,EQ,102.2,103.95,102,103.7,103.45,101.1,139965,14444584.65,09-MAY-2016,2184,INE621L01012,
TEXRAIL,EQ,104.75,104.75,102.5,103.75,103.4,103.7,144324,14929516.55,10-MAY-2016,1783,INE621L01012,
TEXRAIL,EQ,100.65,103.9,100.65,103.4,103.85,103.75,68485,7052858.85,11-MAY-2016,984,INE621L01012,
TEXRAIL,EQ,103.35,103.95,100.6,101,101.1,103.4,111670,11350252.4,12-MAY-2016,1025,INE621L01012,
TEXRAIL,EQ,100.5,101.4,98.5,98.95,98.95,101,211156,21065713.05,13-MAY-2016,2090,INE621L01012,
TEXRAIL,EQ,100,102.35,99,101.6,101.75,98.95,133573,13470082.5,16-MAY-2016,2059,INE621L01012,
TEXRAIL,EQ,101.5,102.3,101,101.25,101.1,101.6,76684,7785810.5,17-MAY-2016,1129,INE621L01012,
TEXRAIL,EQ,100,100.9,99.8,100.15,100.1,101.25,63481,6367250.1,18-MAY-2016,1031,INE621L01012,
TEXRAIL,EQ,100.7,101.7,99.4,99.9,99.4,100.15,86286,8677779.25,19-MAY-2016,1129,INE621L01012,
TEXRAIL,EQ,100.55,100.8,99,99.3,99.1,99.9,113644,11343505.8,20-MAY-2016,1734,INE621L01012,
TEXRAIL,EQ,100.05,100.65,99,99.2,99,99.3,50006,4981465.4,23-MAY-2016,669,INE621L01012,
TEXRAIL,EQ,100.25,100.3,98.05,98.8,98.75,99.2,50831,5019642.25,24-MAY-2016,741,INE621L01012,
TEXRAIL,EQ,99.6,101.5,99,100.85,100.95,98.8,58747,5896074.2,25-MAY-2016,1070,INE621L01012,
TEXRAIL,EQ,100.95,102.35,99.25,100.7,101.15,100.85,93827,9520866.2,26-MAY-2016,883,INE621L01012,
TEXRAIL,EQ,101.6,103.9,100.85,102.65,102.9,100.7,144567,14804868.05,27-MAY-2016,1608,INE621L01012,
TEXRAIL,EQ,104,105.6,103,104.65,104.8,102.65,151789,15875623.35,30-MAY-2016,2240,INE621L01012,
TEXRAIL,EQ,105,105,100.65,101.5,102.05,104.65,125575,12814285.25,31-MAY-2016,2172,INE621L01012,
TEXRAIL,EQ,100.6,104,100.6,103.25,103.1,101.5,75441,7792564.4,01-JUN-2016,1299,INE621L01012,
TEXRAIL,EQ,103.05,103.8,101.5,101.9,101.6,103.25,46235,4727733.7,02-JUN-2016,778,INE621L01012,
TEXRAIL,EQ,102.5,102.65,100.5,101.1,100.55,101.9,106408,10794330.45,03-JUN-2016,1696,INE621L01012,
TEXRAIL,EQ,101,103.1,99.2,99.75,99.2,101.1,116615,11663088.5,06-JUN-2016,1554,INE621L01012,
TEXRAIL,EQ,99.9,100.75,98.5,98.85,99,99.75,102702,10209783.1,07-JUN-2016,1073,INE621L01012,
TEXRAIL,EQ,99,100,98.6,99.25,99.1,98.85,197041,19597174.1,08-JUN-2016,3197,INE621L01012,
TEXRAIL,EQ,100.7,100.7,98.75,99.3,99.5,99.25,197093,19634134.15,09-JUN-2016,3633,INE621L01012,
TEXRAIL,EQ,100.5,101.4,98.1,98.7,98.8,99.3,237770,23648556.95,10-JUN-2016,4184,INE621L01012,
TEXRAIL,EQ,98.15,98.95,97.5,97.95,98,98.7,109633,10759644.4,13-JUN-2016,1128,INE621L01012,
TEXRAIL,EQ,98.15,99.95,97.4,97.6,97.65,97.95,179624,17723558.3,14-JUN-2016,1720,INE621L01012,
TEXRAIL,EQ,98.9,99.5,97.8,98.1,97.8,97.6,127501,12577714.25,15-JUN-2016,4882,INE621L01012,
TEXRAIL,EQ,98.2,99.5,97.2,98.1,97.7,98.1,545714,53678733,16-JUN-2016,6263,INE621L01012,
TEXRAIL,EQ,98.3,99.5,98.05,98.8,98.6,98.1,143839,14213213.25,17-JUN-2016,1697,INE621L01012,
TEXRAIL,EQ,97.5,99,97.5,98.7,98.65,98.8,81384,8004612.45,20-JUN-2016,1065,INE621L01012,
TEXRAIL,EQ,98.7,99,97.3,97.55,97.3,98.7,88560,8677441.05,21-JUN-2016,1251,INE621L01012,
TEXRAIL,EQ,97.85,99.4,96.6,97.7,97.65,97.55,325087,32002399.65,22-JUN-2016,4579,INE621L01012,
TEXRAIL,EQ,98,98.3,97,97.95,98,97.7,207832,20335792.05,23-JUN-2016,4032,INE621L01012,
TEXRAIL,EQ,96.3,96.3,93,95.15,94.65,97.95,135839,12865019.65,24-JUN-2016,1844,INE621L01012,
TEXRAIL,EQ,93.6,95.9,93.55,94.2,94.55,95.15,143418,13589824.4,27-JUN-2016,3506,INE621L01012,
TEXRAIL,EQ,94.55,95.05,94.1,94.3,94.25,94.2,272580,25829369.3,28-JUN-2016,3952,INE621L01012,
TEXRAIL,EQ,95,95,94,94.05,94.05,94.3,227750,21510827.95,29-JUN-2016,4184,INE621L01012,
TEXRAIL,EQ,94.1,94.5,93.5,93.9,93.6,94.05,171062,16098671.5,30-JUN-2016,2670,INE621L01012,
TEXRAIL,EQ,94,94.9,93.95,94.3,94.1,93.9,213097,20118181.05,01-JUL-2016,1364,INE621L01012,
TEXRAIL,EQ,94.5,96.1,94.5,95,94.95,94.3,224090,21287871.9,04-JUL-2016,1481,INE621L01012,
TEXRAIL,EQ,95.55,95.55,94.1,94.3,94.5,95,95887,9070572.95,05-JUL-2016,775,INE621L01012,
TEXRAIL,EQ,94.95,95.15,93.55,93.75,93.6,94.3,531929,50212314,07-JUL-2016,3294,INE621L01012,
TEXRAIL,EQ,94.55,94.75,93.2,94.05,94.1,93.75,130161,12256554.15,08-JUL-2016,3388,INE621L01012,
TEXRAIL,EQ,94.9,95.15,93.95,94.35,94.5,94.05,157098,14860107.05,11-JUL-2016,862,INE621L01012,
TEXRAIL,EQ,94.3,95.05,94.2,94.85,94.95,94.35,403332,38203993.95,12-JUL-2016,1760,INE621L01012,
TEXRAIL,EQ,94.95,95.4,93.2,93.5,93.35,94.85,248781,23356641.6,13-JUL-2016,1350,INE621L01012,
TEXRAIL,EQ,94.45,95,93.5,93.95,93.55,93.5,1024077,96319553,14-JUL-2016,5497,INE621L01012,
TEXRAIL,EQ,94.25,95,93.55,94.2,94.5,93.95,457357,43135813.25,15-JUL-2016,3146,INE621L01012,
TEXRAIL,EQ,94.8,98.4,94.45,96.15,97,94.2,1116388,108099483.9,18-JUL-2016,9750,INE621L01012,
TEXRAIL,EQ,97,97.9,95.15,96.1,95.8,96.15,146198,14032806.5,19-JUL-2016,1438,INE621L01012,
TEXRAIL,EQ,96.8,97.15,94.8,95.2,95.15,96.1,299950,28736468.4,20-JUL-2016,4478,INE621L01012,
TEXRAIL,EQ,96,99,96,96.65,96.8,95.2,476199,46335403.45,21-JUL-2016,6568,INE621L01012,
TEXRAIL,EQ,97,103,96.1,102.25,102.65,96.65,1113771,112378848.55,22-JUL-2016,11039,INE621L01012,
TEXRAIL,EQ,103,105.4,102.25,103.3,103.05,102.25,665471,68934518.55,25-JUL-2016,7400,INE621L01012,
TEXRAIL,EQ,108.9,108.9,100.2,101.65,101.5,103.3,982792,102879247.2,26-JUL-2016,12695,INE621L01012,
TEXRAIL,EQ,101.2,104.7,100.2,104.15,104.7,101.65,392510,40269955.9,27-JUL-2016,3809,INE621L01012,
TEXRAIL,EQ,105.25,106.8,104.6,105.85,106.2,104.15,752592,79683182.15,28-JUL-2016,5365,INE621L01012,
TEXRAIL,EQ,105.25,107.8,104.75,105.05,105,105.85,605583,64457891.2,29-JUL-2016,3689,INE621L01012,
TEXRAIL,EQ,105.25,107,100.7,101.35,101.4,105.05,308462,31947919.45,01-AUG-2016,3254,INE621L01012,
TEXRAIL,EQ,101.95,104.2,100.75,101.05,101.25,101.35,354213,36222461.25,02-AUG-2016,2279,INE621L01012,
TEXRAIL,EQ,101.45,101.5,98.5,99.1,98.85,101.05,227048,22688881.95,03-AUG-2016,1880,INE621L01012,
TEXRAIL,EQ,100.1,102.9,98.9,99.9,100.25,99.1,144160,14415721.35,04-AUG-2016,1515,INE621L01012,
TEXRAIL,EQ,100.45,101.5,99.8,100.25,100.75,99.9,132513,13319254.35,05-AUG-2016,1028,INE621L01012,
TEXRAIL,EQ,100.95,101.15,100,100.75,100.75,100.25,111503,11213271.85,08-AUG-2016,1035,INE621L01012,
TEXRAIL,EQ,101,101.5,98.55,99.8,99.8,100.75,183947,18374574.95,09-AUG-2016,2143,INE621L01012,
TEXRAIL,EQ,99.8,102.25,99.5,99.95,100.05,99.8,223618,22430607.2,10-AUG-2016,3816,INE621L01012,
TEXRAIL,EQ,99.55,100.8,98.6,99.3,99.2,99.95,90668,9023232.25,11-AUG-2016,933,INE621L01012,
TEXRAIL,EQ,99.4,102.2,99,101.45,101.8,99.3,154273,15539447.8,12-AUG-2016,1693,INE621L01012,
TEXRAIL,EQ,102.45,102.45,99.6,101.35,101.1,101.45,170306,17127316.15,16-AUG-2016,1595,INE621L01012,
TEXRAIL,EQ,101.5,103,101,102.1,102,101.35,85543,8732790.45,17-AUG-2016,973,INE621L01012,
TEXRAIL,EQ,102.45,105.3,101.6,104.7,104.85,102.1,276831,28857052.45,18-AUG-2016,2591,INE621L01012,
TEXRAIL,EQ,105,105.4,102.5,103.05,103,104.7,181930,18933736.35,19-AUG-2016,1733,INE621L01012,
TEXRAIL,EQ,103.2,110.1,103.2,107.95,107.9,103.05,976938,105169806.6,22-AUG-2016,6780,INE621L01012,
